tweet,id,date,time,username,replies_count,retweets_count,likes_count
"As an Arab-American, it is extremely meaningful for Congress as a body to recognize the contributions of the 3.7 million members of my community in the United States. We have been, and continue to be, an invaluable part of the mosaic of American life. #ArabAmericanHeritageMonth https://twitter.com/AAIUSA/status/1123304145182711808 …",1123355947886366722,2019-04-30,22:38:23,repshalala,0,7,23
Hoy más que nunca apoyamos al valiente pueblo de Venezuela en su lucha por el retorno de la democracia. Deseamos una transición rápida y pacífica para dar paso a la reconstrucción. Venezuela merece paz y libertad. #VivaVenezuelaLibre,1123338035058364422,2019-04-30,21:27:12,repshalala,2,17,41
Today we stand with the people of Venezuela in their fight for a return to democracy. #VenezuelaLibre pic.twitter.com/ryJ1i6evlD,1123338028917886976,2019-04-30,21:27:11,repshalala,20,49,151
"More on my bill, the Venezuela Arms Restriction Act: https://shalala.house.gov/news/documentsingle.aspx?DocumentID=314 …",1123299288493232128,2019-04-30,18:53:14,repshalala,1,8,14
The House passed my bill that prevents the US from selling tools of repression that can be used against peaceful protestors. Today we are witnessing the tragic consequences of when these crime control tools are used for violence.,1123299287352389634,2019-04-30,18:53:14,repshalala,2,7,19
"We stand in solidarity with the people of Venezuela who are suffering from the terrible repression of Maduro’s security forces. The weapons at the hands of the military must be used in defense of its people, not to attack them.",1123299285964087301,2019-04-30,18:53:14,repshalala,3,20,51
Más de la ley aquí:  https://www.google.com/amp/s/cnnespanol.cnn.com/video/estados-unidos-prohibicion-venta-armas-maduro-venezuela-cafe-vo/amp/ … #VenezuelaLibre,1123295819338342401,2019-04-30,18:39:27,repshalala,0,4,12
Ya presentamos un proyecto de ley que fue aprobado por el Congreso para evitar que los Estados Unidos importe armas o cualquier herramienta de represión a Venezuela.,1123295818373574659,2019-04-30,18:39:27,repshalala,1,7,18
Nuestro mensaje solidario al pueblo de Venezuela que sufre una vez más la terrible represión de las fuerzas de Seguridad del dictador Maduro. Las armas a manos de militares deben ser para defender al pueblo y no atacarlo.,1123295815865372673,2019-04-30,18:39:26,repshalala,3,25,54
"Almost 14 percent of Americans do not have health insurance. Today’s @RulesDemocrats hearing on Medicare for All begins the discussion on how we can take steps toward expanding health coverage for those in #FL27 and across the country, and eventually get to universal coverage. pic.twitter.com/Hf1bt6paCK",1123234168924712960,2019-04-30,14:34:29,repshalala,3,3,15
Today Venezuela dawns with the air of freedom! We stand with the Venezuelan people and interim president @jguaido in these decisive hours as they restore their democracy. #VivaVenezuelaLibre #OperaciónLibertad,1123207382295875584,2019-04-30,12:48:02,repshalala,124,105,195
!Hoy Venezuela amanece con aires de libertad! Acompañamos atentos a los venezolanos en estas horas decisivas para restaurar su democracia. #VivaVenezuelaLibre https://twitter.com/jguaido/status/1123164653704577024 …,1123207379288580097,2019-04-30,12:48:02,repshalala,14,401,644
"Each year there are 7,300 veteran deaths by suicide, more than all the deaths of on-duty service members since 2001. I stand with the @VetAffairsDems Committee in their work to support veterans and address this national crisis.
 https://thehill.com/blogs/congress-blog/lawmaker-news/441085-the-nation-needs-to-do-more-to-reduce-veteran-suicide … #BeThere",1123002773514014720,2019-04-29,23:15:00,repshalala,6,5,7
"My heart goes out to Chabad of Poway, the Jewish community, and the family of Lori Gilbert Kaye. As we confront the rising tides of anti-Semitism, domestic terrorism, and white supremacy, we must remember a little light expels a lot of darkness.",1122985424375427073,2019-04-29,22:06:03,repshalala,1,1,24
".@RulesDemocrats will host a landmark hearing on Medicare for All tomorrow. As a member of the Committee, I look forward to the exchange of ideas, a great opportunity for everyone to learn how we can improve our current health care system and work toward universal coverage. https://twitter.com/RulesDemocrats/status/1120780368842514432 …",1122929251416715264,2019-04-29,18:22:51,repshalala,3,0,3
"This Wednesday will be our first Desayuno of the month. If you are planning a trip to Washington, DC, this is a great opportunity to join me and my staff for breakfast and to learn more about our work on behalf of #FL27.

Registration:  https://shalala.house.gov/forms/form/?ID=3 … pic.twitter.com/KmJlekLKWA",1122904716516655105,2019-04-29,16:45:21,repshalala,0,0,3
