tweet,id,date,time,username,replies_count,retweets_count,likes_count
"House Republicans, along with President Trump, are committed to keeping America safe. The President has been clear: securing our border — which includes obtaining sufficient funding for the border wall — is a non-negotiable priority.",1079100341516468224,2018-12-29,19:42:24,repsmucker,15,2,11
"Republicans have made numerous commonsense, reasonable offers to Democrats which would have kept the government open and properly funded but Nancy Pelosi and Chuck Schumer would rather play partisan games and put politics ahead of national security.",1079100256887939072,2018-12-29,19:42:04,repsmucker,11,2,8
"Once again, Democrats are putting interests of illegal immigrants above interests of American citizens.",1079100182409691136,2018-12-29,19:41:46,repsmucker,38,4,34
"Hoping today brings peace, joy and happiness to you and your loved ones. #MerryChristmas! pic.twitter.com/WVkzA3QVTZ",1077578368877555712,2018-12-25,14:54:38,repsmucker,4,2,6
Spoke with Greg Barton from @WDAC945 about border wall funding and the #GovernmentShutdown this a.m. Give it a listen ⬇️ https://soundcloud.com/smucker-press/on-capitol-hill-with-greg-barton-1222 …,1076135586564632577,2018-12-21,15:21:32,repsmucker,13,1,2
The American people deserve to feel safe in our country. I’m glad the House agreed. My full statement on funding the wall: pic.twitter.com/gvN6sB8yIy,1075924742161489921,2018-12-21,01:23:42,repsmucker,52,3,21
Proud to cosponsor the #BOLDAlzheimersAct. Together we can #EndALZ!  @alzassociation https://twitter.com/alzassociation/status/1075548353092497408?s=21 …,1075555169360855040,2018-12-20,00:55:09,repsmucker,2,7,32
"Paul Ryan's career was built on integrity and he has served the House and our country well. It's been an honor to work with him. Thank you, @SpeakerRyan. You'll be missed. https://twitter.com/ChadPergram/status/1075465766475063297 …",1075470679242346496,2018-12-19,19:19:25,repsmucker,160,15,187
"The Farm Bill was a win for #PA16 and the hemp proposal was one of the reasons why. Our farmers could really benefit from growing this crop, which actually was farmed right in our area at one point. https://twitter.com/LoganHullYD/status/1075128098444726272 …",1075466817353723904,2018-12-19,19:04:05,repsmucker,0,0,1
Congrats to the Donegal High School girls' field hockey team on their second state championship this year! We are so proud of you in #PA16! @godonegalsports pic.twitter.com/6UiqyKGaDY,1075460860821299201,2018-12-19,18:40:24,repsmucker,0,1,2
Congratulations Mackenzie! One of our great student athletes in #PA16 ⬇️ https://twitter.com/WGAL/status/1075004043435630592 …,1075172650190864384,2018-12-18,23:35:10,repsmucker,1,0,9
Congrats to @RepDianeBlack on the unveiling of your portrait this week. It was an honor to have you as Budget Committee chair and great to work with you. We'll miss you! pic.twitter.com/UTkvR92BAV,1073600565517709312,2018-12-14,15:28:16,repsmucker,14,10,30
