tweet,id,date,time,username,replies_count,retweets_count,likes_count
(4 of 4)  https://ustr.gov/about-us/policy-offices/press-office/fact-sheets/2019/september/fact-sheet-agriculture%E2%80%90related …,1178778790174044160,2019-09-30,21:08:58,repsmucker,2,1,3
(3 of 4) For details see link.  https://ustr.gov/about-us/policy-offices/press-office/fact-sheets/2019/september/fact-sheet-us-japan-trade-agreement …,1178778788588589057,2019-09-30,21:08:58,repsmucker,1,1,3
"(2 of 4) The U.S. - Japan Trade Agreement will provide America's farmers and ranchers enhanced market access in our third largest agricultural export market.
For more details please click these two links.",1178778786587914242,2019-09-30,21:08:58,repsmucker,1,1,1
"(1 of 4)Great News! The United States and Japan have reached an agreement on trade in the areas of market access for certain agriculture and industrial goods, as well as on digital trade.",1178778785317031940,2019-09-30,21:08:57,repsmucker,7,5,8
"Passing the USMCA would bring in 176,000 jobs/$68 billion. It should be an easy bipartisan victory.The USMCA isn’t some political football. It’s a critical piece of economic policy. Its enactment or failure will have life-changing consequences for workers. https://www.wsj.com/articles/house-democrats-resist-a-win-for-american-workers-11569786329 …",1178665113030729728,2019-09-30,13:37:16,repsmucker,19,12,45
"I am on the Mark Willis Radio Show on Sirius XM 146 now, talking about important issues in the Trucking industry. Tune in.",1177646077912080384,2019-09-27,18:07:59,repsmucker,10,0,0
"Fun Fact: On Sept. 27, 1777, Lancaster served as the capital of the United States. https://lancasteronline.com/news/local/it-s-capital-day-lancaster-was-capital-of-the-american/article_81c09782-c1cf-11e8-9032-77560d2bee04.html?fbclid=IwAR0I0BeIQmnlbJC2WDRbk1KYpsWU3FRMwrciFXSlRWKYhV8z38flDy5uQ4Q …",1177607654031728647,2019-09-27,15:35:18,repsmucker,4,4,17
This morning I joined @RJHarrisWHP580 to talk about the Democrat-led impeachment inquiry. Click the link to listen. https://www.iheart.com/podcast/459-rj-harris-28220246/episode/congressman-lloyd-smucker-speaks-with-rj-49760216/ …,1177586873386110977,2019-09-27,14:12:43,repsmucker,14,1,2
"I’ll be on @abc27News tonight discussing my thoughts on the “whistleblower” complaint, and the House Intell Committee hearing today. pic.twitter.com/nz6ErgFk9w",1177282639251890177,2019-09-26,18:03:48,repsmucker,27,2,10
"In 2014, a group that described themselves as THUGS, which stood for “Those Helpful Union Guys” who belonged to Ironworkers Local 401, burned down a Quaker meetinghouse to retaliate for not using Local 401 members. PA made sure this could legally never happen again. @EdLaborGOP pic.twitter.com/kRO3Lsx2vT",1177266460441436163,2019-09-26,16:59:31,repsmucker,8,2,8
Imagine what the United States of America would look like if the Democrats’ worked as hard for the US citizens as they did to impeach @realDonaldTrump #TrumpImpeaًchment,1177013486481752066,2019-09-26,00:14:17,repsmucker,82,9,49
This is a slap in the face to all the voters of #PA11 who support President Trump. The Democrats' actions are a national embarrassment. #TrumpImpeachment pic.twitter.com/pzXwRLOXY3,1176991095005294592,2019-09-25,22:45:19,repsmucker,59,34,90
Tonight I will be on @WGAL to discuss the latest on the Democrat Impeachment saga. #TrumpImpeachment pic.twitter.com/3VwSkxKUeZ,1176967073920102400,2019-09-25,21:09:52,repsmucker,22,0,3
The Democrats have made clear that their partisan obstruction agenda of impeaching the President is more important than actually solving the issues the American people elected us to solve.,1176617945902043136,2019-09-24,22:02:33,repsmucker,28,6,19
"President Trump has confirmed that he will release on Thursday the complete, full declassified and un-redacted transcript of his phone call with President Zelensky of Ukraine.  Democrats are rushing to impeachment without the facts -- and the facts are currently unclear.",1176617944916344833,2019-09-24,22:02:33,repsmucker,13,4,13
"No collusion. So, we should be highly skeptical of the Democrats who are, again, rushing to condemn the President on hearsay and without all the information. For example, we know the whistleblower was not in the room when the call with the President of Ukraine took place.",1176617943934918656,2019-09-24,22:02:32,repsmucker,9,3,8
"Remember when the Democrat Chairman of the House Intelligence Committee, Adam Schiff, said for two years that he had proof, beyond circumstantial, of Russian collusion?  He lied. The conclusion from the Attorney General following the extensive Mueller report was, in fact,",1176617940352929792,2019-09-24,22:02:32,repsmucker,35,11,27
The fact that UAW union leaders have spent workers’ hard earned union dues on sport cars and escorts to light UAW union leaders cigars is disgusting. It is time ALL unions are exposed and held accountable when misusing workers dues. https://freebeacon.com/politics/house-republicans-call-on-dems-to-investigate-union-corruption/ …,1176144399522250752,2019-09-23,14:40:51,repsmucker,17,35,63
"Today, we remember and honor those Americans who were prisoners of war and those who served and never returned home. #POWMIARecognitionDay #Honorthem pic.twitter.com/SXYCnmgWEL",1175150047480176641,2019-09-20,20:49:39,repsmucker,4,0,1
"Hold That Recession: U.S. Indicators Are Trouncing Forecasts!
@WaysandMeansGOP @realDonaldTrump @HouseGOP https://www.bloomberg.com/news/articles/2019-09-20/hold-that-recession-u-s-indicators-are-trouncing-forecasts?srnd=premium …",1175104169021202433,2019-09-20,17:47:20,repsmucker,13,3,12
to lead healthy productive lives as they transition into civilian life. One way we can achieve this goal is to improve the mental health services provided to service members by the  DOD.  https://smucker.house.gov/media/press-releases/rep-smucker-legislation-adopted-armed-services-committee … @HouseVetAffairs,1175062074311028738,2019-09-20,15:00:04,repsmucker,3,1,2
"Our veterans, service members, and their families have endured tremendous hardship and made significant sacrifices in their fight to preserve the freedom of the United States. As members of Congress, we should be doing everything we can to help ensure our veterans are able",1175062071983202304,2019-09-20,15:00:04,repsmucker,2,2,3
One of the most common refrains I hear from our farmers is the need to access new markets-the #USMCA provides just that. @SpeakerPelosi it is time to bring this bill to the floor. It has bipartisan support and is good for the USA! https://lancasteronline.com/opinion/columnists/united-states-mexico-canada-agreement-is-good-for-district-state/article_75fc8fd2-942e-11e9-a64e-a3f42995c784.html …,1174674992962920448,2019-09-19,13:21:57,repsmucker,49,139,371
It was great to be with the @VP at the #republicanretreat pic.twitter.com/NfcahRWOOm,1174435442458058752,2019-09-18,21:30:04,repsmucker,6,2,8
"I'm proud the amendment I co-sponsored with @RepJayapal to address housing instability for older adults, passed in the @EdLaborGOP with bipartisan support. I hope this is a first step toward a future in which no senior has to worry whether they have a place to sleep at night. pic.twitter.com/PbeK8SYXDA",1174425455056867329,2019-09-18,20:50:22,repsmucker,4,2,16
"Yesterday, @RepLoriTrahan and I introduced the FACT Act, a bill that would improve college financial aid offer forms for students and families. https://finance.yahoo.com/news/national-association-student-financial-aid-203000789.html …",1174350345088229377,2019-09-18,15:51:55,repsmucker,4,0,2
"Join me TONIGHT at 5:15 p.m. for my next telephone town hall! You can listen live online and submit questions here on this post:  http://bit.ly/2N44Olz 

I'll post in the comment section if there is a time change.

Please Like and Retweet to spread the news!
#SmuckerTeleTownHall pic.twitter.com/uqihkcUfrV",1174055713276145664,2019-09-17,20:21:09,repsmucker,9,0,2
