tweet,id,date,time,username,replies_count,retweets_count,likes_count
I am happy to support the Resolution for a Standing Committee on a #GreenNewDeal,1075516895875489792,2018-12-19,22:23:04,repstephenlynch,34,36,215
(3/3) As the likely Chairman of the National Security Subcommittee I plan to stay active and mindful of climate change and the threat it poses for our planet and future generations. #GreenNewDeal,1075475840283131904,2018-12-19,19:39:56,repstephenlynch,3,2,34
"(2/3) the Climate Change National Security Strategy Act in response to President Trump’s abandonment of the Paris Climate Agreement, which would ensure the Federal Government appropriately considers climate change in the development of national security strategies and policies.",1075475839477866496,2018-12-19,19:39:56,repstephenlynch,1,1,17
"(1/3) I am proud to join my colleagues to support the #GreenNewDeal and its ambitious economic and environmental agenda by making renewable power, energy-efficient infrastructure and “green” technology a priority for our Nation. Last year, I introduced...",1075475838819295233,2018-12-19,19:39:56,repstephenlynch,6,6,52
(2/2) He was a proud U.S. Marine Corp. veteran and a great American. My prayers are with his wife Barbara and their family.,1075165324541071360,2018-12-18,23:06:03,repstephenlynch,0,1,3
"(1/2) Very saddened to learn that my friend and colleague Francis “Mickey” Roache has passed away. Mickey was a true gentleman, a kind and gentle soul and a relentlessly hardworking public servant.",1075165322506850305,2018-12-18,23:06:03,repstephenlynch,1,5,11
(3/3) Special thanks to Amy Carnevale from K&L Gates for the support with this legislation. You can read H.R.2315 here: https://www.congress.gov/bill/115th-congress/house-bill/2315/text …,1075124164820918274,2018-12-18,20:22:30,repstephenlynch,0,0,2
(2/3) and U.S. State Department officer Sean Smith in recognition of their contributions to the Nation. This bipartisan legislation is an important act to honor the Benghazi heroes’ self-sacrifice and lifetime commitment to the safety and security of the American people.,1075124164066009090,2018-12-18,20:22:30,repstephenlynch,1,1,4
"(1/3) I am pleased to see the Bill I introduced with Reps Mast, Hunter and Davis, H.R. 2315, was passed in the House, which will posthumously award the Congressional Gold Medal to US Ambassador J. Christopher Stevens, Navy SEAL Glen Doherty, Navy SEAL Tyrone Woods...",1075124163390660608,2018-12-18,20:22:30,repstephenlynch,2,2,9
"Thank you General Manager Fred Wobrock for all your hard work at The Gillooly Funeral Home, and special thanks to President Bill Gurley and The Friends of St. Nick 🎅🏼 for your dedication to this event. pic.twitter.com/UqAEMW3fVI",1073945768157999104,2018-12-15,14:19:58,repstephenlynch,0,2,5
"Great time at Norwood’s Annual Friends of St. Nick Luncheon yesterday.  Congratulations to the 2018 Honoree, The Gillooly Funeral Home, a company that provides caring and professional funeral and memorial services and is actively involved in charity and volunteer work as well. pic.twitter.com/5Byvj4qqS4",1073945752265785350,2018-12-15,14:19:54,repstephenlynch,2,3,5
"(2/2) You can read the Bill, H.R. 7294, here:  https://lujan.house.gov/imo/media/doc/LUJAN_143_xml%20Accountable%20Capitalism%20Act.pdf …",1073698839511609344,2018-12-14,21:58:46,repstephenlynch,0,1,3
(1/2) I am proud to join my colleagues in the House to introduce the companion Bill to Senator Warren’s Accountable Capitalism Act.  We hope this Bill will help to re-balance the relationship for workers and give employees a stronger voice in the workplace.,1073698838714699776,2018-12-14,21:58:46,repstephenlynch,3,1,18
I urge everyone to contact their Representatives in Congress to join our effort by signing the #NetNeutrality discharge petition so we can vote to restore a free and democratic internet.,1073586215935492097,2018-12-14,14:31:14,repstephenlynch,1,3,9
