tweet,id,date,time,username,replies_count,retweets_count,likes_count
I signed on as an original cosponsor because pay discrimination in the workplace is real and people doing the same work should receive the same pay. Women must be able to challenge pay discrimination and hold employers accountable. #PaycheckFairnessAct #EqualPay,1090993780499599360,2019-01-31,15:22:41,repstephenlynch,1,0,11
"Yesterday we reintroduced the Paycheck Fairness Act, H.R. 7, to make equal pay a law and add protections to the Equal Pay Act of 1963 and the Fair Labor Standards Act. #PaycheckFairness #EqualPay",1090993779681751040,2019-01-31,15:22:41,repstephenlynch,1,0,9
"There are over 152,000 people in MA’s 8th Congressional District receiving #SocialSecurity and we owe it to every hard working American to give them the economic insurance they have paid for throughout their lifetime of work. #Secure2100  https://lynch.house.gov/press-release/rep-lynch-joins-house-colleagues-introduce-landmark-social-security-proposal …",1090721499386953730,2019-01-30,21:20:44,repstephenlynch,1,7,8
"Proud to cosponsor the Social Security 2100 Act, H.R. 860, which will expand benefits, strengthen the system and cut taxes for over 10 million seniors throughout the 21st century. #SocialSecurity #Secure2100  https://lynch.house.gov/press-release/rep-lynch-joins-house-colleagues-introduce-landmark-social-security-proposal …",1090721498485178371,2019-01-30,21:20:44,repstephenlynch,1,12,27
(3/3) .. of treating our workers with respect when he shut the government down and forced federal employees to work without pay. President Trump further insulted them by freezing their pay for 2019. So it is only fair that we now treat them with the respect they have earned.,1090664000604565504,2019-01-30,17:32:15,repstephenlynch,1,5,11
(2/3) This is also less than fast food workers who earn $15/hr. These TSA screeners are responsible for ensuring that terrorists are not able to blow up commercial airliners. I’m reminded of this every week I walk by them in the airport. The President broke the covenant...,1090663999283363840,2019-01-30,17:32:15,repstephenlynch,1,4,10
"(1/3) This morning I spoke on the House floor in support of a very fair Bill to provide a modest 2.6% pay increase for federal civilian employees. Our TSA workers’ base starting salary is $28,000, which is less than I earned as an Ironworker apprentice boy in 1972.",1090663998670934016,2019-01-30,17:32:15,repstephenlynch,3,8,32
"(2/2) .. your stories were compelling and further proof that we must take action now to reduce prescription drug prices, American lives depend on it.",1090429420794449921,2019-01-30,02:00:07,repstephenlynch,2,1,5
(1/2) Great to meet the AARP members at our Oversight hearing today on Examining the Actions of Drug Companies in Raising Prescription Drug Prices. Thank you to all who testified on behalf of those affected by rising drug costs... pic.twitter.com/aHfNUdlDYq,1090429415882964994,2019-01-30,02:00:06,repstephenlynch,2,2,8
"We discussed the John R. Justice Student Loan Repayment Program and the assistance it provides lawyers working as public defenders.  As interest rates increase, we must continue to work to ease the strains of repaying student loans.",1090342067291807746,2019-01-29,20:13:01,repstephenlynch,6,0,4
"Wonderful to meet with 3 great Massachusetts District Attorneys; Jonathan Blodgett, Essex County; Michael O’Keefe, Cape and Islands; and Anthony Gulluni, Hampden to discuss loan forgiveness options for public service lawyers. pic.twitter.com/A4HSqpQtXe",1090342060958380032,2019-01-29,20:12:59,repstephenlynch,1,0,3
This morning in Congress we are convening the first hearing of the Committee on Oversight and Reform to fulfill our Constitutional responsibility to protect our democracy and ensure that the President is accountable to the people and that he follows the laws. It’s a new day.,1090274168275382272,2019-01-29,15:43:12,repstephenlynch,10,13,81
Thanks to my cosponsor @RepTedBudd & all my House colleagues who helped pass H.R. 56 the “FinTech Protection Act”. My Bill creates a Public/Private task force to prevent terrorists & criminals from exploiting emerging digital financial technologies in the consumer banking sector.,1090031754302443521,2019-01-28,23:39:56,repstephenlynch,0,3,7
"Happy to join Mayors @MayorBobHedlund @mayortomkoch @braintreemayor and the State and Municipal elected officials from Weymouth, Quincy and Braintree in opposition to the proposed Weymouth Compressor Station. If we stick together and fight hard, we can win. pic.twitter.com/YbCZEPN1CQ",1089969218441883650,2019-01-28,19:31:26,repstephenlynch,1,12,47
A wonderful honor to attend @mayortomkoch State of the City Address in Quincy this morning. Mayor Koch charted an impressive vision for Quincy’s future. Happy to join Senator @SenJohnFKeenan & Representatives @RonMariano @BruceJAyers @tackeychan & @RepDanHunt as part of his team. pic.twitter.com/tR0Q3gH6vL,1089933269674741765,2019-01-28,17:08:36,repstephenlynch,0,9,16
"Thank you to @BCCStoCollege Executive Director Shannah Varón, the wonderful teachers, staff and incredible students! You give me hope! pic.twitter.com/fd2Sr3ef1k",1089919449845645317,2019-01-28,16:13:41,repstephenlynch,1,1,7
Very proud to join Mayor @marty_walsh and Boston City Council President @CampbellforD4 at the Ribbon Cutting for the Boston Collegiate Charter School expansion. Beautiful work by our Union Building Trades. pic.twitter.com/R0C2xDDSKt,1089919448583233537,2019-01-28,16:13:40,repstephenlynch,3,3,15
"I am very pleased to be named Chairman of the National Security Subcommittee for the 116th Congress. I look forward to working with my colleagues on the COR and leading the efforts on national security, foreign operations, immigration, defense & veterans.  https://lynch.house.gov/press-release/lynch-named-chairman-national-security-subcommittee …",1088550219258712064,2019-01-24,21:32:51,repstephenlynch,4,10,67
(2/2) ... more can receive their hard earned pay.  They should not have to suffer any longer while we find a way to work together to secure our borders. #EndTheShutdown,1088537408101068800,2019-01-24,20:41:56,repstephenlynch,6,12,47
"(1/2) The House of Representatives has now passed 10 Bills in the 116th Congress to reopen all or part of the federal government. We need our colleagues across the aisle to work with us so all the Coast Guardsmen, FBI agents, border patrol officers, TSA agents, DEA agents and...",1088537407425777665,2019-01-24,20:41:56,repstephenlynch,8,37,111
"The huge attendance shows the Brockton community’s commitment to protecting civil rights and working to eliminate discrimination of any form. As Dr. King said, “Injustice anywhere is a threat to justice everywhere.” pic.twitter.com/FQtz2oRmZU",1086692395389997057,2019-01-19,18:30:31,repstephenlynch,1,1,8
"Wonderful honor to address the Brockton NAACP 33rd Annual Rev. MLK Breakfast, and special thanks to Brockton NAACP President Phyllis Ellis for hosting this heartwarming tribute to the life and work of Dr King. pic.twitter.com/FV8BF5KcXR",1086692386913296385,2019-01-19,18:30:29,repstephenlynch,2,0,12
"Not only does releasing our itinerary to Afghanistan endanger us, as elected officials, but it also endangers the Diplomatic security teams, our military escorts and our staff.  The saddest part is I don’t think President Trump even gets it. https://www.necn.com/news/politics/Congressman-Lynch-to-Speak-on-Cancelled-Afghanistan-Trip-504544641.html …",1086337644357918725,2019-01-18,19:00:52,repstephenlynch,10,8,30
This would’ve been my 15th trip to Afghanistan and it is dangerous under the best of circumstances. To have the President of the United States put members of Congress in physical danger by publicizing our itinerary is extremely reckless and disgraceful.  https://www.necn.com/news/politics/Congressman-Lynch-to-Speak-on-Cancelled-Afghanistan-Trip-504544641.html …,1086337643091238913,2019-01-18,19:00:51,repstephenlynch,9,22,57
