tweet,id,date,time,username,replies_count,retweets_count,likes_count
This bill is personal for me because I grew up in a household where my parents spoke only Vietnamese & I learned English in school. I know how important it is for young people to become proficient in English. It opens doors of opportunity that would otherwise remain shut.,1189971569470296064,2019-10-31,18:25:05,repstephmurphy,6,0,22
"Just introduced bipartisan & bicameral legislation w/@MarioDB, @marcorubio & @ChrisMurphyCT so Florida schools receive the federal resources they need to help Puerto Rican students learning English succeed in the classroom and beyond.
#FlaPol #sayfie https://murphy.house.gov/news/documentsingle.aspx?DocumentID=1154 …",1189971568702763009,2019-10-31,18:25:05,repstephmurphy,6,11,43
"This resolution will ensure the process continues to be as open, fair, and transparent as possible. Our focus must be on bringing all the facts to light and pursuing the truth for the American people. https://twitter.com/politico/status/1189928014508937218 …",1189929705325125632,2019-10-31,15:38:44,repstephmurphy,43,22,89
"Por más de 120 años, el estatus de Puerto Rico como territorio ha privado a los residentes de la isla de la democracia y la igualdad. Si la gente de Puerto Rico confirma que apoyan la estadidad, trabajaré para asegurarme que el Congreso respete sus deseos. https://twitter.com/El_Sentinel/status/1189297327003049990 …",1189597113564516352,2019-10-30,17:37:08,repstephmurphy,31,83,203
"Next Wed., Nov. 6 at 11am in #WinterSprings, I’ll be honoring Vietnam war veterans from central Fla. If you or someone you know is a veteran of the Vietnam war, please register at  http://murphy.house.gov/ThankAVeteran  so that we may honor as many veterans as possible for their service. #flapol pic.twitter.com/cRKcOI1yX1",1189280907502465024,2019-10-29,20:40:38,repstephmurphy,3,2,12
"LIVE NOW: joining @RepJenniffer for a press conference to unveil bipartisan legislation on Puerto Rico statehood 🇵🇷. 

#FlaPol https://twitter.com/RepJenniffer/status/1189255446911164418 …",1189256398653313031,2019-10-29,19:03:15,repstephmurphy,6,10,41
Time is running out. Leaders on both sides of the aisle need to come together to protect our elections. https://twitter.com/Fla_Pol/status/1189223654858641408 …,1189225655625568256,2019-10-29,17:01:05,repstephmurphy,12,18,78
"Islamic State leader Abu Bakr al-Baghdadi was responsible for the death of many innocent people, including Americans. Grateful to the brave U.S. and allied service members and intelligence professionals who delivered justice to this terrorist leader. https://twitter.com/nytimes/status/1188446828217470977 …",1188520090569969667,2019-10-27,18:17:25,repstephmurphy,14,2,16
"October is Women’s Small Business Month, and this week we're specifically honoring women entrepreneurs. I want to congratulate @NawboOrlando for its commitment to central Florida's business community and its contributions to our local economy. pic.twitter.com/ORs6aDVjaw",1187845345948131328,2019-10-25,21:36:14,repstephmurphy,3,0,7
This is not good news for the country. The Republican tax law disproportionately benefitted some of the wealthiest individuals and is now helping usher in a new era of out of control budget deficits. It's time for both sides to come together & address our national debt. https://twitter.com/business/status/1187795247260209152 …,1187830104233336832,2019-10-25,20:35:40,repstephmurphy,16,39,117
NEWS: Glad to announce @seminolecounty & @citybeautiful are receiving $17.5M from @fema to reimburse them for Hurricane Irma costs. I will continue to put pressure on federal agencies to ensure long-overdue hurricane recovery funds are promptly distributed https://murphy.house.gov/news/documentsingle.aspx?DocumentID=1139 …,1187438302296711168,2019-10-24,18:38:47,repstephmurphy,2,2,14
"Construction of the I-4 Ultimate is now more than an inconvenience, it is endangering the lives of commuters, workers and visitors. We cannot tolerate any more delays. FDOT should be working with the contractor to ensure the project is completed promptly and safely. https://twitter.com/orlandosentinel/status/1187310251739144192 …",1187370175626121217,2019-10-24,14:08:04,repstephmurphy,4,2,20
I commend Chairwoman @RepZoeLofgren for her leadership in drafting and getting through the House this critical piece of legislation. Now it's up to the Senate to act to protect our democracy.,1187138458017521665,2019-10-23,22:47:19,repstephmurphy,2,2,7
NEWS: The House just passed the #SHIELDAct. Protecting the integrity of our elections must be one of our top priorities. I was glad to cast my vote in support of  transparency and accountability in our election system. https://twitter.com/RepStephMurphy/status/1187039770461032449 …,1187137390529433606,2019-10-23,22:43:04,repstephmurphy,6,11,29
"Wonderful to see Jerry Ross, who leads @NationalEC in #Orlando & his wife Laura at an event this morning put together by @startupsUSAorg. NEC provides great resources for entrepreneurs and small businesses in central Florida and it should be a model for other cities to follow. pic.twitter.com/BUJxZMiMHO – at The Jefferson Hotel",1187075716933967873,2019-10-23,18:38:00,repstephmurphy,4,1,6
"Former Congressman Lou Frey passed away recently, but leaves behind an enduring legacy. Because of him, #Orlando is a better city, Florida is a better state, and America is a better nation. Rest in peace, Congressman.

#flapol #fl07 pic.twitter.com/MoUWZP3WeQ",1187067835455102976,2019-10-23,18:06:41,repstephmurphy,1,3,20
"Thank you @FLCities for stopping by my office to chat about upgrading Fla.’s election infrastructure, reauthorizing the national flood insurance program & providing timely FEMA reimbursements for cities preparing for natural disasters. Look forward to continue working together. pic.twitter.com/it70tvYLIJ",1187053916288143362,2019-10-23,17:11:22,repstephmurphy,5,3,15
Russia’s assault in 2016 exposed gaps in our nation’s defenses. Passing the #SHIELDAct is critical to maintaining the foundation of our democracy—our system of free & fair elections. I'm proud to have helped introduce this bill to protect our democracy from foreign interference. pic.twitter.com/DIeGUG1Sgo,1187039770461032449,2019-10-23,16:15:10,repstephmurphy,3,8,18
"Huge thanks to our @FFCongress dads @sethmoulton, @RepDerekKilmer, @RepCunningham, @RepColinAllred, @RepBrindisi, @RepJimmyGomez & @RepBrendanBoyle for sharing their experience and highlighting the importance of paternity leave.",1187011445680046080,2019-10-23,14:22:36,repstephmurphy,1,0,11
Having to choose between keeping a job that pays the bills or taking care of a newborn or loved one is simply unfair. Thanks to @alexisohanian for joining me & my fellow @FFCongress members in support of #PaidLeave for every American family. @PaidLeaveUS @DoveMenCare pic.twitter.com/C7wL7ndoO6,1187008320709824513,2019-10-23,14:10:11,repstephmurphy,9,8,61
"In the greatest country on earth, no person should have to question whether they will be able to afford life-saving or life-improving medicine. I’ll keep fighting to ensure working families get much-needed relief from the rising costs of health care and prescription drugs. (2/2)",1186827829532602368,2019-10-23,02:12:59,repstephmurphy,1,6,26
"After a 12 hr. @WaysMeansCmte session, I just voted to advance historic legislation to lower prescription drug costs. It’s clear the current system is failing too many Americans, forcing them to take extreme measures like rationing their medicines or skipping doses. (1/2)
#flapol",1186827828681236481,2019-10-23,02:12:59,repstephmurphy,3,9,37
"Tonight, I voted for and the House passed the bipartisan Corporate Transparency Act of 2019 to require shell companies to disclose their true beneficial owners. This will help law enforcement crack down on criminal activity and terrorist groups. #FL07 #FlaPol",1186788691869650944,2019-10-22,23:37:28,repstephmurphy,3,11,62
"I'm starting a Youth Advisory Board to provide another opportunity to hear directly from some of my youngest constituents. I encourage students living or going to school in #FL07 to visit  http://murphy.house.gov/YouthAdvisoryBoard … to apply. 

*Deadline is October 29, 2019. https://murphy.house.gov/news/documentsingle.aspx?DocumentID=1135 …",1186739252605980675,2019-10-22,20:21:01,repstephmurphy,3,2,8
".@fineout is right...except it’s more like “WTF??” That’s why I introduced the #ALERTSAct - to ensure voters and local officials know when voting systems are hacked. 

Story here ➡️  https://apnews.com/fd1c7c953ff841bebe742aa27debf839 … pic.twitter.com/prS4tJu8Ht",1186660359299633152,2019-10-22,15:07:31,repstephmurphy,6,2,15
BREAKING: @POTUS grants major disaster declaration for Florida triggering release of federal funds to help recover from #HurricaneDorian. Seminole & 11 other counties eligible for public assistance for emergency work & repair or replacement of disaster-damaged facilities. #FlaPol,1186641060451291136,2019-10-22,13:50:50,repstephmurphy,5,1,10
Americans like Brian expect their representatives to put politics aside and work together to lower the cost of prescription drugs and increase access to affordable health care. @MyNews13 takes a closer look at our efforts to listen and turn your concerns into action. pic.twitter.com/CJjWLjIz4x,1186368186498928642,2019-10-21,19:46:31,repstephmurphy,15,11,33
"“Whatever damage Russia caused, shrouding it in needless secrecy is only making it worse.” 

Agree! Read this op-ed by @OrlandoOpinion on why Florida voters deserve to know the full extent of Russian interference in the 2016 elections. ⬇️ https://twitter.com/OrlandoOpinion/status/1185520846942679042 …",1186302871106736128,2019-10-21,15:26:59,repstephmurphy,17,9,22
"Those who find it difficult to obtain lifesaving medicines don't need sympathetic words. They need action. That's why I'm so glad the House is moving forward on legislation to reduce the cost of prescription drugs. 

#HR3 #flapol #fl07 pic.twitter.com/TPrXIyazwR",1185213499913453568,2019-10-18,15:18:13,repstephmurphy,51,36,134
