tweet,id,date,time,username,replies_count,retweets_count,likes_count
"If you have time today, please watch my remarks on Iran, Israel, Nicaragua, and Tibet that I made during the @HouseForeignGOP full Committee markup: https://www.youtube.com/watch?v=ZC39FVgewTA …",1212071419682705410,2019-12-31,18:02:00,repstevechabot,10,3,11
"I recently stopped by Area Progress Council’s (APC), 36th Annual Warren County Economic Outlook Breakfast in Mason. I presented Ben Yoder, APC President, a flag flown over the Capitol, recognizing APC’s 50th Anniversary. Congratulations and here's to many more years of service! pic.twitter.com/e9gVV8aLUh",1211660713237848069,2019-12-30,14:50:00,repstevechabot,4,2,9
"It is always great to hear about @miamiuniversity’s graduation rates and job placement right after graduation. Thank you guys for stopping by and meeting with my staffer, Ian (he is a proud Miami alum #MiamiOH). pic.twitter.com/s8zkm1gcbt",1211291278903840768,2019-12-29,14:22:00,repstevechabot,1,3,11
Thank you to my interns for your hard work for Ohio’s First Congressional District. I appreciate it and best of luck in your future endeavors. pic.twitter.com/GSLvRc4YF9,1210946004704321537,2019-12-28,15:30:00,repstevechabot,2,4,20
ICYMI: https://news.yahoo.com/impeachment-managers-what-do-they-do-and-whom-will-nancy-pelosi-pick-194817778.html …,1210572039586635776,2019-12-27,14:44:00,repstevechabot,7,1,2
"I attended the 29th Annual Fratelli Uniti Breakfast. It was nice catching up with John Barrett, the President & CEO of Western Southern Financial Group after his keynote address. pic.twitter.com/2EUZQVNBqw",1210271307985764352,2019-12-26,18:49:00,repstevechabot,7,2,7
"I wish you, and yours, a peaceful and Merry Christmas. pic.twitter.com/UZulKNWLy0",1209776548217311238,2019-12-25,10:03:00,repstevechabot,16,13,62
"Thank you, Governor Mike DeWine and First Lady Fran DeWine, for hosting a luncheon at the Governor’s Residence in Columbus.

Happy Holidays! pic.twitter.com/ZvypU5Fcvw",1209490412651470848,2019-12-24,15:06:00,repstevechabot,4,3,16
I recently signed a Holiday Card for Service Members. Happy Holidays to all who serve and protect our freedom. pic.twitter.com/OTFAcLENLl,1209122488027729926,2019-12-23,14:44:00,repstevechabot,11,5,16
Happy Hanukkah! pic.twitter.com/OiOs0Ob43g,1208909836777340928,2019-12-23,00:39:00,repstevechabot,0,4,4
“Democrats Set Up Senate Trial Strategy Ahead of Impeachment Vote”: https://www.bloomberg.com/news/articles/2019-12-17/democrats-set-up-senate-trial-strategy-ahead-of-impeachment-vote …,1208501647116136448,2019-12-21,21:37:00,repstevechabot,15,9,11
Here’s my take on the faux impeachment: https://www.npr.org/2019/12/18/789644796/republican-louisiana-rep-steve-chabot-discusses-trump-impeachment …,1208420361756262400,2019-12-21,16:14:00,repstevechabot,17,3,15
