tweet,id,date,time,username,replies_count,retweets_count,likes_count
"As he did in his report, Special Counsel Mueller threw a line to Congress to explore options not available in his prosecutorial role. Given this historical moment, we must go where the facts lead and our democratic principles demand.",1133864869806190592,2019-05-29,22:37:05,repsusandavis,19,6,38
Always inspiring to see communities come together on #MemorialDay to honor those we lost in the name of freedom. pic.twitter.com/pocaoZMnhq,1133107704963227648,2019-05-27,20:28:23,repsusandavis,2,3,15
Let's never forget those who made the ultimate sacrifice in the name of freedom and democracy. #MemorialDay pic.twitter.com/D9Wv5peLr0,1133043686571499522,2019-05-27,16:14:00,repsusandavis,1,2,12
"If President Trump doesn't ""do cover ups,"" then there is no reason not to let White House officials - past and present - testify or release requested documents. The American people deserve the truth. https://www.nytimes.com/2019/05/22/us/politics/donald-trump-speech-pelosi-schumer.html?action=click&module=Top+Stories&pgtype=Homepage&fbclid=IwAR1dkE34twpryy8qmT-GwVb0TdoGz8PF7CT2va4aTJRN3sg-Z6wmHlU-PQ0 …",1131311100711059457,2019-05-22,21:29:19,repsusandavis,13,9,38
"100 years ago today, the House of Representatives passed the #19thAmendment to give women the vote. At a time when women’s rights are being threatened, it is imperative that we recognize the power of our voices and our votes! #ForThePeople pic.twitter.com/kG675Qc2VG",1130902061242040322,2019-05-21,18:23:57,repsusandavis,2,6,17
"After decades in decline, rates of child abuse and neglect have increased as the opioid crisis continues to devastate communities across the country. #StrongerCAPTA is a bold, bipartisan response to protect children from abuse and neglect. I was to vote for it. pic.twitter.com/48SbpwdzzL",1130614177423396865,2019-05-20,23:20:00,repsusandavis,1,5,6
Truly historic! House passes #EqualityAct to protect the rights of #LGBTQ Americans. This is unprecedented and enshrines protections for LGBTQ people into the 1964 Civil Rights Act. I'm a proud cosponsor of #HR5 to give millions of people full and equal protection under the law!,1129433386920157185,2019-05-17,17:07:57,repsusandavis,33,113,579
Are we going to let this assault on women's health stand? Absolutely not! It's time for Congress to step in and protect abortion rights once and for all. https://www.washingtonpost.com/national/alabama-senate-passes-nations-most-restrictive-abortion-law-which-makes-no-exceptions-for-victims-of-rape-and-incest/2019/05/14/e3022376-7665-11e9-b3f5-5673edf2d127_story.html?utm_term=.833ba4d41862 …,1128723192389017602,2019-05-15,18:05:54,repsusandavis,8,6,28
Let us use this opportunity to break the stigma and talk about mental health with our loved ones. Spreading awareness is the first step in addressing an issue.,1126593556632805380,2019-05-09,21:03:29,repsusandavis,3,1,14
"Mental illnesses, such as depression, are the third most common cause of hospitalization in the United States for those aged 18-44 years old, and adults living with serious mental illness die on average 25 years earlier than others.",1126593555835817984,2019-05-09,21:03:29,repsusandavis,1,3,12
"May is Mental Health Awareness Month.

According to the CDC ""An estimated 50% of all Americans will be diagnosed with a mental illness or disorder at some point in their lifetime. https://twitter.com/HHSGov/status/1126502890259079170 …",1126593554682454016,2019-05-09,21:03:29,repsusandavis,5,7,13
Fairness and equality are core American values. I joined my colleagues in support of the #EqualityAct (H.R. 5) to end discrimination against #LGBTQ Americans. #HR5 includes my bill to prohibit a person being removed from a jury due to their sexual orientation or gender identity. pic.twitter.com/NVIPIZLazS,1126202499541680128,2019-05-08,19:09:34,repsusandavis,5,7,17
"Linda Vista, get ready for Team Davis! Have a question or need help with a federal agency? Then come down to my Office Hours at Bayside Community Center. My staff will be on hand to answer your questions and see if we can help. pic.twitter.com/s7ypIfEeN5",1125831228073172992,2019-05-07,18:34:16,repsusandavis,1,1,2
"Ramadan kareem! I wish San Diego's Muslim community and Muslims across the country a peaceful and joyous month of prayer, reflection, and community.",1125507641361543169,2019-05-06,21:08:27,repsusandavis,2,4,26
Senator Lugar was a tremendous human being and wonderful husband to Charlene. It was an honor and a privilege for me to glean from him his sensible and grounded approach to the issues. https://www.washingtonpost.com/local/obituaries/richard-lugar-six-term-senator-and-leading-voice-on-foreign-policy-dies-at-87/2019/04/28/2fa890ec-69ce-11e9-a66d-a82d3f3d96d5_story.html?fbclid=IwAR2AquI5lskBnhiD2qhyHS5GiptbDDB_qE4UN1ni94I0pDQgepJRTRbqnsQ&utm_term=.b25c8970cbd4 …,1124031048931627008,2019-05-02,19:21:00,repsusandavis,0,0,4
"#Climatechange is a worldwide crisis and requires worldwide cooperation. The House just passed the #ClimateActionNowAct, which I was proud to vote for, to block President Trump from pulling America out of the #ParisAgreement. Our children are watching. Their future depends on us. pic.twitter.com/pZuLD2yqkR",1123996432044822529,2019-05-02,17:03:26,repsusandavis,7,4,22
"Hi Jeremy-I'm an original cosponsor of HR 5, which includes my bill to prevent LGBTQ Americans from being removed from juries. Glad to see HR 5 pass the House Judiciary Committee and look forward to voting for it on the House floor!",1123996145028608003,2019-05-02,17:02:18,repsusandavis,1,1,0
"#HolocaustRemembranceDay is more significant than ever as we confront a rise in anti-Semitism in America. Our nation was founded on freedom, equality, and justice. We must stay true to these values as #WeRemember the six million Jews who were killed because of who they were. pic.twitter.com/WKjGKTboMl",1123969260190142465,2019-05-02,15:15:28,repsusandavis,3,5,10
