tweet,id,date,time,username,replies_count,retweets_count,likes_count
"We must continue to recognize the countless accomplishments of Black public servants, scientists, artists, veterans, entrepreneurs, and many, many others who have driven our culture, our economy, and our ideals – and have made this great country what it is.",1101244956784709634,2019-02-28,22:17:12,repsusanwild,0,5,9
"Thank you @RepDwightEvans for your #BlackHistoryMonth series. 

As this month comes to a close our reflection and appreciation for the many contributions of Black Americans to our country and the Commonwealth of Pennsylvania must not end. https://twitter.com/RepDwightEvans/status/1100919895234174979 …",1101244955752833024,2019-02-28,22:17:12,repsusanwild,19,16,45
"Pennsylvanians deserve to know what $$ they could lose in exchange for a wall along the border, especially if the #NationalEmergency Declaration means taking money from military construction projects in PA -- sacrificing military readiness & resources for our military families. https://twitter.com/RepHoulahan/status/1101183934325510146 …",1101206117638639623,2019-02-28,19:42:52,repsusanwild,9,13,28
"(so far) This week @HouseDemocrats:

🔹Passed #HR8 | universal background checks, 1st commonsense gun safety measure in decades
🔹Passed #publiclands package to save taxpayers $9M
🔹Passed #HJRes46 to overturn the natl emergency declaration that's making our nation less secure pic.twitter.com/vyQPkI7Yju",1100892145609785344,2019-02-27,22:55:15,repsusanwild,25,51,165
"Tune into C-SPAN now as I preside over the floor of the U.S. House of Representatives as ""Speaker Pro Tempore"" or ""temporary speaker"" !

 https://www.c-span.org/congress/ ",1100862706427531276,2019-02-27,20:58:16,repsusanwild,1,2,12
I’m proud to have voted for the passage of #HR8. It’s long past time we pass some commonsense measures to #EndGunViolence. Requiring background checks on every gun purchase is a vital step in the fight to protect our communities from this senseless violence. pic.twitter.com/u0T1jKJF7D,1100862120164552704,2019-02-27,20:55:57,repsusanwild,5,11,29
"Thanks, @kurtbresswein https://twitter.com/kurtbresswein/status/1100834019195928577 …",1100838573656420352,2019-02-27,19:22:23,repsusanwild,1,3,9
"Today in @HouseForeign, we are talking to Former Secretary of State Madeleine Albright about foreign policy over the last two years and America's role in our global community. Tune in here:  https://foreignaffairs.house.gov/hearings?ID=009511C5-8587-4855-AF2F-20D523B87851 … pic.twitter.com/9mX1Aebaku",1100790881286803456,2019-02-27,16:12:52,repsusanwild,2,3,11
"Today is a huge win #ForThePeople. The House just reached across the aisle to pass a #PublicLands package that will save taxpayers $9 million, protect wilderness, and permanently reauthorize #LWCF. I was an enthusiastic yes on this vote. pic.twitter.com/1x1ef9TEei",1100538568668258304,2019-02-26,23:30:16,repsusanwild,3,10,24
"Proud to vote in favor of the #PaycheckFairness Act in @EdLaborCmte - this is a very important step to closing the wage gap. It's long past time for Congress to ensure women are getting #EqualPay for equal work. It's 2019, after all. https://twitter.com/EdLaborCmte/status/1100473638355156992 …",1100491586041987072,2019-02-26,20:23:34,repsusanwild,20,17,49
"There is nothing more sacred to our democracy than the right to vote. That’s why I’m cosponsoring the #VRAA - the Voting Rights Advancement Act - to restore the #VotingRightsAct, prevent voter suppression, and strengthen election transparency. pic.twitter.com/KMaVPKRXtT",1100489209469530113,2019-02-26,20:14:08,repsusanwild,1,3,10
Proud to have @PAAttorneyGen Josh Shapiro on the job in Pennsylvania. He is a bold advocate on behalf of our citizens. https://twitter.com/PAAttorneyGen/status/1100202544759033856 …,1100437025080119296,2019-02-26,16:46:46,repsusanwild,0,2,12
"The bill also aims to increase the use of public school facilities for community-based partnerships that provide students with academic, health, and social services, increase programs for early learning, special ed, STEM and the arts, and a number of other important priorities.",1100432582142029824,2019-02-26,16:29:07,repsusanwild,0,2,11
"This bill aims to make long-term improvements to our public schools, including identification and remediation of toxic interiors (mold, mildew, exposure to lead, etc.), improvement of air and water quality in our schools, basic and vital repairs to make our schools.",1100432581416357888,2019-02-26,16:29:07,repsusanwild,1,3,11
This morning we are having a hearing in the @EdLaborCmte on the #RebuildAmericasSchoolsAct - a bill to rebuild and improve our public schools. A tall order? Yes. But I can think of no more pressing issue. All of America's children have the fundamental right to learn. pic.twitter.com/QE9xuX8nJJ,1100432579902218240,2019-02-26,16:29:06,repsusanwild,1,10,24
