tweet,id,date,time,username,replies_count,retweets_count,likes_count
Well said. I stand w farm workers! Si se puede! https://twitter.com/UFWupdates/status/1200055386918666242 …,1200206648750563329,2019-11-29,00:15:38,repsylviagarcia,4,12,40
"¡Houston, Feliz Día de Acción de Gracias! Hoy es un día para reflexionar sobre todo por lo que estamos agradecidos en nuestras vidas y para recordarle a nuestra familia y amigos cuánto los amamos. Espero que usted y sus seres queridos tengan un día lleno de muchas bendiciones. pic.twitter.com/JgIPwH8GMp",1200036871058993153,2019-11-28,13:01:00,repsylviagarcia,1,7,25
Happy Thanksgiving Houston! Today is a day to reflect on everything we have to be grateful for in our lives and to let our family and friends know how much we love them. I hope you and your loved ones have a blessed day. pic.twitter.com/6kGdsYpLEW,1200036620608647168,2019-11-28,13:00:00,repsylviagarcia,2,5,26
"The Safe Third Country Agreement with Guatemala is another racist attempt by this administration to refuse migrants access to asylum. 

We must fight to protect those who are applying for asylum, many who are women and children.

Read our letter below ⬇️ pic.twitter.com/nvmmitYacU",1199730811194499072,2019-11-27,16:44:49,repsylviagarcia,4,15,35
"Yuroba and Lolita were hard at work this week attending several early community Thanksgiving celebrations at @BakerRipley, the W. Leo Daniel Towers, and across #TX29.

#TeamSylvia is grateful to be able to serve the people of the Texas 29th Congressional District. pic.twitter.com/FB5Sc5gVcQ",1199720528644395008,2019-11-27,16:03:58,repsylviagarcia,1,5,9
".@senatemajldr’s legislative graveyard is on full display today.

McConnell must stop obstructing progress in the Senate and allow action on hundreds of bills passed in the House. #ForThePeople

McConnell what are you waiting for? pic.twitter.com/nH6ptABv8C",1199408137159225351,2019-11-26,19:22:38,repsylviagarcia,103,1564,2793
Just a reminder that Trump is no friend to the #LGBTQ community. https://twitter.com/IEquality/status/1198285404161691648 …,1199163359377215488,2019-11-26,03:09:58,repsylviagarcia,4,19,38
"The #ImpeachmentInquiry is about holding Trump accountable. McGahn is a central witness to allegations that Trump obstructed Special Counsel Mueller’s investigation.

We will continue to follow the evidence because no one is above the law.

#DefendOurDemocracy https://twitter.com/politico/status/1199100687101186049 …",1199158262249197568,2019-11-26,02:49:43,repsylviagarcia,3,8,31
Court says what we have said all along “...per the Constitution no one is above the law”. No absolute immunity even if President directs WH official not to appear/testify. Couldn’t be clearer.  Will add this decision to my list of things to be thankful for this Thanksgiving. 🇺🇸 https://twitter.com/AndrewDesiderio/status/1199098915955585026 …,1199106455368085505,2019-11-25,23:23:51,repsylviagarcia,4,58,183
"Orgullosa de unirme al Caucus de la Democracia de Venezuela.

Este grupo está comprometido a apoyar a Venezuela en su lucha para la libertad y elevar la importancia del TPS y ayuda humanitaria para el pueblo Venezolano.

Seguiremos luchando para una #VenezuelaLibre. 🇻🇪 pic.twitter.com/cFtyZwBP0m",1199036869117403136,2019-11-25,18:47:21,repsylviagarcia,3,10,16
"Proud to join the bipartisan Venezuela Democracy Caucus.

This group is committed to supporting Venezuela in its fight for freedom and standing up for TPS and humanitarian relief for the Venezuelan people.

We will continue fighting for a #VenezuelaLibre. 🇻🇪 pic.twitter.com/sCV8jGmuAO",1199035929647812609,2019-11-25,18:43:37,repsylviagarcia,4,10,20
"It’s unacceptable that Americans haven’t seen their wages grow in over a decade.

The @senatemajldr must act on the @HouseDemocrats’ #RaiseTheWage Act. 

Working families deserve better and it is time they got a raise.

#10YearChallenge pic.twitter.com/bBcEkw0E5x",1199000672412327936,2019-11-25,16:23:31,repsylviagarcia,46,78,177
"Stephen Miller is a white supremacist whose racism has fueled Trump’s anti-Latino and anti-immigrant polices that have ripped families apart.

There is not place in America for white supremacy.

#StephenMillerMustGo https://twitter.com/HispanicCaucus/status/1198990938858754048 …",1198996863556489216,2019-11-25,16:08:23,repsylviagarcia,5,107,230
".@RepLucyMcBath thank you for having the courage to share how you turned your pain into action.

Proud to serve on @HouseJudiciary with you.

We stand with you and will continue fighting to honor your son by putting an end to gun violence. https://twitter.com/RepLucyMcBath/status/1198336044002877441 …",1198660998518972416,2019-11-24,17:53:46,repsylviagarcia,9,34,142
"Honored to be a part tonight’s naturalization ceremony in Houston City Hall. 

America must continue to be a beacon of hope for all immigrants. 

Congratulations and thank you for making our country great. 🇺🇸
#ImmigrantsAreWelcomeHere
#ImmigrantsMakeAmericaGreat pic.twitter.com/ZB1JIRtbxd",1198052288268513280,2019-11-23,01:34:58,repsylviagarcia,1,12,28
Great meeting with the @the_ILRC and  Houston Leads to talk about immigration policy and my work in Congress to protect immigrant communities in Houston and across the country. pic.twitter.com/hbIdz5VZa9,1198004492773601280,2019-11-22,22:25:03,repsylviagarcia,1,6,10
"Here's your weekly update! We held a hearing on the impacts of private equity companies on consumers and marked up many bills, including a bill that'll protect farm workers. Also introduced a new bill related to Facebook's Libra Project and passed an amendment on the House Floor. pic.twitter.com/QKnnBFlFPT",1198003230988484610,2019-11-22,22:20:02,repsylviagarcia,1,9,9
"Trump’s #RemainInMexico policy is cruel and hurting migrants, many who are women and children.

We must continue to fight against this anti-Latino and anti-immigrant policy that are hurting the most vulnerable. https://twitter.com/HispanicCaucus/status/1197954147347156992 …",1197994599417098241,2019-11-22,21:45:44,repsylviagarcia,1,11,22
"Texas should be doing everything possible to ensure every Texan is counted in the #2020Census.

An accurate census count in 2020 could affect representation in Congress and billions in federal funding for communities across the country. https://www.texastribune.org/2019/11/20/texas-officials-nonprofits-filling-gaps-support-2020-census/?utm_source=Editorial%3A+Texas+Tribune+Master&utm_campaign=670ec84e24-trib-newsletters-rss&utm_medium=email&utm_term=0_d9a68d8efc-670ec84e24-102325501&mc_cid=670ec84e24&mc_eid=4f48c389db …",1197993701278146560,2019-11-22,21:42:10,repsylviagarcia,0,5,7
Had a blast spending time with seniors at Luby’s Restaurant for an early Thanksgiving celebration. pic.twitter.com/YG2QN2ilvJ,1197991249837481985,2019-11-22,21:32:26,repsylviagarcia,1,5,12
"Earlier this week, Yuroba from #TeamSylvia attended the Harris County Clerk's Office Grand Opening & Ribbon Cutting Celebration at the Jim Fonteno Annex and participated in the @GalenaParkISD community Thanksgiving celebration. pic.twitter.com/VahaRfPKRq",1197983044331876352,2019-11-22,20:59:49,repsylviagarcia,0,4,4
Just a reminder that McConnell is a coward who continues to obstruct legislative action in the Senate. https://twitter.com/RepSylviaGarcia/status/1195125419642675201 …,1197967372432412674,2019-11-22,19:57:33,repsylviagarcia,25,233,669
"It’s been a busy day across #TX29.

🔷 Attended @AJCGlobal America’s Table Breakfast (nice seeing   @ArtAcevedo there)

🔶 Participated in Judge Joe Stephen’s Communjty Turkey 🦃 Giveaway

🔷 Went to the Precinct 6 Luncheon with Judge Angela Rodriguez and @Pct6Constable pic.twitter.com/GvItXXXkm5",1197962840407232512,2019-11-22,19:39:32,repsylviagarcia,1,9,12
"There’s no place for a white nationalist in the White House.

#StephenMillerMustGo https://www.dailykos.com/stories/2019/11/21/1901063/-House-Democrats-call-for-immediate-firing-of-documented-white-nationalist-Stephen-Miller …",1197632800863723520,2019-11-21,21:48:05,repsylviagarcia,94,970,2597
"Yesterday Latinas made our voices heard across the country for #LatinaEqualPayDay.

We must continue to speak out every day until we finally close the pay gap that affects us the most.

For the good of our families and communities, we MUST close the Latina pay gap. #LatinaPower pic.twitter.com/s9xAJFRz0W",1197618788675522560,2019-11-21,20:52:24,repsylviagarcia,1,18,34
"Joined @RepZoeLofgren & colleagues in @HouseJudiciary  to vote for the #FarmWorkforceModernizationAct.

Growing up on my family’s farm picking cotton, I know firsthand how hard it is to work on a farm.

This bill guarantees the dignity and respect of our nation’s farm workers. https://twitter.com/UFWF/status/1197586973189431298 …",1197596769208717312,2019-11-21,19:24:54,repsylviagarcia,0,12,26
"🚨@HouseDemocrats have passed three bills to protect the integrity of our elections.🚨

Instead of taking action on these bills, @senatemajldr has stalled all of them in the Senate. https://twitter.com/RepKClark/status/1197537843066888193 …",1197567260665286657,2019-11-21,17:27:39,repsylviagarcia,4,88,175
Tune in to the fifth day of public hearings for the Presidential Impeachment Inquiry. 👇🏼 https://twitter.com/HouseDemocrats/status/1197511662233763840 …,1197548045082210309,2019-11-21,16:11:17,repsylviagarcia,0,2,11
".@HouseDemocrats have reauthorized #VAWA, marked up a bill to remove the 7 yr deadline to ratify the ERA, & stood w/ Latinas as we demanded more for #LatinaEqualPayDay.

Read my Op-Ed on why the #ERA is needed for women to FINALLY achieve full equality.👇🏼 https://www.houstonchronicle.com/opinion/outlook/article/1121-OpEd-Garcia-14850093.php …",1197526650952601601,2019-11-21,14:46:17,repsylviagarcia,28,329,783
"Highlight of my day was finding a ‘tocaya’ among United Farm Workers in audience at Judiciary Hearing. My lucky day. Haven’t met too many tocayas- this is number 3. FYI for those who want to know, tocaya is essentially your namesake. She was from UFW in Fresno, CA. @UFWupdates pic.twitter.com/pHXQ4bCB3L",1197363392761225217,2019-11-21,03:57:33,repsylviagarcia,1,7,38
"Over the last week, Lolita from #TeamSylvia has been busy across #TX29 sharing important information about Medicare and Social Security benefits with our seniors. pic.twitter.com/4lcZZT9yVT",1197299430933839875,2019-11-20,23:43:23,repsylviagarcia,0,4,7
"As a young girl, I learned the value of hard work on my family's farm. 

Farm workers are people and not just disposable labor.

They are deserving of dignity and respect.

Let’s stand up for our friends working to grow America's food. #FutureFarmWorkforce #FWMA pic.twitter.com/Rxavoos5x5",1197266325527310338,2019-11-20,21:31:50,repsylviagarcia,0,28,61
"I was raised on a small farm in Palito Blanco, Texas, where I picked cotton on my family's farm.

I can testify firsthand about the difficulty and dignity of farm work.

Farm workers are people, not just units of labor.

#FarmWorkerStories #FarmWorkforceModernizationAct pic.twitter.com/Eik1f7sRg9",1197265582892208128,2019-11-20,21:28:53,repsylviagarcia,3,50,165
"Hoy para #LatinaEqualPayDay me uno a las latinas en los Estados Unidos para exigir que cerremos el #GenderPayGap para las latinas.

No es justo que las latinas ganen solo 53 centavos por cada dólar ganado por un hombre blanco.

¡Como Latinas, exigimos más! pic.twitter.com/BUCxQoTcsB",1197234475228418050,2019-11-20,19:25:17,repsylviagarcia,2,12,29
"On #LatinaEqualPayDay, I'm joining Latinas across the U.S. in demanding that we close the #GenderPayGap for Latinas.

It's wrong that Latinas make only 53 cents for every dollar earned by a white, non-Hispanic man.

We demand more! pic.twitter.com/2QtKq8vYQA",1197233719989415939,2019-11-20,19:22:17,repsylviagarcia,0,14,37
"Brooklyn Lindsey
Denali Berries Stuckey
Bubba Walker
Tracey Single
Kiki Fantroy
Jordan Cofer
Ladime Doe
Bailey Reeves
Bee Love Slater
Jarmagio Jamar Berryman
Itali Marlowe
Brianna “BB” Hill",1197219048020312064,2019-11-20,18:23:58,repsylviagarcia,0,6,19
"Dana Martin
Jazzaline Ware
Ashanti Carmon
Claire Legato
Muhlaysia Booker
Michelle Simone
Paris Cameron
Alunte Davis
Timothy Blancher
Chynal Lindsey
Chanell Scurlock
Zoe Spears",1197219047085137922,2019-11-20,18:23:58,repsylviagarcia,1,6,22
"Today, we commemorate the #TransDayofRemembrance, a day when we remember our transgender brothers and sisters who've been murdered as a result of transphobia.

Today, I honor every transgender woman and man who has been killed in 2019. 

I honor them by saying their names. #TDOR pic.twitter.com/jghl9Ax7zG",1197217323779792901,2019-11-20,18:17:07,repsylviagarcia,9,163,436
"""Was there a quid pro quo?""

""The answer is yes.""

- Ambassador Gordon Sondland

#DefendOurDemocracy https://twitter.com/HouseIntel/status/1197179974618357761 …",1197181239012270081,2019-11-20,15:53:44,repsylviagarcia,4,17,39
