tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Earlier today, I had a blast at the American Superhero Project Photo Shoot with @nategowdy. I want every little Latina girl to know that she can be anything she aspires to be, be it a superhero or a Congresswoman. pic.twitter.com/yPUoysKGur",1190043083888627712,2019-10-31,23:09:15,repsylviagarcia,3,12,60
"Nothing is scarier this #halloween2019 than the 
#McConnellGraveyard, where 200+ bills have yet to be voted on.

@senatemajldr it's time for you to act more like the Leader of the Senate and less like the legislative Grim Reaper.

Will you finally deliver results #ForThePeople? pic.twitter.com/ReNphMfhOb",1189956279051141121,2019-10-31,17:24:19,repsylviagarcia,169,2687,4926
"JUST NOW: @HouseDemocrats voted to formalize the rules for the next phase of the #impeachment inquiry because no one is above the law.

While Republicans continue trying to obstruct this process, we will hold Trump accountable while continuing to get things done #ForThePeople.",1189929221294088192,2019-10-31,15:36:48,repsylviagarcia,6,7,41
"No one is above the law, not even Trump! H. Res. 660 provides the path forward for the next phase of the impeachment inquiry. 

We will continue to move forward in a fair, professional manner that exposes the truth to the American people. 

#TruthExposed https://www.nytimes.com/2019/10/30/opinion/trump-impeachment-inquiry.html …",1189896573809045506,2019-10-31,13:27:05,repsylviagarcia,15,92,330
"Thank you for a thrilling season, @astros.

We’ll #TakeItBack  next season. #HoustonStrong #HoustonAstros https://twitter.com/astros/status/1189751604515225600 …",1189753437006770178,2019-10-31,03:58:18,repsylviagarcia,0,7,25
"Bolton is expected to testify before the House.

@HouseDemocrats are leaving no stone unturned in our investigation.

While Republicans attempt to discredit the #impeachment inquiry, Democrats are holding Trump accountable because no one is above the law. https://www.google.com/amp/s/www.politico.com/amp/news/2019/10/30/impeachment-investigators-ask-john-bolton-to-testify-000307 …",1189739421777776640,2019-10-31,03:02:37,repsylviagarcia,11,91,343
Let’s #TakeItBack https://twitter.com/astros/status/1189696807607115776 …,1189697135870132225,2019-10-31,00:14:35,repsylviagarcia,0,4,8
"Yesterday, we held a hearing in @HouseJudiciary on how our current immigration system is failing non-citizen members of the military that have bravely served our country.

We should thank these brave men and women by giving them a pathway to citizenship, not by deporting them. pic.twitter.com/QNNZSZD2rl",1189667101394558979,2019-10-30,22:15:14,repsylviagarcia,4,37,81
"The #NewDealforNewAmericans Act would provide immigrants and refugees w/ resources to better navigate the citizenship process.

Proud to join @RepGraceMeng, @RepJayapal, and @RepChuyGarcia in supporting this bill that would make the American Dream more accessible for immigrants.",1189611018164625408,2019-10-30,18:32:23,repsylviagarcia,5,19,84
"Honré a los niños y familias que han muerto buscando refugio en EE. UU. con un rosario como ofrenda para el altar del #DiaDeLosMuertos en la Capital.

Con el corazón pesado, reflexioné sobre sus sacrificios en búsqueda del sueño Americano. Seguiremos honrándolos con acción. pic.twitter.com/HL4ymvVkyn",1189569299813408768,2019-10-30,15:46:36,repsylviagarcia,0,8,15
