tweet,id,date,time,username,replies_count,retweets_count,likes_count
".@Judgenap asks, ""What would the Congress do, Congressman Massie, if next week we wake up and we find out that there are 5,000 American soldiers at the Columbia/Venezuela border with their weapons pointing towards Venezuela?""

my answer:

 https://www.google.com/amp/s/insider.foxnews.com/amp/article/65043 …
#sassywithmassie",1091067371853410304,2019-01-31,20:15:07,repthomasmassie,29,88,207
"Heavy accumulation in the DC/Virginia area. Up to 1/2 inch of salt already in some areas.
#sassywithmassie",1090451528970846209,2019-01-30,03:27:58,repthomasmassie,46,104,703
Catch the replay... because I know a few people in KY were watching basketball 🏀 instead... https://twitter.com/LibertyCliff/status/1090441299461849088 …,1090442378912124928,2019-01-30,02:51:37,repthomasmassie,5,25,114
"I’ll be on @FoxBusiness later to discuss @KennedyNation’s very own State of the Union address, focusing on matters of liberty. 🇺🇸

Join us TONIGHT at 9:30pm ET!",1090413963135864837,2019-01-30,00:58:42,repthomasmassie,9,19,85
"Chairman Cummings just said the name change reflects the reality that the committee has always conducted oversight of government and private entities, regardless of who is in the majority.  Unfortunately he’s right, but I suspect more intervention into private affairs is afoot.",1090273128025124864,2019-01-29,15:39:04,repthomasmassie,121,179,632
"My first committee meeting in the minority just gaveled in. The Democrats have changed the name of the Oversight and Government Reform Committee to the Oversight and Reform Committee... presumably because they want to reform more than government, using the force of government?",1090267001442918400,2019-01-29,15:14:43,repthomasmassie,201,674,1704
The founding fathers were pragmatic ideologues.,1090250257894641665,2019-01-29,14:08:12,repthomasmassie,5,4,58
"I agree, but the prevailing pragmatists have put us $21 trillion in debt.",1090248436123869184,2019-01-29,14:00:57,repthomasmassie,4,3,41
Congress needs fewer partisans and more ideologues.,1090246322148519943,2019-01-29,13:52:33,repthomasmassie,96,222,1310
"💁‍♂️Hey, if I don’t like and tweet my own material, how can I expect others to ?  😉",1090229868279803907,2019-01-29,12:47:10,repthomasmassie,1,0,5
"“You can make a grandma feel bad about making cookies for her grandkids.”

There’s almost an art to the absurdity, Massie suggested.

<When grandma answers>

“You say, ‘I’m sorry, I’ve only got five minutes, I’ve got to move on to the next question. What about the applesauce?” https://twitter.com/RepThomasMassie/status/1090098126952779776 …",1090099837666775042,2019-01-29,04:10:29,repthomasmassie,15,21,87
"“You walk in here, into the back room, you muster your righteous indignation and you step out on the stage and ask somebody: ‘How could you? What were you thinking? When did you first know?’” said Rep. Thomas Massie

 https://www.washingtonpost.com/politics/congress/5-house-freshmen-get-seats-on-panel-probing-trumps-wh/2019/01/28/02f42630-2345-11e9-b5b4-1d18dfb7b084_story.html?noredirect=on …",1090098126952779776,2019-01-29,04:03:41,repthomasmassie,15,22,81
"I’ll be reintroducing it, but I’m not optimistic we can pass it in this Congress.  Have to keep pushing it though.",1089868651262545920,2019-01-28,12:51:49,repthomasmassie,1,1,2
Bishop apologizes. https://www.lifesitenews.com/news/breaking-covington-bishop-apologizes-to-pro-life-students-we...allowed-ours …,1089022450132807680,2019-01-26,04:49:19,repthomasmassie,104,154,544
Stealing someone’s identity and sending out fake emails... very shady stuff... https://www.foxnews.com/opinion/john-lott-buzzfeed-and-me-the-incredible-thing-the-sites-publisher-did-using-my-name-without-permissiojohn-lott-buzzfeed-and-me-the-incredible-thing-the-sites-ceo-did-using-my-name-without …,1088992616107200512,2019-01-26,02:50:46,repthomasmassie,23,68,145
"which one? 
#sassywithmassie",1088589574694154240,2019-01-25,00:09:14,repthomasmassie,3,1,5
"If you know how many guns you have, then you don’t have enough.",1088570721821962240,2019-01-24,22:54:19,repthomasmassie,16,59,225
"President @realDonaldTrump has now made two separate offers so generous that conservatives are queasy about them.  @SpeakerPelosi’s response seems to be that she won’t compromise at all because if she compromises now, she might have to compromise in the future.  🤦🏻‍♂️",1088438991811166208,2019-01-24,14:10:52,repthomasmassie,177,335,1107
What’s a couple hundred million among friends? #sassywithmassie https://twitter.com/Reduce_Spending/status/1088140828944580608 …,1088160809283407877,2019-01-23,19:45:28,repthomasmassie,40,141,846
"I had my coffee this morning while talking with Brian Thomas on @55KRC radio. This was a fun interview. 🎙

Listen here -  https://ihr.fm/2FJdwoX  pic.twitter.com/MnEicA78Ed",1088080272556474370,2019-01-23,14:25:27,repthomasmassie,31,63,314
"Actually I’d call it the “Pledge Allegiance to NATO Act,” and that’s correct, 22 of us did not.

 https://docs.house.gov/billsthisweek/20190121/BILLS-116hr676-SUS.pdf … https://twitter.com/sahilkapur/status/1087891733780877312 …",1087936146661875713,2019-01-23,04:52:44,repthomasmassie,165,284,1080
I’ll be joining @ShannonBream on @FoxNews tonight at 11:10pm ET to discuss #CovingtonCatholic. Tune in!,1087871456552329216,2019-01-23,00:35:41,repthomasmassie,40,76,266
"To help correct the false media narrative about my constituents from Covington Catholic High School, @glennbeck & his team put together a chronological outline of events from the confrontation — complete with video evidence. Please share! https://www.youtube.com/watch?v=da1Wy4O2shc …",1087801274488315905,2019-01-22,19:56:48,repthomasmassie,273,1712,2929
Thank you @realDonaldTrump for supporting our CovCath students. https://twitter.com/realDonaldTrump/status/1087541961295314945 …,1087547587647995904,2019-01-22,03:08:45,repthomasmassie,208,517,1979
"Tune in! 

 http://danaloeschradio.com/listen  https://twitter.com/DLoesch/status/1087447371510878208 …",1087447728123273216,2019-01-21,20:31:56,repthomasmassie,38,55,237
"#StandWithCovingtonCatholic schedule & links

1:35pm ET - @foxnewsradio with @toddstarnes 

listen live -  https://radio.foxnews.com/fox-news-talk/todd-starnes/ …

2:15pm ET - @larrygloverlive  

listen live -  http://www.wvlkam.com/shows/larry-glover-live/ …

4:30 pm ET - the @benshapiro radio show 

listen live-  http://www.wmal.com/the-ben-shapiro-show/ …",1087413585045848064,2019-01-21,18:16:16,repthomasmassie,96,119,412
"“It’s almost like this was a big psychology experiment – like freshman psychology 101. You were told, before you saw the video, what you were watching so that when you watched the video, you completely fell for it.” https://bigleaguepolitics.com/exclusive-interview-rep-thomas-massie-stands-up-for-covington-catholic-students/ …",1087404928568561665,2019-01-21,17:41:52,repthomasmassie,206,786,2150
"Here’s my #StandWithCovingtonCatholic interview schedule today. 

@LelandShow
@bigleaguepol
@BillCunninghamS
@MightyHeaton
@toddstarnes
@benshapiro pic.twitter.com/jkoUOo5NV2",1087381630598172672,2019-01-21,16:09:17,repthomasmassie,114,380,1296
Nick’s public statement. pic.twitter.com/kOQiUfbry7,1087168862620127232,2019-01-21,02:03:50,repthomasmassie,492,1591,5112
"(5/5) In the context of everything that was going on (which the media hasn’t shown) the parents and mentors of these boys should be proud, not ashamed, of their kids’ behavior. It is my honor to represent them.",1087114941625192448,2019-01-20,22:29:34,repthomasmassie,1454,4342,16354
"(4/5) In the face of racist and homosexual slurs, the young boys refused to reciprocate or disrespect anyone. Even when taunted by homophobic bigots, which was obviously bewildering to them, they insulted no one.",1087114940421492741,2019-01-20,22:29:34,repthomasmassie,353,2600,10104
(3/5) I’ve now watched over an hour of other videos from 4 different cameras of the incident in front of the Lincoln Memorial. I urge everyone to watch the other videos before passing judgement. Would you have remained that composed at that age under those circumstances?,1087114939431571468,2019-01-20,22:29:33,repthomasmassie,285,2111,9044
(2/5) The honorable and tolerant students of Covington Catholic School came to DC to advocate for the unborn and to learn about our nation’s Capitol. What they got was a brutal lesson in the unjust court of public opinion and social media mobs.,1087114938227834880,2019-01-20,22:29:33,repthomasmassie,476,2378,9384
"(1/5) I was uncomfortable when I saw the video & description that first went viral, so I understand the initial reactions to the CovCath video. I chose to wait for more facts before responding because the narrative did not match what I know to be the character of these students.",1087114937170886656,2019-01-20,22:29:33,repthomasmassie,1235,4150,12545
