tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Yesterday, while in DC, I spoke with @NateOnTheHill about why Congress shouldn’t pass bills with no one in town. Do you agree? https://twitter.com/NateOnTheHill/status/1134457455725989888 …",1134566176305098758,2019-05-31,21:03:50,repthomasmassie,68,96,349
"General observation of 

1) phone calls to my office. Leftists are just downright mean to my staff who answer the phones.  Not sure what they think they are accomplishing.

2) twitter and Facebook comments.  Twitter is worse than FB due to all the fake & anonymous accounts.",1134549798223302656,2019-05-31,19:58:45,repthomasmassie,28,1,30
"Why do leftists often use violent language?

1) Without facts, they quickly resort to intimidation. 

2) Violent acts such as killing, trespassing, stealing, enslaving, and caging, are only legal when committed by the government... they want more government.",1134547715998851072,2019-05-31,19:50:29,repthomasmassie,305,400,1383
"I’ll join @larrygloverlive at 12:35pm ET to discuss why @RepChipRoy, @RepJohnRose, and I requested votes on the $19 billion spending bill Speaker Pelosi tried to pass while Congress was out of town. 

Tune in! http://www.wvlkam.com/shows/larry-glover-live/ …",1134478924874997760,2019-05-31,15:17:07,repthomasmassie,17,16,73
"I’ve seen bills pass when a full quorum was not in the chamber, but a quorum was in town and Congress was in a regular session.  In fact I’ve forced roll call votes on dozens before.

What’s new here: passing major spending legislation with virtually all of Congress out of town.",1134305975534403584,2019-05-31,03:49:53,repthomasmassie,2,0,6
It’s in the Constitution.  Half of Congress has to show up for work to conduct business. Ignore this rule routinely for significant legislation and things will go to hell pretty fast.,1134294073387507712,2019-05-31,03:02:35,repthomasmassie,3,3,20
"In my defense, he clearly owned himself. #sassywithmassie",1134264430072651776,2019-05-31,01:04:48,repthomasmassie,4,9,81
I love that you’re actually trying to prove my point. Their effort to do formal business (pass a $19 billion spending bill) in a proforma session today with only 4 members present _was_ legislative malpractice. https://twitter.com/facialmerkin/status/1134226995326271488 …,1134264161502932993,2019-05-31,01:03:44,repthomasmassie,51,111,589
I offer you my hashtag:  #sassywithmassie,1134261823476310017,2019-05-31,00:54:26,repthomasmassie,2,0,2
"You’re a parliamentary genius!
#SassyWithMassie https://twitter.com/repthomasmassie/status/1134211545800597506?s=21 …",1134229222531227648,2019-05-30,22:44:54,repthomasmassie,1,0,1
It was an honor to stand beside @RepJohnRose on the floor today when he objected to spending $19 billion without even a vote of Congress.  His remarks are well worth reading.  Pelosi and several Dems were in Hollywood raising money while @RepJohnRose was doing his job in DC! https://twitter.com/RepJohnRose/status/1134204028047560722 …,1134226033186656256,2019-05-30,22:32:13,repthomasmassie,33,84,299
I’m the one who asked for a vote.,1134222354660413440,2019-05-30,22:17:36,repthomasmassie,0,0,2
Pelosi is in LA raising $.  I spent the morning with the Federal GSA and mayor of my biggest city (a Democrat) working on making sure the IRS building that’s being vacated by the IRS goes to the highest and best use.  I hopped the plane to DC after that to do my job in Congress.,1134222215912800256,2019-05-30,22:17:03,repthomasmassie,3,5,16
Which is fundraising in Hollywood and cracking jokes on Jimmy Kimmel... that’s her schedule today.,1134213169264701440,2019-05-30,21:41:06,repthomasmassie,2,2,4
Pretty sure Congress _was_ in session today since I said the pledge of allegiance after the opening prayer was delivered. https://twitter.com/facialmerkin/status/1134208179389194240 …,1134211545800597506,2019-05-30,21:34:39,repthomasmassie,34,77,471
