tweet,id,date,time,username,replies_count,retweets_count,likes_count
This is great news for EVRAZ and the town of Pueblo! https://www.chieftain.com/news/20190927/pueblos-evraz-site-to-host-bighorn-solar-project?fbclid=IwAR2CMG6dEKFyc-PEmdbdtklxH1WC35Ny4lML9Wh3_0W--EvKxse_dzx1wzw …,1177658341012770816,2019-09-27,18:56:42,reptipton,2,0,3
Tomorrow is the @BLMNational's 26th annual National Public Lands Day. It's been designated as a fee-free day and there are plenty of volunteer opportunities. More info here:   https://on.doi.gov/2y2Ja9W ,1177642417325039617,2019-09-27,17:53:26,reptipton,7,1,2
"As Congress & the administration continue to work through #USMCA, I've asked @SecretarySonny to take a look into the serious trade imbalance Colorado potato growers face in regards to Mexican market access. Full letter available here:  https://bit.ly/2nb7S78 
#TiptonTalksTaters",1177591702539964416,2019-09-27,14:31:55,reptipton,47,74,121
"Trade deals should be made in good faith, understanding that they provide unmatched benefits for businesses, families and all consumers. I am glad to see the U.S. and Japan make progress on a long-term trade deal, this is big news for Colorado agriculture! https://www.cnbc.com/2019/09/25/trump-says-us-and-japan-have-reached-an-initial-trade-agreement.html …",1176964552430379016,2019-09-25,20:59:50,reptipton,6,3,8
Great turnout today!  https://twitter.com/westerncaucus/status/1176564743626272775 … pic.twitter.com/CLI1BGl0qO,1176565379696594950,2019-09-24,18:33:40,reptipton,5,0,2
"Many heroes never return home from war, today we honor them. You are not forgotten. #POWMIARecognitionDay pic.twitter.com/3tpN3TQd5E",1175082127475560449,2019-09-20,16:19:45,reptipton,7,1,2
"cc @RideRTD

Pueblo would welcome the museum with open arms. 

P.S. One Medal of Honor Recipient is enough to nationally recognize these heroes, Pueblo has four. #HomeOfHeroes https://twitter.com/denveropinion/status/1174671177257750530 …",1174764253095616512,2019-09-19,19:16:38,reptipton,6,6,15
We are thankful for all Airmen! Happy Birthday @usairforce! https://twitter.com/DeptofDefense/status/1174261782153576449 …,1174294083294117888,2019-09-18,12:08:21,reptipton,1,0,2
Happy #ConstitutionDay! pic.twitter.com/8hbB8LFBFZ,1173999923282493441,2019-09-17,16:39:28,reptipton,5,2,7
"I have long called for the repeal of the previous administration's #WOTUS rule, and I applaud @EPA's efforts today to restore regulatory clarity for farmers, ranchers, and landowners. https://bit.ly/2keCVOd ",1172229917565698050,2019-09-12,19:26:05,reptipton,5,4,10
"As we reflect on the tragic memories of September 11th, we should also be mindful of the tremendous heroism displayed by so many in the days and years following the attacks.

My latest column: https://tipton.house.gov/media/press-releases/column-remembering-911-eighteen-years-later …",1171745068073521153,2019-09-11,11:19:28,reptipton,0,0,0
"Eighteen years ago, our nation watched in horror as radical terrorists attacked us on our own soil, killing thousands of innocent people and forever changing the course of history.",1171745067339567104,2019-09-11,11:19:28,reptipton,1,0,0
"With the memory of that day still raw for so many, and the impacts of it that continue to change the world, it is hard to believe that already we now have an entire generation of Americans who had not yet been born when the attacks occurred. #NeverForget911 pic.twitter.com/SnxsuAPel4",1171745065389236225,2019-09-11,11:19:28,reptipton,3,1,3
Moving the BLM West has long had bipartisan support and I am glad to continue advocating on behalf of the folks in Grand Junction at today’s Natural Resources hearing. Bringing the policy makers closer to the lands they manage is just common sense. https://twitter.com/westerncaucus/status/1171424516603617280 …,1171425921800298496,2019-09-10,14:11:18,reptipton,9,6,20
"What makes #Pueblo the perfect home for the Nat'l Medal of Honor Museum?
✅ Four Medal of Honor Recipients
✅ Host of 2 Congressional MoH Society Conventions 
✅ Home to the Center for American Values
✅ Top 17 Patriotic City in America https://www.chieftain.com/opinion/20190909/fighting-for-pueblos-honor …",1171169607782227969,2019-09-09,21:12:48,reptipton,4,1,6
"“You won’t find any other city in the country that is more patriotic...” 

My full interview available here:  https://www.facebook.com/191428784201721/posts/2631036073574301?sfns=xmo … https://twitter.com/KRDONC13/status/1170071513325813761 …",1170160602066640899,2019-09-07,02:23:22,reptipton,2,1,5
"Pueblo deserves to be recognized for its incredible ties to the Medal of Honor. This is why I’ve asked the National Medal of Honor Museum to consider Pueblo as their new site before they make their final decision. Read more here:  https://bit.ly/2lFqsTX 
#HomeOfHeroes pic.twitter.com/g5hoqSj06B",1169648379376349186,2019-09-05,16:27:59,reptipton,0,0,6
