tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I sat down with @rollcall to talk about being the first Filipino-American elected to Congress from California, my mom, and delicious adobo chicken! #ca21 https://www.rollcall.com/news/congressman-tj-cox-talks-filipino-food-heritage-decided-run …",1134568660943589376,2019-05-31,21:13:42,reptjcox,1,6,19
We’re having a blast reading to Ms. Villarreal’s Head Start class in Hanford! @RepBarbaraLee pic.twitter.com/k1EPnJN5dU,1133871244913364992,2019-05-29,23:02:25,reptjcox,2,0,14
Exciting morning with my good friend @RepBarbaraLee touring our Valley citrus farms and Fowler Packing. Follow us throughout the day as we make our way to Kings County for an Ag Roundtable with our farmers and ranchers and meet with Kings Community Action Organization. pic.twitter.com/m6IUjWOIaF,1133807134640967681,2019-05-29,18:47:40,reptjcox,1,9,35
"Vibrant communities provide opportunity and a high quality of life for elders. 

That's why my team has been out in force with mobile office hours this #OlderAmericansMonth and all year, to ensure all members of our community can take advantage of the benefits they earned. #OAM19 pic.twitter.com/z9XCSubva5",1133463950111182854,2019-05-28,20:03:59,reptjcox,1,0,4
"On this day, let us remember the men and women of our community who so bravely sacrificed their lives fighting for our freedom. May we honor their sacrifice by steering our country towards equality, justice and opportunity for all. #MemorialDay #CA21 pic.twitter.com/RgSz02EYX4",1132993651007787014,2019-05-27,12:55:11,reptjcox,1,2,5
We must protect this beautiful land and the families who make their living by feeding the world. pic.twitter.com/VHrUHuXr6Y,1132376765345566721,2019-05-25,20:03:54,reptjcox,4,5,26
"To round out our tour, Chair Grijalva, @RepJimCosta, and I are meeting with local leaders in government and agriculture. pic.twitter.com/jkbLEG0reu",1132376751730880512,2019-05-25,20:03:50,reptjcox,4,5,23
"This morning, I got to introduce Chairman Raúl M. Grijalva to some of the 400 Californians picking cherries on Joe Del Bosque's farm in Firebaugh. pic.twitter.com/Yny2KPAgCF",1132376739731058688,2019-05-25,20:03:47,reptjcox,3,9,50
Bridges on the Friant-Kern Canal have sunk into the ground due to subsidence. I'm glad I can show @RepRaulGrijalva that we need to take action now to protect this farmland for future generations. @NRDems pic.twitter.com/hjokd31Evb,1132066245581430785,2019-05-24,23:30:00,reptjcox,1,3,14
"What an honor to show off @McfarlandHigh, made famous by its championship cross country team, to my friend @RepRaulGrijalva #CA21 pic.twitter.com/IIFku5xtOO",1132022813454245888,2019-05-24,20:37:25,reptjcox,0,3,13
Follow Chairman Grijalva and I as we tackle the pressing water infrastructure needs of my constituents in the Central Valley! We promise to keep you entertained along the way with dad jokes and important 💦 points made during our tours and meetings! #CA21 @NRDems @RepRaulGrijalva pic.twitter.com/Q2Hzpc3hvf,1131961419900096519,2019-05-24,16:33:27,reptjcox,0,2,4
Joining @NRDems in shell-ebrating #WorldTurtleDay! https://twitter.com/NRDems/status/1131656907503087616 …,1131663298083074049,2019-05-23,20:48:50,reptjcox,1,3,23
My colleagues and I are ready & willing to work with @realDonaldTrump on a historic infrastructure package to create jobs & progress in people’s lives. The only question is will he join us?  #RebuildAmerica,1131649906702209024,2019-05-23,19:55:37,reptjcox,5,14,22
"Successful meeting today with my colleagues on the Congressional Asian Pacific American Caucus @CAPAC! We were pleased to be joined by Majority Leader Steny Hoyer and Chairman of the Democratic Caucus, Hakeem Jeffries to discuss our priorities for the 116th Congress.#APAHM #CAPAC pic.twitter.com/7BVe8YaLZX",1131353059802714113,2019-05-23,00:16:03,reptjcox,0,0,2
"@CFPB is an agency that affects us all. We must ensure it is protected, transparent and cooperative, not only with harmed consumers, but other government agencies, including @DeptofDefense and @usedgov. #ConsumersFirst pic.twitter.com/Oro3Rhv12F",1131259688497111041,2019-05-22,18:05:02,reptjcox,0,2,3
"During today's Livestock and Foreign Agriculture hearing, I asked @USDA what the agency is doing to eradicate Newcastle disease - a disease that would devastate California's poultry and egg industry!  @HouseAgDems pic.twitter.com/5nCBYt4onW",1130995152200306689,2019-05-22,00:33:51,reptjcox,1,4,8
"On this day 100 years ago, the 19th Amendment passed in the House, giving women their rightful voice in our democracy. Today, the 116th Congress has more women than ever before. I’m proud to stand beside the most diverse Congress in history as we work for a more just America!#ERA pic.twitter.com/ypunljFztW",1130891186082861058,2019-05-21,17:40:44,reptjcox,2,5,13
