tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today and every day, let’s make sure and take time to be thankful to the farmers, ranchers, and farm workers who work hard every day to put food on our tables.

Happy Thanksgiving! 🦃 pic.twitter.com/DpMnhL38tU",1200121090766495744,2019-11-28,18:35:39,reptjcox,0,6,16
Ag is the backbone of the Central Valley and I'm working every day to bring this industry's voice to Washington.,1199712689217556480,2019-11-27,15:32:49,reptjcox,0,0,3
"This Monday I held my fourth agriculture roundtable. (One in each county of the 21st District!) These discussions are yet another opportunity for me to hear from the ag community about labor needs, water, and the future of our economy. pic.twitter.com/sIVeh9OZY8",1199712687023898624,2019-11-27,15:32:48,reptjcox,1,1,4
Very grateful to @Sun_Maid for hosting me and my staff on Monday. I enjoyed visiting the Sun Maid facilities and discussing the initiatives they are taking to further grow the agriculture industry here in the Central Valley. pic.twitter.com/AwOBJbxXRD,1199695343434321920,2019-11-27,14:23:53,reptjcox,0,1,6
Violence against women is a global problem and we must oppose it at home and abroad. I'm proud to stand with @janschakowsky as we reintroduce the International Violence Against Women Act. @SayNO_UNiTE #IVAWA pic.twitter.com/AqrUUKQsCp,1199037793646915590,2019-11-25,18:51:01,reptjcox,0,4,7
"Did you know #COPD affects 1,348,000 people in California and is the 4th leading cause of death in the US? Join me on a #COPDJourney this #COPDAwarenessMonth to raise awareness and promote earlier diagnosis and treatment. pic.twitter.com/QuIyxXvBIX",1199017403897827328,2019-11-25,17:30:00,reptjcox,2,2,3
"Friday, I had the pleasure of kicking off the inaugural Health, Equity, and Learning collaborative (HEAL). HEAL is bringing advocates, experts, and policy makers together to address our Valley’s most pressing problems.

Learn more -->  https://www.bakersfieldcollege.edu/president/heal  pic.twitter.com/IYT7kFKLWG",1198655015402885120,2019-11-24,17:30:00,reptjcox,1,2,6
"After questioning her at a hearing last week, I had a productive conversation with @SBAgov National Director of the Office of Rural Affairs Michelle Christian. We're going to work together to help rural businesses thrive throughout the Central Valley. pic.twitter.com/PpkRN2sk4I",1197978376729968640,2019-11-22,20:41:17,reptjcox,0,0,5
"I've been fighting for small rural businesses from day one, so when the U.S. Small Business Association (SBA) failed to respond to my letter asking when their office to help rural small businesses would be reestablished, I resolved to get answers from their leadership.",1197978368752398336,2019-11-22,20:41:15,reptjcox,1,1,5
Here’s a preview of today’s event! pic.twitter.com/DduXf0BHeF,1197930061065793536,2019-11-22,17:29:17,reptjcox,0,0,1
"HAPPENING NOW: Tune in to hear me speak with community members, local advocates, health experts, and elected representatives at the Rural Poverty and Health Equity Summit at @BAKcollege Delano. Click below to watch: https://www.ustream.tv/channel/bclearns …",1197917514510077952,2019-11-22,16:39:26,reptjcox,1,3,5
 https://www.ustream.tv/channel/bclearns …,1197904356412207104,2019-11-22,15:47:09,reptjcox,1,0,1
"9 AM: Join me as I speak with community members, local advocates, health experts, and elected representatives at the Rural Poverty and Health Equity Summit at @BAKcollege 
Delano. 

Can't make it? Watch the livestream: pic.twitter.com/1HpvNMFCQk",1197888265573085184,2019-11-22,14:43:12,reptjcox,1,2,6
"Happy American Education Week! This week we recognize the educators, parents, and the support staff that make up our public schools. #AEW2019 pic.twitter.com/zIIAnNg6f9",1197622380220170240,2019-11-21,21:06:40,reptjcox,4,0,6
"also individuals like Judy Ames from Hanford whose son, Holden, was diagnosed with hydrocephalus at only five days old.

I’m ready to work with anyone and everyone so we can make breakthroughs for people living with hydrocephalus in the Central Valley and across the nation. pic.twitter.com/s2GQq09yWd",1197548407772123137,2019-11-21,16:12:44,reptjcox,0,1,6
"On Tuesday, I had the opportunity to meet with @aygarzon from the @HydroAssoc. 

We talked about the special impact hydrocephalus has on the Central Valley, including members of our armed forces who develop the condition due to a traumatic brain injury and",1197548401853947904,2019-11-21,16:12:43,reptjcox,1,3,6
"""Regardless of our occupation, educational attainment, age, or any other factor, Latinas are still lagging behind when it comes to closing this pay gap."" https://www.businessinsider.com/latina-equal-pay-day-invest-fix-gap-2019-11 …",1197318711222259712,2019-11-21,01:00:00,reptjcox,0,2,5
"Currently, Latinas must work 23 months to earn what their white non-Hispanic male counterparts earn in 12 months.
I'm a proud cosponsor of the Paycheck Fairness Act, the bill we passed in March, which would give workers more tools to ensure they get equal pay for equal work. pic.twitter.com/XpruUkeJJp",1197296061750091778,2019-11-20,23:30:00,reptjcox,1,4,9
"The history, culture, and wealth of contributions made by Sikh-Americans make our communities in the Central Valley stronger.",1197215980629348358,2019-11-20,18:11:47,reptjcox,0,0,4
"I’m proud of the high school students from the Jakara Movement in Bakersfield who organized to rename a local park after Khalra, a Sikh human’s rights activist. https://www.bakersfield.com/news/effort-to-name-park-after-sikh-civil-rights-leader-indefinitely/article_ea20af18-f9e3-11e9-9a1e-2b43a8cca963.html …",1197215978880303104,2019-11-20,18:11:47,reptjcox,1,3,8
"Is this the week you launch your career in health care?
Kern Behavioral Health & Recovery Services is hiring. https://bakersfieldnow.com/news/local/behavioral-health-to-hold-career-expo-for-those-looking-to-work-in-health-field?fbclid=IwAR35dkhM1Td_7KZAevzIamWj5PI9CmOoaUTRVGYmv7sfM8JQaTb7ixHGdTc …",1196933672831574017,2019-11-19,23:30:00,reptjcox,0,1,2
