tweet,id,date,time,username,replies_count,retweets_count,likes_count
Joining @EveningEdit at 6:45 p.m. to discuss how @NYGovCuomo should prioritize providing tax and regulatory relief to existing New York businesses over companies like Amazon and the deal Problem Solvers Caucus struck w/ @NancyPelosi to make it easier for bipartisan bills to pass.,1068198993715437569,2018-11-29,17:44:20,reptomreed,3,1,7
"House rule changes are great news for the American people, and I am proud to be the Republican co-chair of the Problem Solvers Caucus. https://thehill.com/homenews/house/418696-pelosi-cuts-deal-with-problem-solvers-on-house-rules-overhaul?fbclid=IwAR2rDFpwQHl-0A-2gENTUrH7-YcMgp751RhoZMDgmcAUoAeQFlXunZBSxhM …",1068182238280523776,2018-11-29,16:37:46,reptomreed,4,2,3
"These rule changes represent a hopeful and substantial breakthrough to empower the people we represent, enable rank-and-file Members to truly govern and make it easier for bipartisan bills to pass. https://buffalonews.com/2018/11/28/problem-solvers-strike-deal-with-pelosi-to-open-up-house-rules/ …",1067934951654506496,2018-11-29,00:15:08,reptomreed,10,1,6
#ICYMI: I spoke with @KateBolduan about the looming government funding deadline and the GM factory shutdowns. pic.twitter.com/vg7xFB7Msd,1067885644356161538,2018-11-28,20:59:12,reptomreed,7,0,3
Small businesses are the foundation to our economy. The holidays are just around the corner so be sure to #ShopLocal on Small Business Saturday! #ShopSmall pic.twitter.com/33lHvvNi07,1066330683549859843,2018-11-24,14:00:21,reptomreed,12,1,13
"From my family to yours, we wish you a very happy and blessed Thanksgiving. What are you thankful for this year? pic.twitter.com/f64ThYtMTb",1065606781878063105,2018-11-22,14:03:49,reptomreed,6,0,13
"Nancy Pelosi has a major math problem on her hands. It’s not just the anti-Pelosi Democrats, but there’s a group of Dems that are standing with us that are also opposed to her absent her commitment to change these rules of the House. https://www.breitbart.com/politics/2018/11/19/exclusive-tom-reed-nancy-pelosi-has-a-real-math-problem-for-speaker-battle-unless-she-backs-bipartisan-rule-changes/ …",1064635875051610112,2018-11-19,21:45:47,reptomreed,40,5,12
The time to change the House rules for the American people is now. pic.twitter.com/JEMitqy8jD,1064610737803485184,2018-11-19,20:05:54,reptomreed,10,2,9
Even companies like Boeing are hiring sight unseen! The Labor Department reported roughly a million more job openings than unemployed Americans at the end of September. The unemployment rate is at a 49-year low of 3.7%. https://www.wsj.com/articles/youre-hired-no-we-dont-need-to-meet-you-first-1542298757?mod=hp_featst_pos3 …,1063442211059183619,2018-11-16,14:42:35,reptomreed,10,3,5
Governing for the people is neither ”conservative” nor ”liberal.” https://twitter.com/AOC/status/1063090704115752964 …,1063143935223177221,2018-11-15,18:57:21,reptomreed,31,13,42
We need the House to get back to working for the American people. pic.twitter.com/LaxT6HMnJ9,1062806296037072896,2018-11-14,20:35:41,reptomreed,18,4,15
"As the father of a Type 1 diabetic, did you know that 1-in-2 people with diabetes remain undiagnosed? On #WorldDiabetesDay we continue to bring awareness to this disease to help people recognize the signs and symptoms. #WDD2018 @JDRF pic.twitter.com/floRyWHDhS",1062730422700912640,2018-11-14,15:34:12,reptomreed,7,4,18
"House rule reforms are vital. We need to ""break the gridlock"" and get Washington working for the people again. https://thehill.com/homenews/house/416529-new-hurdle-arises-to-pelosis-march-to-speakership …",1062726703385100289,2018-11-14,15:19:25,reptomreed,15,0,7
"Today we stand up and celebrate our veterans and their service. They carry out our classic American values of duty, honor and country like no other. Thank you to all the men and women who have put their life on the line to protect our country. pic.twitter.com/Dfx89G4hOJ",1061619576969015298,2018-11-11,14:00:05,reptomreed,9,0,8
"When my mother became sick, there was nothing I wouldn’t have done to cure her, but she taught me that what truly mattered to her was comfort and time spent with her family. https://buffalonews.com/2018/11/08/another-voice-volunteering-for-hospice-is-a-true-labor-of-love/ …",1060910850574303233,2018-11-09,15:03:52,reptomreed,2,0,6
"Together, Republicans and Democrats are taking a stand to ”break the gridlock” in Washington. https://www.google.com/amp/s/thehill.com/homenews/house/415601-14-house-dems-vow-to-withhold-speaker-votes-for-rule-reforms%3famp …",1060545659550474242,2018-11-08,14:52:43,reptomreed,8,5,12
"As the Republican co-chair of the @HouseMfgCaucus and a @ShopFloorNAM Champion of Manufacturing, the U.S. adding more than 1,000 manufacturing jobs a day in October comes as great news! Best Since 1998!!!  https://www.nasdaq.com/article/blockbuster-jobs-250k-unemployment-37-cm1049026 …",1058450838862086144,2018-11-02,20:08:39,reptomreed,15,3,15
"The U.S. Added More Than 1,000 Good Paying Manufacturing Jobs a Day in October. Best Since 1998!!! https://www.nytimes.com/2018/11/02/business/economy/jobs-report.html …",1058408031766110209,2018-11-02,17:18:33,reptomreed,5,0,8
The economy keeps on growing! pic.twitter.com/Mhh98MfhZw,1058372207183888385,2018-11-02,14:56:12,reptomreed,28,7,22
The number of employed Americans has never been higher! https://www.cnsnews.com/news/article/susan-jones/156562000-record-employment-12th-time-under-trump …,1058366299997384705,2018-11-02,14:32:44,reptomreed,13,3,10
"We are working to shift power from the House majority leadership to more of the conference—and foster comity and cooperation in the process. Because unless leadership gives me the thumbs-up, I’m not allowed to get a bill to the floor. https://www.theatlantic.com/politics/archive/2018/11/midterms-2018-future-americas-lonely-moderates/574540/ …",1058082703596228613,2018-11-01,19:45:49,reptomreed,15,0,4
"I am proud to release this bipartisan report on the skyrocketing cost of insulin with my good friend @RepDianaDeGette . The current system is not fair, and we need to focus on generating more competition in the marketplace and creating price transparency. https://thehill.com/policy/healthcare/414243-congressional-report-says-insulin-market-benefits-drugmakers-and-insurers …",1058036126362021888,2018-11-01,16:40:44,reptomreed,8,7,13
