tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Earlier this month, @SenatorTomUdall & @MartinHeinrich joined me in urging @fema to grant project extensions to Ruidoso and I’m heartened to see FEMA listen to our calls. 

Read more ⬇️ https://www.ruidosonews.com/story/news/local/community/2019/06/25/ruidoso-granted-fema-deadline-extension-flood-projects/1559527001/ …",1144613926526603264,2019-06-28,14:30:00,reptorressmall,1,4,15
"(2/2) The SCOTUS decision today to block the inclusion of a citizenship question in the 2020 Census is a sigh of relief for southern New Mexico, where accurately counting every resident is vital to all of our future successes.",1144371000932483072,2019-06-27,22:24:42,reptorressmall,5,8,50
"(1/2) The decennial census is one of the most important responsibilities of the fed gov. It provides the basis for a decade of decisions about our democracy, where businesses open new locations, & how billions of fed funding are allocated to our local communities each year.",1144371000160739328,2019-06-27,22:24:42,reptorressmall,4,7,42
Proud to have so many future Latino leaders from the @CHCI R2L NextGen program here in DC this morning! Hope to see you walking the halls of Congress one day! pic.twitter.com/GgprVmKHkw,1143887722735702017,2019-06-26,14:24:20,reptorressmall,2,6,45
Thank you to all the community members who came out to my Anthony Town Hall yesterday! Always great to hear directly about the issues that are important to you. pic.twitter.com/xSTXE2s74H,1143157075733884928,2019-06-24,14:01:00,reptorressmall,2,4,50
"Congratulations @CibolaHospital on your 60th Anniversary!

It's important that all rural communities have access to good, affordable healthcare, and I'm proud to have such a quality rural health care provider in #NM02. pic.twitter.com/McGBnsKSc9",1142618274871382016,2019-06-23,02:20:00,reptorressmall,1,0,29
"“Democrat or Republican, we serve rural communities best when we work with anyone who will lend a hand.”

Check out this interview I did with @highcountrynews about the bipartisan work I’m doing to serve rural New Mexicans. https://www.hcn.org/articles/politics-representative-xochitl-torres-small-offers-lessons-in-rural-politics …",1142092311880491013,2019-06-21,15:30:00,reptorressmall,20,23,93
"I'm glad to see @CBP making a good-faith effort in adapting to the changing circumstances at the Southern Border in a sensible way.

These new positions will reduce the burden on border communities & return agents to the frontline to do the jobs they were trained to do. Watch⬇️ pic.twitter.com/sgCIGN3dlq",1142078216800219136,2019-06-21,14:34:00,reptorressmall,9,2,17
"🌐 In today's digital economy, 1 in 4 rural Americans still lack access to basic broadband coverage.

I'm working hard to help rural & tribal communities, like those in #NM02, receive the funds needed to improve broadband access & electrify their economies. Watch⤵️ pic.twitter.com/jxyxF1hnx4",1141808160040267778,2019-06-20,20:40:53,reptorressmall,9,18,80
"Since the minute I was sworn into Congress, I’ve worked hard to make sure the priorities and needs of #NM02 are heard in Washington. 

Check out my wins for NM in the first four FY2020 appropriations bills  ⬇️ ⬇️⬇️ pic.twitter.com/EQ3YSHOVi3",1141434772071342080,2019-06-19,19:57:11,reptorressmall,5,6,33
"Join me this Sunday at 3:00pm for a Town Hall in Anthony. Hope to see you there!

More details here: https://www.eventbrite.com/e/anthony-town-hall-registration-63291739296 …",1141119016385372165,2019-06-18,23:02:29,reptorressmall,6,9,20
"In #NM02 & across the US, millions of families are struggling to keep up with skyrocketing costs of life-saving meds like insulin. This is unacceptable and why I’m working hard every day to make health care affordable & accessible for all Americans. https://www.washingtonpost.com/world/the_americas/as-price-of-insulin-soars-americans-caravan-to-canada-for-lifesaving-medicine/2019/06/14/0a272fb6-8217-11e9-9a67-a687ca99fb3d_story.html?utm_term=.ad8c928306b5 …",1141036978043084801,2019-06-18,17:36:29,reptorressmall,6,15,50
"This weekend I visited Socorro General Hospital for a roundtable discussion on legislation I've introduced to expand rural health care access & help New Mexicans get the care they need, right in their own communities. 

Learn more:  https://bit.ly/2QzaZAk 
#HealthCareWeekend pic.twitter.com/2f3ZSuUHVq",1140651315019825154,2019-06-17,16:04:00,reptorressmall,2,1,15
"Happy Father’s Day to my dad, Marcos, and all the incredible fathers and father figures out there who lead us, inspire us and push us forward every day! pic.twitter.com/mttKEOwPl7",1140397391188766720,2019-06-16,23:15:00,reptorressmall,2,6,116
"Happy #NationalNewMexicoDay! Southern NM is filled with unique landscapes, history, & outdoor activities. 

From White Sands, Roswell, Carlsbad, the Organ Mtns, Gila Cliffs, & many more, there's something for everyone. Visit today and find out for yourself: red or green? pic.twitter.com/Jap6MjuQ4v",1139645841688469504,2019-06-14,21:28:36,reptorressmall,5,21,101
"Congratulations to former @NMStateMBB
Aggie Pascal Siakam on becoming an @NBA Champion with the @Raptors!  

#AggieUp https://twitter.com/NBA/status/1139433170703699968 …",1139571952236892163,2019-06-14,16:35:00,reptorressmall,0,1,31
Proud to serve alongside @RepDebHaaland and @NNPrezNez in shining a light on these important issues. https://twitter.com/NNPrezNez/status/1139295756395909120 …,1139317855785275402,2019-06-13,23:45:18,reptorressmall,2,16,101
"Did you know many tribal lands in the US were once former test sites for explosive weapons?

To this day, tribes across the US & in NM are still working to remove unexploded bombs from their lands with little help or funding from the fed. gov. My #FY20NDAA amendment fixes that. pic.twitter.com/AENw3M8jtq",1138872342036197376,2019-06-12,18:15:00,reptorressmall,2,34,87
"Electric co-ops are a key provider of services to our military installations, esp. those in rural areas like southern NM. 

With my #FY20NDAA amendment, electric co-ops will now be able to use fed. grants to update their infrastructure & improve our nation’s readiness. 

📺WATCH: pic.twitter.com/GRLkd5YNhr",1138848663881601024,2019-06-12,16:40:54,reptorressmall,2,11,46
"Today is my first NDAA mark-up! Follow me here for updates on my work representing @HollomanAFB, @WSMissileRange, and the servicemembers and veterans who call southern NM home.

📺WATCH LIVE starting at 10am ET/ 8am MT here:  https://www.c-span.org/video/?461583-1/house-armed-services-committee-marks-defense-authorization-act …",1138794328917258240,2019-06-12,13:05:00,reptorressmall,0,1,18
"As a nation, we will never forget the events of 9/11. We should also never forget the first responders and survivors of that day.

With the 9/11 Victim Compensation Fund set to expire, we cannot turn our backs on these heroes - not now, or ever. Congress must #Renew911VCF pic.twitter.com/6edLYzG145",1138453262502432768,2019-06-11,14:29:43,reptorressmall,10,59,185
"Attn: Socorro residents! 

Join me this Saturday at 9:00 am for a Congress on Your Corner event at M Mountain Coffee. Hope to see you there! 

More details ➡️  https://bit.ly/2R5Ykp0  pic.twitter.com/I50AeVvzAG",1138132466928013319,2019-06-10,17:15:00,reptorressmall,2,3,3
"This morning I visited Hidalgo Medical Services in Silver City to discuss how legislation that I've introduced can benefit rural residency programs like theirs & help increase health care access for rural New Mexicans.

Learn more about this legislation:  https://bit.ly/2QzaZAk  pic.twitter.com/uQHp1n0reP",1137475639563509760,2019-06-08,21:45:00,reptorressmall,6,8,52
"ICYMI @repbenraylujan @RepDebHaaland and I introduced legislation this week to expand the apprenticeship & pre-apprenticeship programs that help New Mexicans secure good-paying jobs.

You can read more here ⬇️ https://torressmall.house.gov/media/press-releases/luj-n-torres-small-and-haaland-announce-legislation-bolster-workforce …",1137351068126285826,2019-06-08,13:30:00,reptorressmall,10,22,99
My thoughts and prayers are with the injured firefighters and their families. Please join me in wishing them a speedy recovery ❤️ https://twitter.com/RDRNews/status/1136504388418199552 …,1136674679266189312,2019-06-06,16:42:16,reptorressmall,2,7,37
"Today marks the 75th Anniversary of D-Day. It is our duty and privilege to honor the thousands of lives lost and reflect on their bravery and sacrifice. 

Learn more about their story at  https://www.loc.gov/vets/ 
#DDay75 pic.twitter.com/UQWs9I58tM",1136630067801407490,2019-06-06,13:45:00,reptorressmall,2,3,25
"Yesterday, I testified before the @WaysMeansCmte to call attention to the challenges rural Americans face when trying to access basic health care. 

In southern NM, I've seen firsthand the challenges they face & I’m committed to tackling these issues. 

Check it out below: pic.twitter.com/pkKeAJ6Hsu",1136272712777625600,2019-06-05,14:05:00,reptorressmall,6,26,105
"PASSED: Proud to have voted YES on the bipartisan #DreamAndPromiseAct and support the DACA, TPS, and DED recipients who call America home.

Full statement below: pic.twitter.com/xwIzwyrI1Y",1136055028475662337,2019-06-04,23:40:00,reptorressmall,22,38,161
