tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Celebrating our First District Athletes: 
Caleb Huggins, a Burnsville native, is a pitcher for @TishCoBaseball. When he graduates from high school, Caleb hopes to continue to pitch in college and maybe one day - the Majors! Caleb is the son of Brent and Amanda Huggins. #MS01 pic.twitter.com/6verqong9u",1177958172742561794,2019-09-28,14:48:08,reptrentkelly,2,0,3
I am thankful for the hand of friendship Uzbekistan has extended to America.  It was humbling and a great honor to be presented with the Order Dustlik (Friendship) last night.    http://ow.ly/A7Su50wuxbb  #MS01 pic.twitter.com/0jBxwT83GL,1177950008538226688,2019-09-28,14:15:41,reptrentkelly,0,0,9
"Rather than carry out the business of the people, Democrats continue to pursue a politically motivated agenda based on unfounded claims against President Trump.  My thoughts: The Gallo Radio Show on @supertalk.  http://ow.ly/e73h50wtV8V  #MS01",1177689217025089536,2019-09-27,20:59:24,reptrentkelly,5,1,1
Uzbekistan is a friend to Mississippi and America.  I remain committed to strengthening our relationship with the Uzbeks.  http://ow.ly/xaZ650wtT7z  #MS01,1177685715930492935,2019-09-27,20:45:29,reptrentkelly,0,0,5
"It was great to talk with @RepMichaelGuest, @LynnFitch, and former Mississippi Governor @HaleyBarbour.  #MS01 pic.twitter.com/Attcb8bKh7",1177314101703434240,2019-09-26,20:08:49,reptrentkelly,5,3,9
"#USMCA is a 21st century trade deal that will fuel economic growth in Mississippi and across the U.S., create jobs and expand opportunities for our farmers, manufacturers, and workers.  #USMCANow #MS01 pic.twitter.com/U4tKRhumf2",1176252336332845057,2019-09-23,21:49:45,reptrentkelly,1,3,7
"We care deeply about the rising cost of prescription drugs and want to ease the burden families face, but we must do so in a way that actually lowers prices and ensures that patients have the freedom and ability to choose what is personally best for them on healthcare. #MS01",1176224018661355521,2019-09-23,19:57:13,reptrentkelly,26,19,63
"Celebrating our First District Athletes: Chamberlyn Grubbs is a @OleMissRebels cheerleader.  She has always enjoyed athletics, including cross country, soccer, and cheer.  Chamberlyn was also the salutatorian for her @SaltilloHS graduating class.  Great work!  #MS01 pic.twitter.com/fo5CJ72ZHv",1175424741739507713,2019-09-21,15:01:11,reptrentkelly,1,0,15
It is #NationalRiceMonth and an opportunity to highlight the rice farmer's contribution to Mississippi.  There are 259 rice producing farms in Mississippi.  Our state is #5 in the nation for growing the most rice.  Photo Courtesy: MSU Extension-DeSoto County #thinkrice #MS01 pic.twitter.com/PfeylSn2RW,1175146904721731584,2019-09-20,20:37:09,reptrentkelly,0,1,10
"It is an honor to be selected as a conferee for the National Defense Authorization Act (NDAA) Conference Committee for Fiscal Year 2020.  We have the greatest fighting forces in the world, who need our support.  Please read my newsletter.   http://ow.ly/yKeH50wigPu  #MS01 pic.twitter.com/UQMTRO9mXo",1175118973681242112,2019-09-20,18:46:10,reptrentkelly,0,0,6
Celebrating 72 years @usairforce!  This week is also a celebration for @Columbus_AFB - 50 years of modern pilot training! Congratulations!  #MS01 pic.twitter.com/15RHwnCIBD,1174342161061617664,2019-09-18,15:19:24,reptrentkelly,1,0,5
"The 1947 National Security Act restructured The United States military and intelligence agencies in the aftermath of World War II. On September 18, 1947, President Truman signed the National Security Act establishing the U.S. Air Force. Happy Birthday Air Force!",1174340701443768320,2019-09-18,15:13:36,reptrentkelly,0,1,2
"It is our duty as a Member of Congress to provide for our men and women in uniform.  They must have the tools they need to protect us all.  I am honored to be selected as a conferee for NDAA 2020.  #MS01
 http://ow.ly/XAu550weT9Q  pic.twitter.com/oXP8QnsS5w",1174324939769491457,2019-09-18,14:10:58,reptrentkelly,2,2,11
"We had the opportunity to meet with Roger Bacon, Michael Joe Cannon, Michael Van Veckhoven, and Marty Milstead from the Mississippi Automobile Dealers Association today. #MS01 pic.twitter.com/JUVqRpjyEy",1174066895038885890,2019-09-17,21:05:35,reptrentkelly,0,1,4
"We had the pleasure of meeting with GEN Joseph Lengyel, Chief of the National Guard Bureau; Lt Col Ben Leestma; Maj Gen Sherrie McCandless; and CSM Christopher Kepner this afternoon. #MS01 pic.twitter.com/7RiSBuHTq5",1174066725874257920,2019-09-17,21:04:55,reptrentkelly,0,0,1
"Today we remember B.B. King on his birthday, along with celebrating Mississippi for being the birthplace of the Blues.",1173703803096444928,2019-09-16,21:02:47,reptrentkelly,0,0,8
"You may have heard about the USMCA, but do you know what impact this will have on Mississippi?  Click the link to learn more.  
 http://ow.ly/3Kvs50w9Ct8  #MS01 pic.twitter.com/RQ3oezkXtb",1172937201354776578,2019-09-14,18:16:35,reptrentkelly,0,1,1
We must bring America and our trade partners into the 21st century by enacting #USMCA.  Mississippi's economy benefits from the $3.2 billion in exports that we sell to Canada and Mexico.  #USMCANow #MS01 pic.twitter.com/TOOMJrBulc,1172140377899491328,2019-09-12,13:30:18,reptrentkelly,5,1,9
"Congress must do its job and pass the #USMCA.  This is a critical step to boost the economy, create jobs, and increase wages.  To learn more, please click on the link.  http://ow.ly/Gbcg50w5VLF  #Rally4USMCA #USMCAnow #MS01 pic.twitter.com/NmaEG5vwqN",1172125276018532352,2019-09-12,12:30:17,reptrentkelly,0,2,4
"Our friends COL Robert Hilliard, Patricia Hemphill, and Jacob Brister with @VicksburgUSACE paid us a visit this afternoon. During our visit we conveyed the urgency to #finishthepumps pic.twitter.com/Lg9tecnO3c",1171905503879925762,2019-09-11,21:56:59,reptrentkelly,0,0,3
Chief Cyrus Ben came to DC to represent the Mississippi Band of Choctaw Indians for the National Congress of American Indians' annual conference. Thank you for taking the time to meet with us! #MS01 pic.twitter.com/4bgYSxkWtj,1171879859179724800,2019-09-11,20:15:05,reptrentkelly,0,0,4
"We had the opportunity to meet with representatives from Regions bank, including Robert Leard, Regions Market Executive, and Brian Smith, Senior VP of Regions Bank today. #MS01 pic.twitter.com/e9pTcV51ok",1171876283011215360,2019-09-11,20:00:52,reptrentkelly,0,0,0
