tweet,id,date,time,username,replies_count,retweets_count,likes_count
"#TX03 is home to some of the most inventive companies in the world which is why I'm so excited to join @RepJoeNeguse in launching the Congressional Caucus on Innovation and Entrepreneurship. Together, we'll work to ensure job creators have the resources needed for success. pic.twitter.com/yxM51rNfCV",1123338671250444288,2019-04-30,21:29:44,repvantaylor,1,3,10
Enjoyed participating in the inauguration of the HCL Cybersecurity Fusion Center in Frisco and my tour of the new NETSCOUT regional headquarters in Allen this week! pic.twitter.com/fFORqaXXUl,1121509110447472641,2019-04-25,20:19:43,repvantaylor,2,2,12
A little rain didn’t stop us from a great Plano Community Coffee this morning! Thanks for the productive conversation! ☕️ pic.twitter.com/PmELR7rP9L,1121055700900249600,2019-04-24,14:18:01,repvantaylor,2,0,7
Honored to be a member of the Freshman Working Group on Addiction and eager to address this issue impacting so many across our nation. https://twitter.com/RepDavidTrone/status/1120348062940110853 …,1120429011245703174,2019-04-22,20:47:47,repvantaylor,1,1,6
"Proud to be a founding member of the For County Caucus, a bipartisan group of Veterans focused on getting things done in Washington. https://www.washingtonpost.com/opinions/veterans-can-restore-trust-in-congress-thats-why-we-created-a-new-caucus/2019/03/19/f5b88cd4-4a5b-11e9-b79a-961983b7e0cd_story.html …",1120410919748743168,2019-04-22,19:35:54,repvantaylor,0,3,7
"Excited to host two more Coffee with your Congressman events this Wednesday in Fairview and Plano. More information, including event details and how to RSVP, can be found at:  http://bit.ly/VTCoffee  pic.twitter.com/Py98X7TVUJ",1120372338464260096,2019-04-22,17:02:35,repvantaylor,0,0,4
Happy Easter! 🐣🐇 pic.twitter.com/24LkRtfgLi,1119962982858072064,2019-04-21,13:55:57,repvantaylor,1,1,7
"To those celebrating, have a happy and joyous Passover. Chag sameach! pic.twitter.com/3E0UawKQCF",1119334272362582020,2019-04-19,20:17:41,repvantaylor,1,0,7
"Don’t forget - vote for your “Fan Favorite” for the #TX03 Congressional Art Competition before 5:00 PM tomorrow! Plus, stop by @OfficialNTPA in Plano between now and April 23 to view all the art in person! 🎨 Vote now at  https://vantaylor.house.gov/forms/artcompetition/ … pic.twitter.com/QeZUR2je7u",1119273280672866304,2019-04-19,16:15:19,repvantaylor,2,0,3
"There’s no doubt Collin County residents have been impacted by the recent passport facility closures. However, I appreciate the Dallas Passport Office's swift response to my request & encourage residents to take advantage of these additional services.  https://www.dallasnews.com/news/collin-county/2019/04/18/after-controversy-collin-county-passport-offices-state-department-authorizes-additional-services …",1118981029237264385,2019-04-18,20:54:01,repvantaylor,0,1,8
"As a father, I know the internet is both an incredible tool & a source of concern. Today, I teamed up w/ @GoogleForEdu & @Plano_Schools to provide students at @BowmanRaiders w/ knowledge to mitigate potential risks so they may continue to use the internet safely! pic.twitter.com/WpunYAS11F",1118945015462531072,2019-04-18,18:30:55,repvantaylor,1,2,13
Great crowd and even better conversation at my Community Coffee in Murphy this morning. Speaking directly with my constituents helps me effectively represent you in Congress. #TX03 ☕️ pic.twitter.com/nOWRlfHlpX,1118588022403022849,2019-04-17,18:52:21,repvantaylor,2,0,5
"Dropped by the Anna Fire Department for a tour and discussion about the department efforts with Chief Isom yesterday. Then, headed to the Anna - Melissa Joint Chamber Luncheon to speak about my first 100 days in office. pic.twitter.com/70fIM7JSWz",1118549300525654016,2019-04-17,16:18:29,repvantaylor,0,0,3
Great turnout at my Community Coffee in McKinney today - looking forward to another event in Murphy tomorrow! #TX03 pic.twitter.com/E1lhxITI8R,1118271612678234112,2019-04-16,21:55:03,repvantaylor,1,0,10
Fan Favorite voting is now open for the Congressional Art Competition! I invite all those in #TX03 to vote for their favorite at  http://bit.ly/2X9KyTO  before 5:00 PM on 4/20. The artist whose work receives the highest number of online votes will receive this year’s award! 🎨 pic.twitter.com/MYFLhjkYmN,1118253988594552832,2019-04-16,20:45:01,repvantaylor,0,1,5
"Last week, I sent a letter urging the State Department to reconsider the recent closure of two Passport Acceptance Facilities in Collin County. It’s important for my constituents to have access to convenient, timely passport services. pic.twitter.com/V9Il2E6blG",1117823093031022592,2019-04-15,16:12:48,repvantaylor,0,0,7
Excited to host Community Coffee events in McKinney and Murphy next week. Visit  http://bit.ly/VTCoffee  for more information and to RSVP! pic.twitter.com/R2lFeGMsIb,1116787336099004416,2019-04-12,19:37:04,repvantaylor,0,0,3
Today marks #100Days since I took the oath of office and was sworn in to represent #TX03 in the United States House of Representatives. I’m proud of what we have accomplished so far and can’t wait to continue serving YOU in Congress. pic.twitter.com/3N2nemIt2s,1116730052253765632,2019-04-12,15:49:26,repvantaylor,8,6,17
"Great meeting with Toyota in Washington DC this week. Today, less than two years since opening its North American Headquarters in Plano, @Toyota employs more than 1,300 workers from #TX03. pic.twitter.com/Aw71PPea1U",1116399206384721921,2019-04-11,17:54:47,repvantaylor,1,1,18
