tweet,id,date,time,username,replies_count,retweets_count,likes_count
Congressional Veteran Commendation Nominations are due this Thursday! https://twitter.com/RepVanTaylor/status/1153790344628072448 …,1156329615360741376,2019-07-30,22:23:58,repvantaylor,5,0,3
Thanks for cosponsoring @RepElaineLuria! https://twitter.com/RepElaineLuria/status/1155554289705738240 …,1156316908146298881,2019-07-30,21:33:28,repvantaylor,5,0,4
Proud to be fighting for our veterans with @RepColinAllred. https://twitter.com/StevenDialFox4/status/1154381931561279489 …,1154878014104244224,2019-07-26,22:15:49,repvantaylor,6,4,20
"Welcomed Marissa Xiong, a recent Allen High School graduate and the first place winner of the #TX03 Congressional Art Competition, and her family to Washington today. Being able to meet Marissa and learn about the inspiration behind her artwork was a privilege. 🎨 pic.twitter.com/ufNehPh4lf",1154875762849341441,2019-07-26,22:06:53,repvantaylor,2,0,22
Excited to work with @RepSusanWild on this important issue. https://twitter.com/RepSusanWild/status/1153664996234211334 …,1154068800234541056,2019-07-24,16:40:18,repvantaylor,3,1,4
"Don't forget, nominations for my Congressional Veteran Commendation must be returned to my office no later than 8/1/2019. Nominate an outstanding #TX03 veteran today! INFO:  http://bit.ly/2YgdLwR  pic.twitter.com/uSNC5IIk0q",1153790344628072448,2019-07-23,22:13:49,repvantaylor,5,0,1
"50 years ago today, Neil Armstrong and Buzz Aldrin planted the American flag on the moon in what was an incredible achievement for our nation and mankind. #Apollo50 pic.twitter.com/5iellg1w1a",1152703432505090049,2019-07-20,22:14:49,repvantaylor,7,1,13
Happy to have welcomed the Palomino Family from #McKinney and the Alex Family from #Frisco to Washington this week! #TX03 pic.twitter.com/tudal5jfL2,1152377801531691008,2019-07-20,00:40:52,repvantaylor,1,1,12
Great meeting with an impressive group of ladies. America will be in good hands with leaders like these young women. #GirlsLead2019 @GirlUp https://twitter.com/Whit_Groves/status/1151578904186052608 …,1151837896615321601,2019-07-18,12:55:29,repvantaylor,6,4,19
Thanks for the meeting! #SoNiceToTreatYou https://twitter.com/NAMAvending/status/1151498695894085632 …,1151603670934536194,2019-07-17,21:24:45,repvantaylor,2,0,2
"JUST IN: The @HomelandGOP Security Committee just passed my bill to help provide certainty to parents when traveling with breast milk, baby formula, and nursing products. Now it's time to bring this bill to the Floor for a vote! 🍼 pic.twitter.com/9BgWHiOIM5",1151602662477111306,2019-07-17,21:20:45,repvantaylor,3,2,23
Excited to announce I’m now accepting applications for the #TX03 Congressional Youth Advisory Council! Looking forward to reviewing the applications from some of Collin County’s brightest high school students for this incredible opportunity. INFO:  https://vantaylor.house.gov/programs/youthadvisorycouncil.htm … pic.twitter.com/J60n8dEVSF,1150904336010096641,2019-07-15,23:05:51,repvantaylor,7,5,14
"Met up with Collin County families who arranged tours of the Capitol through my office yesterday! 

If you and your family are planning a trip to Washington, call my office at (202) 225-4201! pic.twitter.com/2R1LfOwwji",1149318339728199680,2019-07-11,14:03:40,repvantaylor,4,1,4
"Let’s focus on American workers and support continued market access to Canada and Mexico. I am proud to stand for this new agreement, and urge bipartisan support for the benefit of American small business owners everywhere. #USMCAnow pic.twitter.com/ic0uUzOBfs",1149047826460172289,2019-07-10,20:08:44,repvantaylor,8,3,6
"Got to catch up with an old colleague and great friend from the @TexasHouse, Scott Turner, who now serves as the Executive Director of the @WhiteHouse Opportunity and Revitalization Council. Proud of his dedication to restoring America's economically-distressed communities. pic.twitter.com/cCvQzML9oz",1149036704902320130,2019-07-10,19:24:33,repvantaylor,3,4,27
"The #USMCA supports workers and farmers, expands access to international markets, and strengthens US partnerships abroad. As a data driven legislator, I will continue to support this agreement and the thousands of jobs it creates right here in Texas. #USMCAnow pic.twitter.com/X36XEq3wsu",1148940143128170496,2019-07-10,13:00:51,repvantaylor,20,33,74
"Fueled by his entrepreneurial spirit and commitment to his country, #RossPerot was the embodiment of the American Dream. A man of real vision, Ross helped make Collin County the community it is today. Texas and our entire nation has lost a patriot. pic.twitter.com/aZIj2amvhC",1148645776819740673,2019-07-09,17:31:08,repvantaylor,2,12,34
Bipartisanship shouldn’t be a headline but achieving commonsense solutions to address our nation’s greatest challenges should be. I enjoyed joining @JasonWhitely and @BudKennedy on @WFAA Inside Texas Politics to discuss how we can bring about such change. https://www.wfaa.com/article/news/politics/inside-texas-politics-7719/287-6f7554ca-02b1-41f9-8124-df18ae6b91f1 …,1148612473873977344,2019-07-09,15:18:48,repvantaylor,3,3,9
Excited to see innovative apps from Collin County’s middle school & high school students! The Congressional App Challenge is a great way to foster interest in STEM skills across the nation. Register for the @CongressionalAC online by 10/11/19!  https://bit.ly/2S4bO50  pic.twitter.com/Y2hzRwCUNa,1148310633110278145,2019-07-08,19:19:24,repvantaylor,3,4,5
Way to make #USA proud. Congrats @USWNT! https://twitter.com/BleacherReport/status/1147911760160018432 …,1147916749746180097,2019-07-07,17:14:15,repvantaylor,13,12,80
"Two hundred and forty-three years ago our forefathers pledged their lives, fortunes, and our sacred honor in pursuit of freedom. As we celebrate this weekend, take a moment to remember the lessons of independence so that we may never take for granted our liberty. 🇺🇸 pic.twitter.com/xcDjJCOqvK",1146758351013011456,2019-07-04,12:31:11,repvantaylor,5,7,22
"Heard many unique stories and gained valuable perspective on the issues impacting our community every day. Thanks to the 150 new faces (and some familiar) who joined me for my Coffee with your Congressman events in McKinney, Allen, and Prosper this week! pic.twitter.com/rPp8tbHnJ9",1146531575896690688,2019-07-03,21:30:03,repvantaylor,2,0,8
"It’s no surprise @Town_of_Prosper is one of the fastest growing communities in North Texas thanks to the leadership of dedicated public servants including Town Manager, Harlan Jefferson, Town Secretary, Robyn Battle, and Mayor Ray Smith. pic.twitter.com/0OxrklF5D8",1146237517290770432,2019-07-03,02:01:34,repvantaylor,0,2,5
A great visit with the employees of @LongoProsper @Toyota to learn about their growth in North Texas and what factors help contribute to their success. pic.twitter.com/qkLieXA9jn,1146201080671408134,2019-07-02,23:36:47,repvantaylor,0,1,4
"Since @CollinCountyGov Clerk’s office was removed a passport facility, many have reached out. I'm pleased the @StateDept & @USPS are working w/ me to provide short-term solutions & will host 2 passport fairs to help alleviate any backlog. INFO: http://bit.ly/2XoV2mX ",1146119227461517317,2019-07-02,18:11:32,repvantaylor,1,2,9
"Excited to be accepting Congressional Internship applications between now and July 26 for both my Washington, DC and Collin County Offices. Learn more about my internship program and apply online here:  http://bit.ly/2XGnpfD  #TX03 pic.twitter.com/GjAYdM8qD2",1145748469866352640,2019-07-01,17:38:16,repvantaylor,2,2,3
Thanks to all who braved the Texas heat to join me at Shady’s Burgers for my 15th Coffee with Your Congressman public forum! Your unique stories and opinions help me effectively represent you in Congress. pic.twitter.com/p707klutQy,1145748305265266690,2019-07-01,17:37:37,repvantaylor,2,2,9
