tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Williams Sign Company has been part of the Forest Hill community for over four decades. Happy to have joined the owner, Mark, for my #MMB to learn first-hand the business of poster making! Williams’ artwork can be found across Texas, North Carolina, New York and Florida. pic.twitter.com/uD0ZQNb3Jk",1091087713225330688,2019-01-31,21:35:56,repveasey,1,3,14
"Guess he should have read my op-ed back in 2018: ""Under Attack Because we Don't Vote Republican"" after I intro'd a bill to make Sept. National Voting Rights Month: https://thehill.com/blogs/congress-blog/politics/408283-under-attack-because-we-dont-vote-republican …",1091053029602836480,2019-01-31,19:18:07,repveasey,1,3,6
I stand with Speaker Pelosi. We won’t give a single cent to fund Trump’s border wall. pic.twitter.com/WJlCDrCYrX,1091041260402552833,2019-01-31,18:31:21,repveasey,6,15,51
In response to a question from a viewer on why migrants don’t seek asylum in Canada: pic.twitter.com/zffF17uLhp,1091006303097548800,2019-01-31,16:12:27,repveasey,0,0,4
"#HR1 will restore confidence in our electoral system, engage young voters, take money out of politics, and finally address real voting rights reforms so all Americans can have equal access to the ballot. pic.twitter.com/2Y1NBjt61S",1090703978512465920,2019-01-30,20:11:07,repveasey,5,9,27
"Choosing businesses over blue-collar workers is a false choice. Democrats can do both. Proud to lead the Patriot Employer Act w/ @janschakowsky and @CongBoyle to strengthen and support American businesses that make workers' healthcare, retirement and benefits a priority.",1090657799917457409,2019-01-30,17:07:37,repveasey,1,11,20
Today I’m joining House Democrats to introduce the #PaycheckFairness Act to finally close the wage gap and help secure equal pay for equal work for all Americans.,1090614310659899394,2019-01-30,14:14:48,repveasey,1,8,22
Live on @cspanwj talking about finding a long-term solution to reopen the government. Tune in! https://twitter.com/cspanwj/status/1090604245613711362 …,1090604719851081728,2019-01-30,13:36:42,repveasey,3,0,4
I’m glad to see Sam’s Club restart its operations in Fort Worth once again! This is a great opportunity for the fulfillment center to utilize our local workforce. https://www.star-telegram.com/news/business/growth/article225203995.html?fbclid=IwAR3GdaHqqSIcAfnRPt_IRjL2mD6sFVlJcu6O5FaKQphT3gnw99JSjfjQFyU …,1090339235113168896,2019-01-29,20:01:45,repveasey,0,1,3
"After abandoning and pushing American workers to the brink, Trump has successfully united Americans against him. What we need now is a leader who will help us reconcile our differences and move our democracy forward. https://twitter.com/MSNBC/status/1089871234425339905 …",1089911775859015682,2019-01-28,15:43:11,repveasey,0,5,13
"We’re a stronger country when we stand united against all forms of bigotry & hate. Even when our president doesn’t always set the right example, it’s important to fight to never allow such intolerance to resurface. #NeverAgain",1089659371771101184,2019-01-27,23:00:13,repveasey,2,14,32
Nancy's playing 3-dimensional chess. Trump just realized chess is not checkers. https://www.vanityfair.com/news/2019/01/nancy-pelosi-breaks-trump-shutdown-ends …,1088922387188539393,2019-01-25,22:11:42,repveasey,4,13,38
