tweet,id,date,time,username,replies_count,retweets_count,likes_count
Read more about this costly $32 trillion plan to put government in charge of the health care system >> https://republicans-energycommerce.house.gov/news/blog/democrat-health-care-plan-socialism/ …,1123235358815195136,2019-04-30,14:39:12,repwalberg,5,1,3
"House Democrats' first hearing on Medicare for All is now underway. What does it mean for Michigan? Higher taxes, a government takeover, and nearly 5 million people forced off their health care plan. pic.twitter.com/rqjwjOzzaz",1123232613634846728,2019-04-30,14:28:18,repwalberg,51,26,61
"Throughout Chief Larry Merkle’s 47 years with the Monroe Township Fire Department—36 of them as chief—he has done it all, day and night, to respond to calls and help people in need. Thank you Chief Merkle for your distinguished service, and best wishes on your retirement! pic.twitter.com/nISwUbskBR",1121923906271686656,2019-04-26,23:47:58,repwalberg,0,1,2
Had a good tour of Gerdau's facility in Jackson today to discuss issues facing the steel industry and its workers. pic.twitter.com/jLeGz3EMyS,1121849865112256519,2019-04-26,18:53:45,repwalberg,2,1,3
"Great news! The economy continues to experience strong growth, boosting incomes and creating more job opportunities. https://www.cnbc.com/2019/04/26/gdp-q1-2019-first-read.html …",1121835081453252608,2019-04-26,17:55:00,repwalberg,8,0,1
"Started the morning with Mike Hirst, the founder of Andy's Angels, at Northwest High School to speak with students about the opioid crisis and dangers of drug addiction. pic.twitter.com/z3grZ0pQpe",1121777416433696774,2019-04-26,14:05:52,repwalberg,0,0,1
"This Saturday, April 27 is National #TakeBackDay with drop off locations across Michigan. Find a site near you:  https://walberg.house.gov/drug-take-back-day-april-27-2019 … pic.twitter.com/7P1DJ3BGon",1121405712972820480,2019-04-25,13:28:51,repwalberg,10,10,17
Thanks to everyone who attended today’s coffee hour at the Chelsea American Legion. pic.twitter.com/blmdrj7Dlz,1120807022272946176,2019-04-23,21:49:52,repwalberg,2,0,1
Happy Easter! May today be a most blessed time for you and your family. pic.twitter.com/BiC3LCVHDc,1119941099534082048,2019-04-21,12:29:00,repwalberg,0,0,14
"Had a good meeting yesterday with John Tripolsky, the new Executive Director of the @SalineChamberMI. Welcome aboard! pic.twitter.com/o2KQn2nadC",1119229919299559425,2019-04-19,13:23:01,repwalberg,7,0,2
"Thanks to @CharlotteMainSt, the Charlotte Chamber and other local organizations for giving me an update yesterday on the exciting new projects planned for downtown. pic.twitter.com/BDXuuRsbsG",1118972192996364294,2019-04-18,20:18:54,repwalberg,0,0,1
Now it’s time to move on from this two-year distraction and get down to the serious work of governing and addressing real issues.,1118952390504398851,2019-04-18,19:00:13,repwalberg,13,0,9
The bottom line of Special Counsel Mueller’s investigation has already been known for weeks: There was no collusion with Russia. Releasing the full report today underscores that fact.,1118952389535522817,2019-04-18,19:00:13,repwalberg,19,1,12
Opportunity Zones are an important tool for communities to encourage economic development and attract good-paying jobs. https://twitter.com/WhiteHouse/status/1118625996507373570 …,1118635151846727681,2019-04-17,21:59:38,repwalberg,2,0,2
Great to be in Delta Township visiting with constituents and hearing about their concerns at today's coffee hour. pic.twitter.com/9oAXmpLZMv,1118620221584154637,2019-04-17,21:00:18,repwalberg,7,0,4
Had a good discussion at @CASECU in Delta Township about issues facing local small businesses. Thanks to the Delta Side Business Association for organizing it! pic.twitter.com/ukkqbn2do7,1118587607204683776,2019-04-17,18:50:42,repwalberg,2,3,7
"On issue after issue, Speaker Pelosi’s Democratic majority has chosen a path of partisanship, rather than problem-solving. Read more in the @DailySignal about their first 100 days. https://www.dailysignal.com/2019/04/15/after-100-days-house-democrats-have-offered-partisanship-not-solutions/ …",1118176044245188608,2019-04-16,15:35:18,repwalberg,70,61,118
Glad we could assist so many veterans and their families at today's Veterans Resource Fair in Jackson. A special thank you to the veterans organizations who joined us and serve our veterans each day. pic.twitter.com/yrgdnCF6h9,1117913741075582977,2019-04-15,22:13:00,repwalberg,1,2,3
"This #TaxDay, the Child Tax Credit is doubled and rates are lower for families at every income level. You deserve to keep more of what you earn. #YouKeepMore pic.twitter.com/2n2pXT2CCX",1117903800067444736,2019-04-15,21:33:30,repwalberg,43,17,55
"Enjoyed speaking with @JacksonCollege students involved with the leadership development initiatives, Men of Merit and Sisters of Strength. Thanks for having me! pic.twitter.com/AeHCl1uLJ6",1117880789130027010,2019-04-15,20:02:04,repwalberg,1,2,4
"Had the opportunity to stop by Bronson High School earlier this week to recognize the girls bowling team, boys bowling team, and wrestler Ben Modert on winning state championships this season. Congrats! pic.twitter.com/6U42XFoM6z",1117071692033974273,2019-04-13,14:27:00,repwalberg,3,0,2
Today I introduced legislation to expand health care options and lower costs for small businesses through association health plans. https://walberg.house.gov/media/press-releases/walberg-introduces-bill-expand-health-care-options-small-businesses …,1116815362396434432,2019-04-12,21:28:26,repwalberg,4,2,10
Check out the @monroenews for a recap of bipartisan legislation I introduced this week to promote Great Lakes stewardship. https://www.monroenews.com/news/20190410/walberg-ryan-renew-push-to-protect-lakes-from-algae-blooms …,1116422139505201155,2019-04-11,19:25:54,repwalberg,1,0,1
Great to hear directly from Branch County farmers today on the issues impacting the agriculture community. pic.twitter.com/h83otszo7H,1116405610533277696,2019-04-11,18:20:14,repwalberg,0,1,1
"Small businesses are the fabric of our communities, and that is certainly true of @MackBrushes in Jonesville. Founded in 1891, the company specializes in handmade pinstriping paint brushes. Thanks for showing me around! pic.twitter.com/FnFs5ebdPc",1116390031793500160,2019-04-11,17:18:19,repwalberg,0,0,5
"At yesterday's @EdLaborGOP hearing with @BetsyDeVosED, I highlighted our legislative efforts to simplify and improve the FAFSA process for students and families. pic.twitter.com/c3AlFOyOA9",1116333705067466752,2019-04-11,13:34:30,repwalberg,2,1,3
"As a lifelong rider, I enjoyed meeting with the Motorcycle Industry Council today and talking about issues facing the motorcycle community. pic.twitter.com/HVgG0KesnP",1116079711996846081,2019-04-10,20:45:13,repwalberg,5,0,5
Joined with @RepTimRyan to introduce bipartisan legislation to promote conservation best practices and responsible stewardship of the Great Lakes. https://walberg.house.gov/media/press-releases/walberg-ryan-renew-push-protect-great-lakes-harmful-algae-blooms …,1115386227430236163,2019-04-08,22:49:34,repwalberg,4,14,23
