tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Honored to receive the Distinguished Community Health Defender Award from the Indiana Primary Health Care Association. I’m committed to ensuring community health centers have what they need to provide northern Indiana families quality, affordable health care. pic.twitter.com/U4SMtFFr7A",1111387179920429062,2019-03-28,21:58:46,repwalorski,1,0,1
Thanks to Andrea from the South Bend Clinic and @theAMGA for updating me on ways to improve payment systems and patient-centered health care. pic.twitter.com/JSMQ50X6EG,1111331167066906624,2019-03-28,18:16:12,repwalorski,2,1,4
"Today I got to meet Sola Olleik, a @yesprogramnews student from Lebanon who is living in South Bend and attending Riley High School. She is sure to have a bright future ahead of her! pic.twitter.com/GfboCS0F8q",1111002452285747200,2019-03-27,20:30:00,repwalorski,0,0,0
Great to catch up with State Director of Indiana @RCAPInc Vicki Perry and get an update on efforts to improve drinking water and wastewater treatment for rural water districts across our state. #RuralMatters pic.twitter.com/r6ITJr5Tpl,1110970993512759298,2019-03-27,18:25:00,repwalorski,0,2,7
#SinceGOPTaxCuts #SmallBiz reached record high levels of job openings. That means more jobs for hardworking Hoosiers and greater opportunity for small businesses to grow. #TheMoreYouKnow,1110942982876905473,2019-03-27,16:33:42,repwalorski,10,5,12
Look forward to working with Hoosiers like Jacquelyn from Peru and others from @AHIMAResources to improve best practices and effective standards in health IT. Thanks for a great meeting! pic.twitter.com/gfXSe86VJv,1110655163188957184,2019-03-26,21:30:00,repwalorski,4,0,2
Thanks to @WACCwcs and @IndianaACTE for strengthening our Hoosier workforce and working to improve opportunities for young people to learn technical skills. #CTEWorks pic.twitter.com/Xj53zBBCyF,1110643653620436993,2019-03-26,20:44:16,repwalorski,0,0,0
"We dedicate #MedalofHonorDay to those brave servicemembers, past and present, who displayed valor far beyond the call of duty and earned our nation’s highest military decoration. We are forever grateful for their service and sacrifice to keep our country safe and free. pic.twitter.com/r95fIRPZDf",1110320719181856768,2019-03-25,23:21:02,repwalorski,0,0,3
"On World Down Syndrome Day we celebrate the strength, spirit, and abilities of all, and we pledge to #leavenoonebehind. #WSD2019 pic.twitter.com/4OjlzpVcFC",1108749217806409729,2019-03-21,15:16:27,repwalorski,2,0,6
Wishing you the many wonderful things that an Irish blessing will bring. Happy St. Patrick's Day! pic.twitter.com/etmgiUct4q,1107265327778271232,2019-03-17,13:00:00,repwalorski,4,0,3
