tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Check out below link for more info on this bill that provides vulnerable Americans access to the care they need, from the doctor they choose, at a price they can afford.  http://bit.ly/2HGKnwr  https://twitter.com/HHSPolicy/status/1090600872231555072 …",1090634992563163136,2019-01-30,15:36:59,repwebster,2,1,4
"I again voted to allow all furloughed federal employees to get paid now. 10 Democrats joined Republicans in supporting this bipartisan measure, but it fell just short of getting enough votes to pass.",1088181859815776263,2019-01-23,21:09:07,repwebster,14,5,19
"Had a great time this morning ⁦@MinneolaCharter⁩ celebrating #NCSW2019 with school leaders, teachers and students! pic.twitter.com/Vkdep9M8ll",1087784075363078149,2019-01-22,18:48:28,repwebster,2,0,4
"This is a serious and reasonable offer by President Trump to secure our borders, begin to fix our broken immigration system and fully-reopen the government. Full statement:  https://webster.house.gov/2019/1/webster-on-president-trump-plan … pic.twitter.com/qOcTN3sUm4",1086761719718989824,2019-01-19,23:05:59,repwebster,18,3,28
Outstanding pick by @GovRonDeSantis! Kevin has extensive knowledge and experience. Great to have him at the helm at DOT. https://twitter.com/helenaguirrefer/status/1086353689353338881 …,1086357282936573952,2019-01-18,20:18:54,repwebster,1,2,11
Life is our most precious gift. #MarchForLife2019 #whywemarch pic.twitter.com/aXUnENxjhV,1086274884047523840,2019-01-18,14:51:29,repwebster,11,3,26
"Sadly, today Democrats turned a disaster funding bill into a political stunt. Full statement from me and other FL GOP members: http://bit.ly/2RTXHSe ",1085676510718160896,2019-01-16,23:13:45,repwebster,12,1,9
".@RepLipinski, myself & others have reintroduced Innovators to Entrepreneurs Act. This bill expands upon the time-tested I-Corps program. Learn More: http://bit.ly/2HiMPJp ",1085550153048702978,2019-01-16,14:51:39,repwebster,3,0,3
"Yesterday, I took my oath of office to serve in the 116th Congress. It is an honor to represent the Floridians in District 11 in the U.S. House of Representatives. pic.twitter.com/3fmIx2HFo7",1081228162678353920,2019-01-04,16:37:36,repwebster,8,3,36
My full #JobsReport statement: http://bit.ly/2RuVe09 ,1081205449523953665,2019-01-04,15:07:21,repwebster,0,0,3
"Great news - today’s jobs and private-sector earnings report exceeded expectations.
•312,000 jobs were added 
•Wages increased 3.2 percent more than December last year. https://bloom.bg/2Rrd5Fq ",1081205224071749632,2019-01-04,15:06:27,repwebster,3,2,5
