tweet,id,date,time,username,replies_count,retweets_count,likes_count
We will not forget the #ChibokGirls and continue to hold out hope that the 112 still-missing schoolgirls will be reunited with their loved ones. #BringBackOurGirls! @RepBarbaraLee @RepGwenMoore pic.twitter.com/61daFYr2OH,1178679485757083648,2019-09-30,14:34:22,repwilson,4,31,98
How could you read this complaint and not be struck by the need for Congress to #ExposeTheTruth? Read the complaint here:  http://intelligence.house.gov/uploadedfiles/20190812_-_whistleblower_complaint_unclass.pdf … https://twitter.com/SpeakerPelosi/status/1177699862630092800 …,1177701573692198913,2019-09-27,21:48:30,repwilson,10,28,70
And delusional to boot. https://twitter.com/CapehartJ/status/1177675492352282624 …,1177701027304427520,2019-09-27,21:46:20,repwilson,8,3,37
House Democrats are taking steps to pass a bill to lower prescription drug prices. No one should have to ration their meds or do without food or utilities to pay for prescriptions. Here's what I said at an @EdLaborCmte hearing I chaired this week. #LowerDrugCosts #ForThePeople pic.twitter.com/OJRBxSaHyr,1177699174411833354,2019-09-27,21:38:58,repwilson,10,20,77
Dads presence is important in the lives of out children. So important!,1177335551218868226,2019-09-26,21:34:03,repwilson,0,1,2
The Lower Drug Costs Now Act caps negotiated drug prices at prices charged in other nations so that drug companies stop ripping off Americans while charging consumers in other countries less for the same drugs. #LowerDrugCosts pic.twitter.com/1ZqAMyG6cu,1177304275787157504,2019-09-26,19:29:47,repwilson,0,8,21
Drug companies are using out-of-control prices to pad profits – not fund research and innovation. It’s time to #LowerDrugCosts! pic.twitter.com/F1LziwcCqt,1177299026649243649,2019-09-26,19:08:55,repwilson,6,0,10
Bottom line: you shouldn’t have to choose between paying your monthly bills and paying for your prescription drugs. It’s really that simple. #LowerDrugCosts pic.twitter.com/creSgXM09G,1177294910074044417,2019-09-26,18:52:34,repwilson,6,2,14
American government depends on Americans being able to trust that our presidents will prioritize national security above their own political interests. It's time to #ExposeTheTruth.,1177271348974018560,2019-09-26,17:18:56,repwilson,7,25,92
Trump just said that Congress will stop doing its job to focus on impeachment and not focus on important issues like lowering drug prices. We can walk and chew gum at the same time. Tune in at 2 p.m. today to @EdLaborCmte hearing on lowering drug prices. http://www.youtube.com/watch?v=E2d7HRcfCQ4 …,1177270593122656263,2019-09-26,17:15:56,repwilson,20,18,68
The squad is standing strong for the #ChibokGirls! https://twitter.com/RepWilson/status/1177228502300536834 …,1177230316580343809,2019-09-26,14:35:54,repwilson,7,8,45
Grateful to have the support of my colleagues in demanding justice for the 112 still-missing #ChibokGirls! #BringBackOurGirls @RepAOC @RepPressley @Ilhan pic.twitter.com/btM6GiZtHV,1177228502300536834,2019-09-26,14:28:41,repwilson,143,217,1382
"Here's where I stand on the House impeachment inquiry: 

@CNN @MSNBC @nytimes @washingtonpost @politico @thehill @NPR @MiamiHerald @SunSentinel pic.twitter.com/RAoRbl822V",1177009679299436549,2019-09-25,23:59:09,repwilson,32,41,169
Wow !!  Keep Standing tall Dads!  We need you on our mission !!,1176963635912093697,2019-09-25,20:56:12,repwilson,0,0,2
A Dad is the bedrock of a family !  Remain strong and caring. It is so important!,1176890628170534912,2019-09-25,16:06:05,repwilson,0,0,1
"To support those in #recovery, I’m joining my colleagues by wearing a purple ribbon in observance of National #RecoveryMonth. If you or a loved one has a mental or substance use disorder, don’t be afraid to seek help: http://www.samhsa.gov/find-treatment ",1176642907824107520,2019-09-24,23:41:44,repwilson,25,14,42
Turning 18 by Election Day? Make sure you’re #VoteReady by registering to vote at  http://NationalVoterRegistrationDay.org ! #NationalVoterRegistrationDay pic.twitter.com/XWLn66K3Ug,1176554647424778240,2019-09-24,17:51:01,repwilson,10,11,20
"If you’ve moved, even if just across town, you need to update your voter registration to be sure you are #VoteReady! #NationalVoterRegistrationDay  http://NationalVoterRegistrationDay.org  pic.twitter.com/tbWVojBbBU",1176554461839446017,2019-09-24,17:50:17,repwilson,1,4,6
"If you haven’t voted in a while, you may not be #VoteReady! Update your voter registration. It just takes 2 minutes @NationalVoterRegistrationDay.org #NationalVoterRegistrationDay pic.twitter.com/NNxosz9o2z",1176554393363243014,2019-09-24,17:50:01,repwilson,0,5,5
Never try to beat a train. The weight of a locomotive to your car = that of a car to a soda can. #RailSafetyWeek @GoRail http://vimeo.com/129562719 ,1176519907778977792,2019-09-24,15:32:59,repwilson,4,9,19
"I am keeping alive the memory of the 112 still-missing Chibok Girls, who are in my thoughts daily. #BringBackOurGirls @RepAdams pic.twitter.com/UEpLCdTrA7",1176516047836450816,2019-09-24,15:17:39,repwilson,10,9,37
She is ok now. Thank you for your advocacy.,1176482316610416640,2019-09-24,13:03:36,repwilson,0,0,3
It’s #RailSafetyWeek! Learn more from @olinational & get some tips for staying safe around the tracks. @GoRail,1176255594065485825,2019-09-23,22:02:42,repwilson,5,2,9
"Great work !  So proud of all of you !,",1176254419933040641,2019-09-23,21:58:02,repwilson,0,0,1
#BringBackOurGirls! @RepYvetteClarke @RepAdams @RepAndreCarson pic.twitter.com/9iaOR2Yni9,1176173104231526400,2019-09-23,16:34:54,repwilson,3,12,27
