tweet,id,date,time,username,replies_count,retweets_count,likes_count
Merry Christmas! pic.twitter.com/fuuXpiIAXE – at Arab City Park,1077595941480337408,2018-12-25,16:04:27,robert_aderholt,5,2,28
Apollo 8 50th Anniversary!  Merry Christmas!   @NASA_Marshall @nasa pic.twitter.com/JObMkc4CMc,1077186676659838977,2018-12-24,12:58:11,robert_aderholt,3,5,20
"Thank you for filling in for me tonight, John ...wouldn’t want to miss a vote to support building @realDonaldTrump Border Wall!",1075947563214401536,2018-12-21,02:54:23,robert_aderholt,2,2,12
"Tonight the House voted to stand with President Trump, approving the money he requested to secure our southern border.  An open borders policy is not putting our nation’s best interests at the forefront.",1075926836973056000,2018-12-21,01:32:02,robert_aderholt,14,8,50
"Congratulations to the Gilley brothers from Ballplay. Their Christmas display won the Great Christmas Light Fight on ABC and $50,000! pic.twitter.com/mn9Kdg44wG",1074851146760630272,2018-12-18,02:17:37,robert_aderholt,1,9,27
Good advice pic.twitter.com/59Z1TnT0Ro – at Morgan City,1074407252507967489,2018-12-16,20:53:45,robert_aderholt,2,2,21
Such a great event as I joined @SecretarySonny to announced the @USDA new ReConnect Program which will connect rural areas that currently have insufficient broadband service. I worked with my colleagues to secure $600 million to fund this program. pic.twitter.com/mnztJdwhun,1073313500846538753,2018-12-13,20:27:34,robert_aderholt,0,3,20
I was proud to vote today for the Farm Bill.  It was a vote for both farmers and consumers.  There is not a single person that farming does not impact.  Farming Feeds (and clothes) Alabama and America.,1072967974192066560,2018-12-12,21:34:34,robert_aderholt,3,8,38
"Congratulations to the Fyffe Red Devils, 2A State Champs!",1071186931516620801,2018-12-07,23:37:20,robert_aderholt,0,13,45
I’m proud to announce that Cullman will receive a $14 million grant to finally finish the 4-laning of Highway 157 through the city. This is vital not only for economic growth but the hospital is right in the middle of the congestion on this highway. pic.twitter.com/SYEOPLX5PT,1071074610685362178,2018-12-07,16:11:01,robert_aderholt,5,4,17
"I applaud this new flexibility.  This is exactly what I have been working toward for the past five years. The old rules, put in place during the previous Administration,  drove the cost of the food up, while pushing participation down. https://twitter.com/TeamNutrition/status/1070728960231694336 …",1070736414214709249,2018-12-06,17:47:09,robert_aderholt,0,2,8
Go Albertville!     How an Alabama company is getting President George H.W. Bush to his final resting place https://yellowhammernews.com/how-an-alabama-company-is-getting-president-george-h-w-bush-to-his-final-resting-place/ …,1070084103247151105,2018-12-04,22:35:06,robert_aderholt,0,9,28
RIP 41 pic.twitter.com/rHD8Mm74Rf,1069633439010357249,2018-12-03,16:44:19,robert_aderholt,0,2,12
RTR!  Congratulations to @AlabamaFTBL   Another great game with the Bulldogs.  That could have been the actual National Championship game right there.  SEC! SEC! SEC!,1069032608787509248,2018-12-02,00:56:50,robert_aderholt,1,6,44
"I’m very sorry to hear of the passing of former President George H.W. Bush. He was not only our 41st President, but a hero of WWII who was the epitome of the Greatest Generation.",1068734440644509697,2018-12-01,05:12:01,robert_aderholt,3,15,76
