tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Here are the most eye-opening, instructive, and highest-impact reporting and commentary on gun violence in 2018 from @teamtrace. https://www.thetrace.org/2018/12/memorable-gun-violence-journalism-2018/ …",1079852193979617281,2018-12-31,21:30:00,robinlynnekelly,0,2,1
"Heed this reminder from @MomsDemand: ""Celebratory gunfire is no joke. Each year, innocent bystanders pay the price for this highly irresponsible and dangerous practice. Remember, what goes up must come down. Say NO to celebratory gunfire, and pass it on!"" pic.twitter.com/jvQ2k4BA33",1079821994730770432,2018-12-31,19:30:00,robinlynnekelly,0,7,14
Thank you to @teamtrace for outstanding coverage of the public health epidemic of #gunviolence. https://www.thetrace.org/2018/12/gun-violence-facts-statistics-2018/ …,1079784295164727296,2018-12-31,17:00:12,robinlynnekelly,0,3,5
Sgaring #HappyNewYear2019 celebrations from around the world.,1079778367380115456,2018-12-31,16:36:38,robinlynnekelly,0,0,0
Thank you for sharing @MichelleObama. Wishing you and your family a Happy New Year! #HappyNewYear2019,1079778208449466370,2018-12-31,16:36:00,robinlynnekelly,0,0,2
Looking back on the year 2018. Looking forward to a great 2019. Be safe tonight. #HappyNewYear2019 https://apnews.com/2018-TheYearinReview …,1079777796774350848,2018-12-31,16:34:22,robinlynnekelly,0,2,1
Well done Moussa Kondo and Sandor Lederer.,1079074780702261255,2018-12-29,18:00:50,robinlynnekelly,0,0,0
Well done Hong Hoang.,1079074685546049537,2018-12-29,18:00:27,robinlynnekelly,0,0,2
Well done Jonny Boucher.,1079074607255162880,2018-12-29,18:00:09,robinlynnekelly,0,0,10
Well done Dejah Powell.,1079074502917713920,2018-12-29,17:59:44,robinlynnekelly,0,0,4
I will be introducing legislation that addresses security for government IoT devices. The bill would mandate basic security standards be baked into all government purchased IoT (the Internet of Things) devices. https://www.rtinsights.com/bill-to-secure-government-iot-devices-introduced-in-congress/ …,1079074093138350085,2018-12-29,17:58:06,robinlynnekelly,4,13,34
.@realDonaldTrump owns the #GovernmentShutdown impacting 800k government employees throughout the holiday season. This needs to end. #TrumpShutdown https://www.businessinsider.com/government-shutdown-2018-pelosi-and-schumer-slam-trump-for-chaos-2018-12?utm_source=twitter&utm_medium=referral&utm_content=topbar&utm_term=desktop&referrer=twitter&fbclid=IwAR34DyGrAYAjboCjxdCYOx-5GPRtnJn7xEZD_D5UszPOGbpOvf5Sjoo36UE?utm_source=twitter&utm_medium=referral&utm_content=topbar&utm_term=desktop&referrer=twitter …,1077974869776699392,2018-12-26,17:10:11,robinlynnekelly,3,2,5
Great news from @somuchweirdness about Minnesota @MomsDemand effective lobbying efforts by members. The Minnesota House plans to introduce a gun violence preventive order bill (aka red flag law) on January 9. Thanks to @melissahortman! #mnleg https://blogs.mprnews.org/capitol-view/2018/12/mn-house-dfl-readies-10-bills-for-first-week-rollout/ …,1077969747185201158,2018-12-26,16:49:50,robinlynnekelly,0,25,97
"Happy Holidays, Happy Hanukkah and a very Merry Christmas! Peace on earth and goodwill to all men and women! With Santa Claus at the North Pole! pic.twitter.com/IbH5pHP143",1077443825344307200,2018-12-25,06:00:00,robinlynnekelly,4,4,37
"NORAD's Santa tracker (877-HI-NORAD) in its 63rd year, won't be affected by the government shutdown.

Last year, the Santa tracker drew 126,000 phone calls and 18 million website hits. Thank you to the volunteers at Peterson Air Force Base in Colorado. https://apnews.com/be70cfeca3db40e89e4aa5d931aecb58 …",1077277730733989889,2018-12-24,19:00:00,robinlynnekelly,0,1,3
"Merry #ChristmasEve as we prepare to gather with family and friends. Keep in your thoughts the brave men and women of our armed forces who are sacrificing being home with their loved one, so that we can be with ours. I wish them, and you, the very best of the holiday season.",1077177756801208320,2018-12-24,12:22:44,robinlynnekelly,1,3,7
The #TrumpChristmasShutdown brought on by the 'Trump Temper Tantrum' is a colossus waste of time and money for the #TrumpWall that can only be described as ineffective. @realDonaldTrump owns the #TrumpShutdown.,1076555300709326848,2018-12-22,19:09:19,robinlynnekelly,1,3,12
Wish you well @davidhogg111 on your choice of @Harvard and choosing the noble field of #PoliticalScience. Thank you for your involvement in @AMarch4OurLives.,1076553814180855808,2018-12-22,19:03:25,robinlynnekelly,1,1,7
This #TrumpShutdown continues and is owned by @realDonaldTrump. This is a waste of taxpayer dollars for the vain #TrumpWall.,1076498894136184833,2018-12-22,15:25:11,robinlynnekelly,0,12,33
"Death by firearms increased to 40,000 people, the highest in 50 years. The 116th Congress will act. Finally. https://nyti.ms/2R3h4I5 ",1076175471350554626,2018-12-21,18:00:01,robinlynnekelly,0,4,4
"Introduced new legislation addressing cyber vulnerabilities created by the adoption of Internet-connected devices, and specifically, cyber threats of the internet of things (IoT) devices owned and used by the Federal government. https://www.meritalk.com/articles/rep-kelly-introduces-bill-to-secure-government-iot-devices/#.XBE9-x3y2KE.twitter …",1076175470922686464,2018-12-21,18:00:01,robinlynnekelly,1,2,3
"Our saddened hearts go out to the families of CPD Officers Conrad Gary and Eduardo Marmolejo, mourning their tragic losses. Funeral services begin today. Both were married fathers - Gary had one young child and Marmolejo had three children.  https://www.nbcchicago.com/news/local/funerals-chicago-police-officers-struck-by-train-503231861.html … via @nbcchicago",1075845511087820800,2018-12-20,20:08:52,robinlynnekelly,0,1,3
"In 2017, forty thousand people killed by #GunViolence, the biggest number ever. This includes a growing number of suicide deaths. Yet,  @SpeakerRyan and @HouseGOP have turned a blind eye and did #Nothing. https://www.theguardian.com/us-news/2018/dec/13/us-gun-deaths-levels-cdc-2017?CMP=share_btn_tw …",1075624335044419590,2018-12-20,05:30:00,robinlynnekelly,5,157,288
Thank you @RTruszkowski for sharing this wreath. Happy Holidays to you and all @MomsDemand volunteers working to #EndGunViolence. It’s an honor working alongside each and every one of you and fighting in the 116th Congress for #GunSense! ❤️💚 #KeepGoing #ExpectUs pic.twitter.com/5mg0eoeGGV,1075479915598876672,2018-12-19,19:56:07,robinlynnekelly,0,14,43
"Thank you, Moms, for #Demanding!",1075479178718388224,2018-12-19,19:53:12,robinlynnekelly,0,0,1
Thank you to @MomsDemand for their relentless fight for #GunSense.,1075459357549232129,2018-12-19,18:34:26,robinlynnekelly,3,1,6
"Death by firearms increased to 40,000 people, the highest in 50 years. The 116th Congress will act. Finally. https://nyti.ms/2R3h4I5 ",1075450116113395713,2018-12-19,17:57:43,robinlynnekelly,0,4,4
"Congratulations to @BarackObama for being awarded the 'Robert F. Kennedy Ripple of Hope award.' In his speech, President Obama said:  'Hope is the insistence that no matter how tough our circumstances, there are better days ahead' https://mol.im/a/6490871 ",1075447671509389313,2018-12-19,17:48:00,robinlynnekelly,1,3,2
"116th Congress will address the ""public health issue"" of #gunviolence. On Jan. 8, 2015, I introduced a #CommonSense gun safety bill mandating the U.S. surgeon general submit an annual report to Congress on the effects of gun violence. #GunSense https://thehill.com/policy/healthcare/421335-dems-to-reframe-gun-violence-as-public-health-issue#.XBlCHogm2LE.twitter …",1075102425550344194,2018-12-18,18:56:07,robinlynnekelly,1,4,8
It was good seeing @Kevin4Cook today pic.twitter.com/njwg6aiKJU,1074867059073445888,2018-12-18,03:20:51,robinlynnekelly,0,4,7
Congratulations to the @ChicagoBears #BearDown https://twitter.com/ChicagoBears/status/1074409279430557698 …,1074409844814295040,2018-12-16,21:04:03,robinlynnekelly,0,3,3
"Six years ago, @shannonrwatts started a #SandyHook @facebook group. This group evolved into @MomsDemand which has rivaled the @NRA as a force to be reckoned with and during the mid-terms helped to elect 'GunSense Candidates' to Congress. https://www.rollcall.com/news/politics/are-the-suburbs-progressive-moms-demand-action-bets-yes …",1074406522279682062,2018-12-16,20:50:51,robinlynnekelly,9,177,676
"Congratulations to @BarackObama for being awarded the 'Robert F. Kennedy Ripple of Hope award.' In his speech, President Obama said:  'Hope is the insistence that no matter how tough our circumstances, there are better days ahead'  https://mol.im/a/6490871 ",1074360256124387328,2018-12-16,17:47:00,robinlynnekelly,0,3,7
"Once again, the right to health care for millions is under assault. Pre-existing conditions is under assault. The mid-terms sent a strong message. @HouseDemocrats will fight in the 116th Congress to save affordable health care. https://www.cnn.com/2018/12/14/politics/obamacare-ruling-open-enrollment/index.html …",1074011637462589441,2018-12-15,18:41:43,robinlynnekelly,2,7,7
"In 2017, forty thousand people killed by #GunViolence, the biggest number ever. This includes a growing number of suicide deaths. Yet,  @SpeakerRyan and @HouseGOP have turned a blind eye and did #Nothing.  https://www.theguardian.com/us-news/2018/dec/13/us-gun-deaths-levels-cdc-2017?CMP=share_btn_tw …",1074008690720628736,2018-12-15,18:30:00,robinlynnekelly,0,4,9
"I stopped by the office of MY recently-elected Cook County Commissioner (and dear friend), Donna Black Miller, with a couple of my friends, Congresswoman Jan Schakowsky, and Congresswoman-elect Lauren Underwood. #GoDonnaGo pic.twitter.com/TO13H2KyGe",1073978177914109952,2018-12-15,16:28:45,robinlynnekelly,0,1,10
"Thank you @fred_guttenberg for your relentless activism. We will work in the 116th United States Congress to diminish the power of the @NRA and all obstacles in the way of real, meaningful gun safety reform. Remembering Jaime Guttenberg.",1073698698385858561,2018-12-14,21:58:12,robinlynnekelly,0,1,5
Thank you @MomsDemand for the grassroots efforts across America in making a 'Gun Sense Majority' possible in the House of Representatives. The power of the @NRA has been significantly diminished due to your relentless work.,1073697431622168577,2018-12-14,21:53:10,robinlynnekelly,0,0,5
"Thank you to @MomsDemand (formed nearly six years ago) and @shannonrwatts for #RememberingSandyHook. The power of 'Moms' this past mid-term election sent a powerful message to the @NRA and those that obstruct real, meaningful gun safety reform.",1073696763108868098,2018-12-14,21:50:31,robinlynnekelly,0,1,4
"Remembering #SandyHook. Six years today, we lost 26 innocent lives. I have not given up hope. I will never give up. We have not given up. Together, we can stop #gunviolence. #RememberSandyHook pic.twitter.com/B0uAEBfZA3",1073692709934768129,2018-12-14,21:34:24,robinlynnekelly,1,11,16
"Introduced new legislation addressing cyber vulnerabilities created by the adoption of Internet-connected devices, and specifically, cyber threats of the internet of things (IoT) devices owned and used by the Federal government. https://www.meritalk.com/articles/rep-kelly-introduces-bill-to-secure-government-iot-devices/#.XBE9-x3y2KE.twitter …",1073646301911363587,2018-12-14,18:30:00,robinlynnekelly,0,4,7
"Congratulations to @BarackObama for being awarded the 'Robert F. Kennedy Ripple of Hope award.' In his speech, President Obama said:  'Hope is the insistence that no matter how tough our circumstances, there are better days ahead' https://mol.im/a/6490871 ",1073268129957072898,2018-12-13,17:27:17,robinlynnekelly,1,7,15
"In 2017, forty thousand people killed by #GunViolence, the biggest number ever. This includes a growing number of suicide deaths. Yet,  @SpeakerRyan and @HouseGOP have turned a blind eye and did #Nothing. https://www.theguardian.com/us-news/2018/dec/13/us-gun-deaths-levels-cdc-2017?CMP=share_btn_tw …",1073263042631208960,2018-12-13,17:07:04,robinlynnekelly,1,2,2
"Introduced new legislation addressing cyber vulnerabilities created by the adoption of Internet-connected devices, and specifically, cyber threats of the internet of things (IoT) devices owned and used by the Federal government.  https://www.meritalk.com/articles/rep-kelly-introduces-bill-to-secure-government-iot-devices/#.XBE9-x3y2KE.twitter …",1072951725064052741,2018-12-12,20:30:00,robinlynnekelly,0,1,1
"“I have legislation that keeps gun violence away from high-risk individuals — domestic abusers, felons — and then we also are still are pushing for gun violence research so we have the data, which is very, very important,” https://twitter.com/HydeParkHerald/status/1072651603507929089 …",1072655579187957760,2018-12-12,00:53:13,robinlynnekelly,0,13,36
.@realDonaldTrump threatens to shut down the government as he argues with House Democratic Leader @NancyPelosi and Senate Democratic Leader @SenSchumer in front of cameras. Trump said he'd be 'proud' to preside over a government shutdown. #TrumpShutdown  https://politi.co/2rvtFoV ,1072556617793703936,2018-12-11,18:19:59,robinlynnekelly,2,3,4
"This story has received little attention. Help to spread the word about the connections among Russia, Butina, the @NRA, and @realDonaldTrump.",1072530348079226880,2018-12-11,16:35:36,robinlynnekelly,0,20,36
"This year's @TIME​ #PersonOfTheYear are The Guardians—Jamal Khashoggi, the Capital Gazette, Maria Ressa, Wa Lone and Kyaw Soe Oo. Spotlighting a handful of journalists who have one thing in common: They were targeted for their work.  https://www.nbcnews.com/news/us-news/time-s-2018-person-year-killed-imprisoned-journalists-n946311 … pic.twitter.com/XMVSMfri7q",1072526089308774400,2018-12-11,16:18:40,robinlynnekelly,0,1,3
Bipartisanship legislation and working across the aisle in Congress is still possible in spite of the sometimes toxic political atmosphere. I am proud to have worked with Congressman Mike Simpson (R-ID) to pass the Dental Health Act of 2018.  https://healthjournalism.org/blog/2018/12/passage-of-dental-health-act-a-rare-act-of-bipartisanship/ …,1072513878083411968,2018-12-11,15:30:09,robinlynnekelly,0,2,4
.@realDonaldTrump deliberately slashed open enrollment assistance funding. Don't let Trump decide whether your family is covered. You have until Dec. 15 to enroll in Obamacare. Find a plan that works for you at  http://healthcare.gov  before it’s too late! https://n.pr/2ApHIjZ ,1071479527572877312,2018-12-08,19:00:01,robinlynnekelly,0,7,6
The @DNC reminds you that December 15 is almost here! Don't miss your chance to get health coverage during this open enrollment period. Head over to  http://healthcare.gov  to get covered today. pic.twitter.com/kJzTw8mKRY,1071177534878957569,2018-12-07,23:00:00,robinlynnekelly,0,2,2
