tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Join us, the political staff & volunteers for Robin Kelly, in wishing her a very Happy Birthday. We are so proud of our favorite member of Congress and are sending her love on her special day! Happy Birthday Congresswoman! #TeamRobin pic.twitter.com/YMxmMNIYkk",1123215758270640130,2019-04-30,13:21:19,robinlynnekelly,0,2,5
Thank you!,1123213596698320896,2019-04-30,13:12:44,robinlynnekelly,0,0,0
"Happy birthday Robin!!!

It's Congresswoman Robin Kelly's birthday -- sign your name and we'll add it to the card!. Please join the family, friends, volunteers, and campaign staff and sign her #BirthdayCard by clicking  http://bit.ly/robinsbirthday . pic.twitter.com/kxkFnKs4BB",1123210616020307969,2019-04-30,13:00:53,robinlynnekelly,3,4,17
Congratulations and thank you to @aliciagarza @CecileRichards & @aijenpoo for founding @supermajority! Please be sure to follow them. https://twitter.com/supermajority/status/1122817808713297920 …,1123040462007353344,2019-04-30,01:44:45,robinlynnekelly,0,3,4
"Please join us this coming Sunday, May 5 starting at 3:00pm for ""Sunday FUNday"" at Bassline​. Proceeds go to the @BlackEnsemble and its programs.

For tickets to this great event supporting this great cause, please click here:  https://www.eventbrite.com/e/sunday-funday-tickets-60973681924 … pic.twitter.com/HnGi3WOnzL",1123029199038636032,2019-04-30,01:00:00,robinlynnekelly,0,1,1
"Attend SAILING + STEM CAMP 2019. Learn to sail at Monroe Harbor. Visit  http://EndeavorChicago.org  for details and to apply online. ""Scholarships available."" pic.twitter.com/l9sj9CEZl1",1122931050898788352,2019-04-29,18:30:00,robinlynnekelly,0,1,2
"Home Run Inn Pizza Company is looking for seasonal help with special events including House Music, Chicago Blues, Chicago Jazz and more. Click  https://www.homeruninnpizza.com/about/careers/  and the job title is ""Special Event."" pic.twitter.com/MOGF3mgjli",1122923501520863232,2019-04-29,18:00:00,robinlynnekelly,0,1,0
Thank you to @DonBeyerVA and @KrisB_Brown of the @bradybuzz for standing together to stem the tide of #gunviolence in America. It’s in our hands  to act:  http://bradyunited.org/act  #Enough #TakeActionNotSides pic.twitter.com/FJRaUTDmys,1122904766764474368,2019-04-29,16:45:33,robinlynnekelly,1,3,10
"Please join us this coming Sunday, May 5 starting at 3:00pm for ""Sunday FUNday"" at Bassline​. Proceeds go to the @BlackEnsemble and its programs.

For tickets to this great event supporting this great cause, please click here:  https://www.eventbrite.com/e/sunday-funday-tickets-60973681924 … pic.twitter.com/IfylyyMrul",1122893004501585920,2019-04-29,15:58:49,robinlynnekelly,0,1,1
"We can only end #GunViolence by standing together and fighting to save lives. Thank you to @DonBeyerVA for introducing me to the amazing activists who sent 3 commonsense, female leaders to Congress last year. pic.twitter.com/HTRr0ZCGiM",1122608635140628482,2019-04-28,21:08:50,robinlynnekelly,1,5,17
"ICYMI - Thank you to the @NRA for my 'F' rating. I proudly wear this label as a badge of honor. Thank you @GiffordsCourage, @MomsDemand, @bradybuzz, and the fighters for gun safety. Thank you all for the 'GunSense Majority' in the House! pic.twitter.com/zKtu06hG7m",1122530916855951360,2019-04-28,16:00:00,robinlynnekelly,1,6,19
"The deadly shooting at Chabad Congregation in San Diego, California, on the last day of Passover, highlights the need to confront the terrifying rise of religious hate and violence. Our houses of God should be a safe & welcoming place. Always. http://a.msn.com/01/en-us/BBWmE43?ocid=st …",1122471539432218624,2019-04-28,12:04:04,robinlynnekelly,0,5,8
"Corruption is running rampant at the @NRA, yet many Republican members of Congress continue to accept campaign contributions. I urge my GOP to stop taking money from the National Rifle Association. https://twitter.com/RepDonBeyer/status/1121870190545862659 …",1122469965100134401,2019-04-28,11:57:48,robinlynnekelly,0,2,4
"I proudly wear my ""F"" grade from the @NRA, a #BadgeOfHonor. pic.twitter.com/JHgVPaW9fn",1122469525952311298,2019-04-28,11:56:04,robinlynnekelly,1,1,3
"Corruption is running rampant at the @NRA. I call upon Republican members of Congress to stop taking money from them. 

Thank you Congressman @DonBeyerVA! https://twitter.com/RepDonBeyer/status/1121875402065158144 …",1122469107021099008,2019-04-28,11:54:24,robinlynnekelly,0,5,9
Corruption is running rampant at the @NRA. I call upon Republican members of Congress to stop taking money from them. https://twitter.com/DrDenaGrayson/status/1122177300399886336 …,1122468656930279424,2019-04-28,11:52:36,robinlynnekelly,11,60,306
People should be able to worship in peace https://twitter.com/nytimes/status/1122260647050391558?s=21 …,1122272652348002304,2019-04-27,22:53:45,robinlynnekelly,0,3,7
This is a heartbreaking tragedy. https://abc7news.com/mother-dies-after-being-hit-by-stray-bullet-in-front-of-own-children/5274121/ …,1122261559189880832,2019-04-27,22:09:40,robinlynnekelly,2,5,8
Corruption is running rampant at the @NRA. I call upon Republican members of Congress to stop taking money from them. https://twitter.com/shannonrwatts/status/1121948095862988800 …,1122184161958273024,2019-04-27,17:02:08,robinlynnekelly,39,433,2133
"Yep, lots of new members of Congress. The House has a 'Gun Sense Majority' now. With special thanks to women who came out in droves and gratitude to grassroots activists @MomsDemand, @bradybuzz, @Giffords, @AMarch4OurLives, @Everytown and so many more. #EndGunViolenceNow",1122183732696428545,2019-04-27,17:00:25,robinlynnekelly,4,45,344
Defying subpoenas from the House Oversight Committee or any House Committee has consequences. I strongly encourage administration officials to fully cooperate with a co-equal branch of government. Or face the consequences. https://www.msnbc.com/morning-joe/watch/jail-a-possibility-for-defying-subpoenas-says-rep-kelly-1508270659987 …,1122181258094817282,2019-04-27,16:50:35,robinlynnekelly,0,4,7
.@MorganRadford thank you for the opportunity to discuss the important work we are doing in Washington. We work hard to balance our oversight duties while making sure we address the issues that impact the American people everyday.  https://www.instagram.com/p/BwwfOkFhdEq/?utm_source=ig_share_sheet&igshid=id9who2rnbef … pic.twitter.com/99bItnuPaK,1122106749773910016,2019-04-27,11:54:31,robinlynnekelly,1,4,16
"Thank you to the @NRA for my 'F' rating. I proudly wear this label as a badge of honor. Thank you @GiffordsCourage, @MomsDemand, @bradybuzz, and the fighters for gun safety. Thank you all for the 'GunSense Majority' in the House! pic.twitter.com/7vgj5fi4V6",1121911836234797057,2019-04-26,23:00:00,robinlynnekelly,21,161,1693
Well said @GavinNewsom! #EndGunViolenceNow https://twitter.com/GavinNewsom/status/1121585938700931073 …,1121784631836270592,2019-04-26,14:34:32,robinlynnekelly,0,4,6
"Attend SAILING + STEM CAMP 2019. Learn to sail at Monroe Harbor. Visit  http://EndeavorChicago.org  for details and to apply online. ""Scholarships available."" pic.twitter.com/45osySCdjX",1121783489802772481,2019-04-26,14:30:00,robinlynnekelly,0,1,2
"Members of the @NRA are questioning leadership on its lavish ""spending practices."" And its ties to Russia ahead of the annual meeting. https://twitter.com/MomsDemand/status/1121508426855669761 …",1121779328545632257,2019-04-26,14:13:28,robinlynnekelly,0,3,2
Thank you for sharing @beanthere about the great work of @Everytown in sponsoring @AASuicidology and the dedication to fighting back on firearm suicide. #EndGunViolence https://twitter.com/beanthere/status/1121453952200060929 …,1121778859706331137,2019-04-26,14:11:36,robinlynnekelly,0,6,12
"""Don’t listen to anyone who says nothing has been done since Sandy Hook. So much has been accomplished to prevent the gun lobby from writing our nation’s gun laws. And we’re just getting started."" - @MomsDemand founder @shannonrwatts and mother of five. https://www.indystar.com/story/opinion/2019/04/25/op-ed-nra-has-become-a-fringe-group-gun-rights-extremists/3566601002/ …",1121776528109580289,2019-04-26,14:02:20,robinlynnekelly,7,238,1114
"Take the #trashtag challenge on Saturday, April 27, 2019, in the 10th Ward and participate in #EarthDayEvents. Thank you to 10th Ward Alderman Susan Sadlowski Garza. pic.twitter.com/dodDjTaGEm",1121760846970007552,2019-04-26,13:00:01,robinlynnekelly,0,2,3
"Congratulations @shannonrwatts on her new book. Shannon knows how to ""Fight Like A Mother."" 

The book is about the founding of @MomsDemand and grassroots activism. Shannon led the fight to elect a 'Gun Sense Majority' in the House. Pre-order at  http://fightlikeamother.org  pic.twitter.com/YxjMHH3Y8M",1121475109364088832,2019-04-25,18:04:36,robinlynnekelly,0,31,120
".@NRA three-day convention begins Friday. Tensions will be high with internal squabbling and serious financial problems. NRA members strongly support #HR8, which #UpdatesBackgroundChecks. Leadership is failing.

Thank you to the NRA for my 'F' rating. I proudly wear this label. pic.twitter.com/a7yseYoagq",1121471636149030913,2019-04-25,17:50:48,robinlynnekelly,38,68,346
"Thank you to ""The Voyager"" student newspaper of Homewood-Flossmoor HS for the story of my visit and the donation of 100 books from the Library of Congress’ Surplus Books Program. 

Every school, no matter the zip code, must receive a quality education.” https://hfvoyager.com/5920/feature/congresswoman-robin-kelly-donates-books-to-h-f-2/ …",1121449753340985347,2019-04-25,16:23:51,robinlynnekelly,0,3,5
The “heavily redacted” #MuellerReport and AG Barr's spinning of its findings is “a slap in the face to the intelligence of the American people.” #ReleaseTheFullMuellerReport https://politi.co/2Gyhhvn ,1121444474268336131,2019-04-25,16:02:52,robinlynnekelly,0,3,3
"Special Event in #IL2 - Community Resource Fair will be held on Saturday, April 27, 2019, from 9am to 1pm. Thornton Township Food and General Assistance Center located at 15340 Page Ave., Harvey, Illinois. pic.twitter.com/ReDuGIEd1p",1121096465819021313,2019-04-24,17:00:01,robinlynnekelly,0,1,2
"Take the #trashtag challenge on Saturday, April 27, 2019, in the 10th Ward and participate in #EarthDayEvents. Thank you to 10th Ward Alderman Susan Sadlowski Garza. pic.twitter.com/Ea4md3uRXL",1121081364994904064,2019-04-24,16:00:00,robinlynnekelly,0,4,3
"Take the #trashtag challenge on Saturday, April 27, 2019, in the 10th Ward and participate in #EarthDayEvents. Thank you to 10th Ward Alderman Susan Sadlowski Garza. pic.twitter.com/DHcq2eY9jM",1120681988074160128,2019-04-23,13:33:01,robinlynnekelly,0,3,3
"Are you interested in learning more about a career in the unions? 

Stop by the Union Trade Information Fair at Prairie State College on April 30th! 

Union representatives from many unions will be there. pic.twitter.com/IzA4zd2XxO",1120681719479394304,2019-04-23,13:31:57,robinlynnekelly,0,4,3
Your voice was heard when you elected @LightfootForChi  the Mayor of Chicago. My friend Mayor-elect Lori Lightfoot is listening and wants to hear your thoughts and ideas. Share them directly with #TeamLightfoot here:  http://bettertogetherchicago.com  pic.twitter.com/h2p1zAfw4f,1120679733916618755,2019-04-23,13:24:04,robinlynnekelly,4,6,40
Your voice was heard when you elected @LightfootForChi the Mayor of Chicago. My friend Mayor-elect Lori Lightfoot is listening and wants to your thoughts and ideas. Share them directly with #TeamLightfoot here:  http://bettertogetherchicago.com ,1120678624485625856,2019-04-23,13:19:39,robinlynnekelly,1,3,13
"My heart breaks at the tragedy in Sri Lanka. More than 290 were killed and hundreds more injured on Easter Sunday. Thus far, 24 have been arrested by authorities. Houses of worship must always be safe places and open for prayer.",1120305472278532097,2019-04-22,12:36:53,robinlynnekelly,0,5,18
Happy Easter! Have a safe day celebrating with family and friends!,1119922476887179264,2019-04-21,11:15:00,robinlynnekelly,0,5,14
"This Gun Violence Survivors Week, survivors are sharing their stories on @Everytown’s #MomentsThatSurvive Memory Wall.  Read this powerful story from Jami, and then visit the Memory Wall to read other stories or share your own. 

Thank you! https://everytown.org/tribute/jami-amo/ …",1119646911412068352,2019-04-20,17:00:00,robinlynnekelly,0,4,12
"""20 Years Since Columbine. Always in Our Hearts."" - @MomsDemand 

We will #RememberColumbine and fight for gun safety. Always. Working every day in Congress to end the public health epidemic of #GUNviolence. #EndGunGunViolence. https://twitter.com/MomsDemand/status/1119590808313892864 …",1119629102040875008,2019-04-20,15:49:14,robinlynnekelly,0,3,14
"#RememberingColumbine @CSGV 

Cassie Bernall, 17
Steven Curnow, 14
Corey DePooter, 17
Kelly Fleming, 16
Matthew Kechter, 16
Daniel Mauser, 15
Daniel Rohrbough, 15
William ""Dave"" Sanders, 47
Rachel Scott, 17
Isaiah Shoels, 18
John Tomlin, 16
Lauren Townsend, 18
Kyle Velasquez, 16 pic.twitter.com/V0GodfUnao",1119626256125956096,2019-04-20,15:37:55,robinlynnekelly,0,2,3
Happy Passover to all celebrating tonight in Illinois and across our nation. pic.twitter.com/mOp9BnQth6,1119452238278201346,2019-04-20,04:06:26,robinlynnekelly,0,2,9
The #EasterEggHunt will begin at Calumet Park (Behind Fieldhouse) at 9801 S Avenue G starts promptly at 11:30am. Thank you 10th Ward Alderman Susan Sadlowski Garza! pic.twitter.com/KIjeyr334q,1119360022507601922,2019-04-19,22:00:00,robinlynnekelly,0,0,2
"“If this is what a complete and total exoneration looks like, I’d hate to see a damning report.”

The #MuellerReport is crystal clear - @realDonaldTrump is #NotExonerated. Evidence shows @POTUS and his allies committed or attempted to commit crimes. https://www.vox.com/2019/4/18/18484731/mueller-report-trump-barr-obstruction-legal-experts …",1119238654583549952,2019-04-19,13:57:44,robinlynnekelly,1,6,16
"#SaveTheDate - You are invited to attend 'Method Earth Day' on Saturday, April 20 from 11am - 2pm. @methodhome is located at 720 E 111th St., in Chicago's beautiful Pullman community. pic.twitter.com/bVF2A5owEJ",1119224127724957698,2019-04-19,13:00:00,robinlynnekelly,0,0,2
"#SaveTheDate - You are invited to attend 'Method Earth Day' on Saturday, April 20 from 11am - 2pm. @methodhome is located at 720 E 111th St., in Chicago's beautiful Pullman community. pic.twitter.com/Sqgh4ydhFZ",1118944789276184576,2019-04-18,18:30:01,robinlynnekelly,0,2,4
"Special Event in #IL2 - Community Resource Fair will be held on Saturday, April 27, 2019, from 9am to 1pm. Thornton Township Food and General Assistance Center located at 15340 Page Ave., Harvey, Illinois. pic.twitter.com/d4f7FxyldD",1118922137069178880,2019-04-18,17:00:00,robinlynnekelly,0,1,1
"In Missouri, @MomsDemand volunteers are everywhere in opposing #HB575, which would allow guns on MO college campuses. We love the fighting spirit of #Moms all across America fighting for gun safety. #EndGunViolence #MomsSayNo pic.twitter.com/PqjmKQHxG2",1118915222943817729,2019-04-18,16:32:32,robinlynnekelly,0,6,23
"What is clear is that the #MuellerReport, even in this redacted version we have received, ""does not exonerate"" @realDonaldTrump. AG Barr has lost all credibility.

⚡️ “What we've learned so far about the Mueller report” by @NewsHour https://twitter.com/i/moments/1118859615578525703 …",1118914002560716800,2019-04-18,16:27:41,robinlynnekelly,2,7,6
The #EasterEggHunt will begin at Calumet Park (Behind Fieldhouse) at 9801 S Avenue G starts promptly at 11:30am. Thank you 10th Ward Alderman Susan Sadlowski Garza! pic.twitter.com/4rBZa9dlPc,1118912418715926529,2019-04-18,16:21:23,robinlynnekelly,0,0,3
"Tragically, AG Barr acted more like the @PressSec for @realDonaldTrump than the United States Attorney General, losing all credibility. It is about time that the American people see the unredacted #MuellerReport for themselves and judge the truth for themselves.",1118886556922781698,2019-04-18,14:38:37,robinlynnekelly,1,3,8
"Home Run Inn Pizza Company is looking for seasonal help with special events including House Music, Chicago Blues, Chicago Jazz and more. Click  https://www.homeruninnpizza.com/about/careers/  and the job title is ""Special Event."" pic.twitter.com/3N6V4yTqwF",1118876837596188673,2019-04-18,14:00:00,robinlynnekelly,0,3,1
"This June we will commemorate the passage of the 19th Amendment 100 years ago, granting women the #RightToVote. We celebrate over 100 women who now serve in the United States Congress — the highest number in our history. It started with a grassroots movement driven by women! pic.twitter.com/Wy4dI8aNpe",1118559749065314304,2019-04-17,17:00:00,robinlynnekelly,0,3,7
"Take the #trashtag challenge on Saturday, April 27, 2019, in the 10th Ward and participate in #EarthDayEvents. Thank you to 10th Ward Alderman Susan Sadlowski Garza. pic.twitter.com/pHHKzbVB3m",1118505853223567360,2019-04-17,13:25:50,robinlynnekelly,0,1,4
Pace Bus is hiring bus operators and mechanics! Fill out an application at  http://www.pacebus.com  BEFORE arriving at the testing session. pic.twitter.com/jLS9cNY8GB,1118505410783260672,2019-04-17,13:24:05,robinlynnekelly,0,2,1
"New Zealand PM Jacinda Arden acted quickly to remove weapons of war from the consumer marketplace without a pause for ""thoughts and prayers.""

Yet . . . @senatemajldr refuses to even call for a vote on #HR8. #UpdateBackgroundChecks #EndGunViolence https://twitter.com/nowthisnews/status/1117503537733230592 …",1118500607390834694,2019-04-17,13:05:00,robinlynnekelly,4,10,18
"#SaveTheDate - You are invited to attend 'Method Earth Day' on Saturday, April 20 from 11am - 2pm. @methodhome is located at 720 E 111th St., in Chicago's beautiful Pullman community. pic.twitter.com/2H7dipLFnU",1118242659481595908,2019-04-16,20:00:00,robinlynnekelly,0,4,6
"Attend SAILING + STEM CAMP 2019. Learn to sail at Monroe Harbor. Visit  http://EndeavorChicago.org  for details and to apply online. ""Scholarships available."" pic.twitter.com/IuTtTRQ642",1118212464968183809,2019-04-16,18:00:01,robinlynnekelly,0,1,2
"We hope you will join us on Friday, May 3rd, as @RobinLynneKelly's friends, family, and supporters gather together to celebrate her birthday at Bocce's Bar & Grill!

Click to reserve your spot:  http://bit.ly/robinkellybirthday …

If you are unable to attend, click:  http://bit.ly/robinkellybirthday … pic.twitter.com/FOcE3vLQew",1118136967038947333,2019-04-16,13:00:01,robinlynnekelly,0,1,4
"Attend the #TeenJobFair 10 am this morning at the 10th Ward Office located at 10500 S Ewing Ave, in collaboration with Ald. Susan Sadlowski Garza, Chef Gloria Hafer, Chef Adriana Alvarado, and Chef Mariana Amezcua. Chicago Public HS students ages 14-19 years old are eligible. pic.twitter.com/Pb33Pw6YJs",1118130157041127426,2019-04-16,12:32:57,robinlynnekelly,0,3,4
"“It is with pride I tell you tonight we will rebuild this cathedral. We will rebuild Notre Dame because it is what the French expect of us, it is what our history deserves, it is, in the deepest sense, our destiny.” https://deadline.com/2019/04/paris-notre-dame-cathedral-on-fire-1202596140/ …",1118001066405244928,2019-04-16,04:00:00,robinlynnekelly,0,2,6
Thank you @MichelleObama and @BarackObama for the words of inspiration in our time grief. The world treasure that is the Notre-Dame Cathedral in Paris will rise again!,1117950033872211969,2019-04-16,00:37:13,robinlynnekelly,2,6,62
"My heart is breaking as the world watches this devastating fire engulfing the Notre-Dame Cathedral (Our Lady of Paris). My heart is with the people of Paris. Notre Dame is the living, breathing heart of this great city.

And it will always be so. https://www.usatoday.com/story/news/world/2019/04/15/notre-dame-cathedral-fire-paris/3474597002/ …",1117863435587317760,2019-04-15,18:53:06,robinlynnekelly,0,3,7
"Jackie Robinson became the first African-American player in MLB​ (Major League Baseball) on #ThisDayInHistory in 1947.

Today all players, managers, coaches, and umpires will wear Robinson’s No. 42, which was retired league-wide in 1997. https://atmlb.com/2UjtWr0 ",1117812323672977408,2019-04-15,15:30:00,robinlynnekelly,0,3,7
"""It's Crazy!""

Congratulations for winning the Masters, but more important, congratulations to @TigerWoods for never giving up and for overcoming the enormous and seemingly insurmountable obstacles in his way. https://www.independent.co.uk/sport/golf/tiger-woods-wins-the-masters-2019-result-final-scores-resurrection-back-surgery-injuries-comeback-a8870241.html …",1117753412807012352,2019-04-15,11:35:55,robinlynnekelly,0,1,8
