tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Congratulations to the Washington @Nationals on winning the 2019 World Series on grit and tenacity against the odds.

My colleague @repjohnlewis always reminds: ""Never give up, never give in, never give out."" #WorldSeriesChamps https://53eig.ht/2N1HmHE ",1189893574810382336,2019-10-31,13:15:10,robinlynnekelly,0,3,2
"Today, the House will vote to open an impeachment inquiry against President (@realDonaldTrump).

The reasons are simple as #ABC.

A) ABUSED the power of the presidency.

B) BETRAYED national security and the American people.

C) CORRUPTION is running rampant. 

He needs to go!",1189880723991347200,2019-10-31,12:24:06,robinlynnekelly,0,15,30
"Calling all young professionals! Join Robin for ping pong and happy hour at Killerspin on Nov. 7!

Tickets begin at $35 - Click to reserve your spot:  http://bit.ly/yp4robin 

To join the Committee or for more info contact Lauren at rsvp@lbhchicago.com or (312) 806-2743. pic.twitter.com/4Znd4uSRkm",1189678366036766721,2019-10-30,23:00:00,robinlynnekelly,0,3,3
"""A ribbon-cutting will take place at the @OliveHarvey_CCC campus on the Far South Side Wednesday to celebrate a new permanent food pantry on campus. It's the last of the seven city colleges to get a food pantry thru @FoodDepository partnership."" https://abc7chicago.com/food/food-pantry-opening-at-olive-harvey-college-on-far-south-side/5640362/ …",1189542472713723904,2019-10-30,14:00:00,robinlynnekelly,0,2,5
"Tonight - Join the Kankakee Police Department who will be hosting their annual Trunk or Treat on Wednesday, October 30th from 5:00 p.m. – 7:00 p.m. Bring the kids and show us your best costume! pic.twitter.com/gVTQQD2gls",1189527370878705665,2019-10-30,13:00:00,robinlynnekelly,0,1,1
U.S. Rep WIll Hurd (@HurdOnTheHill) (R-Texas) and I announced on Oct. 24 a new initiative with the Bipartisan Policy Center to develop an AI strategy that will “guide how Congress and the executive branch tackle this critical issue.” https://www.federaltimes.com/it-networks/2019/10/24/legislators-want-to-know-how-the-government-should-approach-ai/?fbclid=IwAR0MMBQ-c59fmmJc-N4G9m38lTNVezlDejBeXDLKzUUNtbPSyHnP3jbz3bg …,1189225382295330818,2019-10-29,17:00:00,robinlynnekelly,0,2,4
"Calling all young professionals! Join Robin for ping pong and happy hour at Killerspin on Nov. 7!

Tickets begin at $35 - Click to reserve your spot:  http://bit.ly/yp4robin 

To join the Committee or for more info contact Lauren at rsvp@lbhchicago.com or (312) 806-2743. pic.twitter.com/B8X3Rl9IDC",1189225381770846208,2019-10-29,17:00:00,robinlynnekelly,0,1,2
"Join the Kankakee Police Department who will be hosting their annual Trunk or Treat on Wednesday, October 30th from 5:00 p.m. – 7:00 p.m. Bring the kids and show us your best costume! pic.twitter.com/HkpvBSDk3F",1188885642668904449,2019-10-28,18:30:00,robinlynnekelly,0,1,3
"""A ribbon-cutting will take place at the @OliveHarvey_CCC campus on the Far South Side Wednesday to celebrate a new permanent food pantry on campus. It's the last of the seven city colleges to get a food pantry thru @FoodDepository partnership.""  https://abc7chicago.com/food/food-pantry-opening-at-olive-harvey-college-on-far-south-side/5640362/ …",1188862993725054976,2019-10-28,17:00:00,robinlynnekelly,0,3,7
"My condolences are with the family and friends of Congressman John Conyers Jr., who first introduced a bill in the House to make Dr. Martin Luther King's birthday a national holiday. John's strong commitment to the City of Detroit remained throughout his life.",1188778445750321152,2019-10-28,11:24:02,robinlynnekelly,0,4,11
