tweet,id,date,time,username,replies_count,retweets_count,likes_count
Congratulations to the Monticello HS football team on their first IHSA State Championship title & first appearance in a state championship football game. This was a record-breaking season & I congratulate the team & the entire Monticello community on this well-deserved title. pic.twitter.com/q5U9iQta7w,1068536850766274560,2018-11-30,16:06:52,rodneydavis,11,28,106
The @DecCivicCenter partnered w/ America's Gold Star Families to host the 1st annual Fallen Heroes Tree of Honor in Decatur. Sid & Theresa Palmer helped organize the dedication of the tree that holds 200+ ornaments bearing the names of fallen soldiers from across the country. pic.twitter.com/tb0Ee4k13n,1068263602719784970,2018-11-29,22:01:04,rodneydavis,12,0,7
"On Monday, I visited my friend Tommy Ament who works in the casting division at Olin Brass in East Alton. He is also the former mayor of Bunker Hill. pic.twitter.com/qSACn5qeeB",1067818114736406528,2018-11-28,16:30:52,rodneydavis,2,3,11
Great to see City Manager Tim Gleason while I was in Bloomington this morning! pic.twitter.com/VKSvU4oyR7,1067553172598808577,2018-11-27,22:58:05,rodneydavis,2,0,10
"Yesterday, I met with Dr. Sameer Vohra & Heather Whetsell from @siusom to discuss issues rural health care providers face and how we can improve access to health care in rural communities. pic.twitter.com/4D8ZKQgKoO",1067482377457463296,2018-11-27,18:16:46,rodneydavis,11,4,12
"Joined Scott and Kevin on @WJBC this morning to provide an update on what's going on in Washington, including progress being made on the farm bill. pic.twitter.com/DEGwn6zxAl",1067449194322059265,2018-11-27,16:04:54,rodneydavis,4,3,7
I had a great visit to Harvard Park Elementary School in Springfield last week and answered questions about my job in Congress from Kaylee Blakley's 3rd grade class. Thank you for having me! pic.twitter.com/dgv8ixhRnQ,1067079420874240006,2018-11-26,15:35:33,rodneydavis,9,2,15
"Today is #SmallBusinessSaturday! When you shop at local businesses, like Dale's Southlake Pharmacy in Decatur, you are supporting your community. Remember to #ShopSmall pic.twitter.com/1Q0smPNJ2m",1066348443663298560,2018-11-24,15:10:55,rodneydavis,15,7,22
Good luck to Maroa-Forsyth Football in the 2A IHSA State Championship Game and to Monticello High School in the 3A IHSA State Championship Game today!,1065998415170060288,2018-11-23,16:00:02,rodneydavis,3,3,16
"From my family to yours, Happy Thanksgiving. pic.twitter.com/hVh1EgWqDn",1065620921124356098,2018-11-22,15:00:00,rodneydavis,11,5,18
I saw Shane Hartman at the Annual Decatur Community Thanksgiving Luncheon today and he was pleased that my office successfully advocated for his VA claim to be approved! pic.twitter.com/m2qN0yzOrG,1064935709545517057,2018-11-20,17:37:13,rodneydavis,11,1,13
Joined WAND in Decatur this morning to provide a Farm Bill update and talk about my legislation to honor Petty Officer Logan Palmer that passed the Senate last week. pic.twitter.com/2KNfz2keNR,1064885557594152960,2018-11-20,14:17:56,rodneydavis,7,4,32
"Emilie Kefalas, a constituent from Decatur, wrote & illustrated a children’s book about touring the @uscapitol. She was inspired by her time as an intern in my congressional office & giving tours to other constituents. Thank you, Emilie, for the copies to display in my office! pic.twitter.com/njV4w9XU4O",1063533979788353539,2018-11-16,20:47:14,rodneydavis,7,5,27
"Today, I recognized the life & legacy of Eldon “Twirp” Williams, whose life was tragically ended last month at age 87. Twirp leaves a long-lasting legacy of service that will never be replaced. Please join me in keeping the Williams family & the Godfrey community in your prayers. pic.twitter.com/yYPTo18cA2",1063135028492861445,2018-11-15,18:21:57,rodneydavis,2,3,20
Be careful out there! https://twitter.com/foxillinois/status/1063065927175061505 …,1063095037867839488,2018-11-15,15:43:03,rodneydavis,5,3,9
This week is National Apprenticeship Week. There are 7.1 million open jobs in this country & apprenticeships help people learn the skills necessary to take open jobs. @RepLipinski & I introduced the LEAP Act to reinvigorate America’s apprenticeship programs.,1062816475977863169,2018-11-14,21:16:08,rodneydavis,12,5,15
"Today and every day, we honor those who’ve served our country. Happy Veterans Day! pic.twitter.com/jbTqOJWJ5S",1061659132992851969,2018-11-11,16:37:16,rodneydavis,13,5,39
Glad I could attend the Grand Re-Opening of the Walmart in Litchfield last week. Walmart is a large employer in towns across my district and they are investing in their employees thanks to the tax reform bill we passed last year. pic.twitter.com/HTvIwlMX7h,1059585557855125506,2018-11-05,23:17:37,rodneydavis,37,5,29
"Last week, I talked to students at St. Norbert’s Catholic School and Calhoun Elementary School about their recent trip to Washington, DC and fielded their questions about my job and the role of the federal government. Thank you for having me! pic.twitter.com/Ir8GdJaiJS",1059284161641570304,2018-11-05,03:19:59,rodneydavis,12,7,23
"I appreciated the opportunity to meet with Harry Hawkins from Hawkeye Steel in Mt Olive to discuss tariffs, steel prices, and our tax reform bill we passed last year. pic.twitter.com/EBFmlSnEpJ",1058467001784508416,2018-11-02,21:12:53,rodneydavis,12,7,29
"More great economic news this morning: 
✅250,000 new jobs in October
✅Lowest unemployment in 48 years
✅Wages increased to highest level in 9 years https://www.marketwatch.com/story/us-adds-250000-jobs-in-october-wages-rise-at-fastest-pace-in-more-than-nine-years-2018-11-02 …",1058373340874883072,2018-11-02,15:00:42,rodneydavis,28,13,27
"Our effort was successful and according to Dr. Woodhouse, Medical Director, multiple patients have already benefited from this.",1058088203431878662,2018-11-01,20:07:40,rodneydavis,5,2,7
