tweet,id,date,time,username,replies_count,retweets_count,likes_count
Appreciated the opportunity to visit Beverly Farms and meet with its new director and individuals in its programs. As Ranking Member of @HouseAdmnGOP I've championed the Gregg and Livingston Harper Congressional Internship Program for Individuals with Intellectual Disabilities. pic.twitter.com/v0iuLKQwHC,1156319155785785346,2019-07-30,21:42:24,rodneydavis,8,1,13
"Good showing at our Open Office Hours in Godfrey. Since I’ve been in office, I’ve held 69 of these events where constituents can come ask questions or speak with me individually about casework issues. More than 1,000 constituents have attended since we started. pic.twitter.com/TEdrT1ktvf",1156258637582610433,2019-07-30,17:41:56,rodneydavis,15,4,18
"If you couldn’t make it out to @RCCDecaturIL tonight for our first #OpenGovtNight, you can watch it live here:  https://www.facebook.com/RepRodneyDavis/videos/447677339159693/ …",1155977531062775808,2019-07-29,23:04:55,rodneydavis,4,2,2
.@heraldandreview is taking audience members’ questions and will be asking them to me and @dan_caulkins on stage in 5 mins pic.twitter.com/Ke56TjeATR,1155975480912166917,2019-07-29,22:56:46,rodneydavis,3,2,2
Behind the scenes in the green room. Thank you to @dan_caulkins for joining me to talk about state issues at our first #OpenGovtNight pic.twitter.com/4AuiZ3U32y,1155974843621183489,2019-07-29,22:54:14,rodneydavis,5,0,2
15 mins until our first #OpenGovtNight and attendees are starting to pile in. Looking forward to answering questions from constituents. pic.twitter.com/vvH1P8WIVm,1155973089676496898,2019-07-29,22:47:16,rodneydavis,6,2,5
"In the 2018 Farm Bill I fought to protect crop insurance, which is a critical tool for IL farmers. It was great to hear representatives from @farmcreditiL share their perspectives as we monitor implementation of the law. pic.twitter.com/lfTaquZ6iK",1155545959516069888,2019-07-28,18:30:00,rodneydavis,11,0,6
"It’s always a great day when I meet with young leaders, such as Michael Coles from Edwardsville. pic.twitter.com/fEHfXjQq2u",1155485560821211137,2019-07-28,14:30:00,rodneydavis,3,1,11
"It was great to see my buddy and Bloomington City Manager Tim Gleason along with his wife, Becky, and daughter, Rebekah. I hope you had a great time on your Capitol tour. @cityblm pic.twitter.com/A5LdnqrN1A",1155232644252065792,2019-07-27,21:45:00,rodneydavis,7,2,13
This is great news for Decatur and the surrounding areas. This grant is a perfect example of the kind of transportation investments that help grow our local economy and help our rural communities thrive. https://foxillinois.com/news/local/decatur-airport-receiving-3m-for-improvements …,1155217544795443200,2019-07-27,20:45:00,rodneydavis,4,4,7
"I met with Christie and John Benish, Jr from @CookCorp last week to discuss school bus safety. John testified before my Highways and Transit subcommittee to discuss the needs of our bus operators in keeping children safe. Keep up the great work! pic.twitter.com/9J6V5YFtkk",1155174731806576640,2019-07-27,17:54:52,rodneydavis,6,1,3
"This week I spoke with the Supportive Housing Providers Association about homelessness and housing in Illinois. I signed a letter supporting @HUDgov grants, which supported organizations across IL.  https://bit.ly/2LE8DAI  pic.twitter.com/gdWLseMH67",1154904230291017728,2019-07-27,00:00:00,rodneydavis,7,1,2
I am cosponsoring the Resilience Revolving Loan Fund Act of 2019 with @RepAngieCraig to make our communities stronger against disasters. Here’s an article about it from @WILLJimMeadows https://will.illinois.edu/news/story/davis-proposes-revolving-loan-fund-to-help-towns-pay-for-disaster-mitigation-projects …,1154886863175520257,2019-07-26,22:50:59,rodneydavis,4,1,4
"We had a familiar voice of Champaign in the office today. I always enjoy going on the air with @Diane_Ducey and @StevieJayFM @ESPNCU . Diane, I hope your family had a great time. pic.twitter.com/3RvSAwldB7",1154195812727107585,2019-07-25,01:05:00,rodneydavis,15,0,13
"The Mann family is in town to raise awareness about Joubert Syndrome. Olivia is an inspirational advocate and it was great to see the whole family - Mike and I played ball together in high school, Allison cheered with my daughter, and Shannon taught my sons pre-school! #jsdrf pic.twitter.com/V2IuzRljSv",1154159189259935745,2019-07-24,22:39:28,rodneydavis,2,1,9
