tweet,id,date,time,username,replies_count,retweets_count,likes_count
Right there with all @trailblazers fans in feeling very grateful that @Enes_Kanter is here in #RipCity for the #NBAPlayoffs. Enes’ gutty performance overcoming a shoulder injury is a real inspiration. Looking forward to a big Game 2 win on Wednesday night. https://twitter.com/EnesKanter/status/1123337860063670272 …,1123345013612662784,2019-04-30,21:54:56,ronwyden,8,87,389
"All of us Westerners in public service recognized that Ellen Tauscher was smart, energetic, and understood the importance of the intersection between policy and politics. On the basketball court we say that someone like Ellen always came to play. She was an extraordinary person. https://twitter.com/thehill/status/1123271981460262917 …",1123329329679732736,2019-04-30,20:52:37,ronwyden,2,10,63
.@marcorubio let me tell you about hand-marked #PaperBallots. https://twitter.com/thehill/status/1122090772264833024 …,1123304823158444032,2019-04-30,19:15:14,ronwyden,47,263,873
America doesn’t give nonprofits a break to let board members and officials get rich at the taxpayers’ expense. I’ll be asking the NRA to provide documents reported in the press that allegedly demonstrate NRA officials abused the group’s resources. https://twitter.com/washingtonpost/status/1123003796936953856 …,1123262055463698432,2019-04-30,16:25:17,ronwyden,57,191,612
"It’s been 2 years since the Turkish government blocked access to @Wikipedia, denying its people access to information and restricting freedom of expression. This is what an autocracy looks like. https://twitter.com/pen_int/status/1122815056402616321 …",1122960129459142663,2019-04-29,20:25:33,ronwyden,31,55,120
Every day that passes without Trump taking action to protect our elections is another day he helps foreign hackers interfere with our elections. It's time for hand-marked #PaperBallots. https://twitter.com/washingtonpost/status/1122911114700914689 …,1122931448527380483,2019-04-29,18:31:35,ronwyden,122,501,1209
"After Charlottesville, Trump called these neo-Nazis and white nationalists shouting anti-Semitic slurs “very fine people”. It’s clear that we cannot put an end to these hate crimes without addressing Trump’s enabling of these acts. https://www.washingtonpost.com/local/social-issues/neo-nazis-marched-past-their-synagogue-chanting-sieg-heil-two-weeks-later-the-charlottesville-jewish-community-is-still-healing/2017/08/26/d75ef1d0-8a70-11e7-a50f-e0d4e6ec070a_story.html?utm_term=.2567b72f0d4e …",1122649502953897984,2019-04-28,23:51:13,ronwyden,1638,289,857
"I condemn this act of domestic terrorism. It’s no accident that hate crimes are on the rise. We cannot turn a blind eye to the fact that the president’s embrace of white nationalist rhetoric, and other politicians’ lack of condemnation of this rhetoric, is fueling these attacks. https://twitter.com/NBCNews/status/1122498980879982593 …",1122649501263593473,2019-04-28,23:51:13,ronwyden,724,1324,4126
Anything less than taking real action will amount to a craven betrayal of Americans’ interests on behalf of a murderous autocratic regime. I will continue fighting to hold the Saudi regime accountable for their international campaign of lawlessness.,1121840222600400896,2019-04-26,18:15:26,ronwyden,19,58,248
"🚨 NEW from @Oregonian and @propublica 🚨

For years, government officials have turned a blind eye to Saudi attacks on Americans inside the United States. It’s up to the Trump administration to do something about it. https://twitter.com/shanedkavanaugh/status/1121775168794161152 …",1121840220964556801,2019-04-26,18:15:26,ronwyden,31,106,282
"Today I join in remembering the countless lives lost during the Armenian Genocide.

We must call genocide by its name and fight the forces who would deny historical truth, so we may do everything in our power to stop these tragedies in the future.",1121154096029937665,2019-04-24,20:49:01,ronwyden,22,83,298
"This is a win for the millions of Americans who rely on Title X to get the health care they need. Now, the fight continues and we won't stop until Trump's dangerous gag rule is permanently defeated. #ProtectX https://twitter.com/Oregonian/status/1120850382958342144 …",1121093344212475904,2019-04-24,16:47:36,ronwyden,53,245,769
Let me get this straight...the White House won't secure our elections against foreign hackers because they don't want to hurt @realDonaldTrump's feelings. https://twitter.com/nytimes/status/1121038610290155520 …,1121057672315404289,2019-04-24,14:25:51,ronwyden,864,6390,13811
"Good morning, #RipCity. Anybody get any sleep after Dame’s amazing buzzer-beater? Great job advancing, @trailblazers. Looking forward to a long #NBAPlayoffs run that ends with a championship parade.",1121051740478902274,2019-04-24,14:02:17,ronwyden,13,12,201
The fish rots from the head. https://www.huffpost.com/entry/ethics-investigation-interior-department_n_5cbf32e5e4b0f7a84a759984?ncid=tweetlnkushpmg00000067 …,1120793919485296642,2019-04-23,20:57:48,ronwyden,25,127,348
"The Trump administration is making it easier for shady #DarkMoney donors—including foreign nationals—to corrupt our elections, all while remaining anonymous and unaccountable to the American people. https://twitter.com/propublica/status/1118801594756358145 …",1120766252614651906,2019-04-23,19:07:52,ronwyden,29,156,260
