tweet,id,date,time,username,replies_count,retweets_count,likes_count
Huge congrats to @OregonWBB for earning a trip to the #WFinalFour. #GoDucks all the way to the @ncaawbb championship.,1112445796236976128,2019-03-31,20:05:20,ronwyden,14,14,108
If you mean it endorse my bill. https://twitter.com/washingtonpost/status/1112076298611032064 …,1112361592732160000,2019-03-31,14:30:45,ronwyden,32,199,776
Given this delay I am increasingly concerned that redactions are being made to deceive the American people and protect Donald Trump.  I plan to scrutinize every redaction and will not accept any that appear to be politically motivated.,1111756235064467457,2019-03-29,22:25:16,ronwyden,254,873,3110
"There is no reason why the full Mueller report and all underlying documentation can’t be delivered to Congress right now. If Barr could reach a determination about obstruction of justice in a weekend, he can move a whole lot faster on getting this to the American people.",1111756233453780995,2019-03-29,22:25:16,ronwyden,221,1466,4324
"If you care about securing the foundation of our democracy: free and fair elections, watch this immediately. https://twitter.com/thinkprogress/status/1111381073995272192 …",1111695291571494912,2019-03-29,18:23:06,ronwyden,50,122,233
".@SeemaCMS has relentlessly attacked Americans' health care, and now we learn she's wasting their tax dollars on grooming her image. https://www.politico.com/story/2019/03/29/seema-verma-contracts-1306652 …",1111686859338510336,2019-03-29,17:49:36,ronwyden,28,104,150
I’m committed on this #TDOV to making sure trans people receive equal rights every day of the year.,1111404350281142272,2019-03-28,23:07:00,ronwyden,30,42,200
"A bedrock of freedom is being able to communicate without the government peering over your shoulder. The NSA's mass surveillance program is a complete violation of our constitutional liberties.

This program could never survive in the sunlight. It's time to end it. https://twitter.com/WydenPress/status/1111371294316990464 …",1111371426718601216,2019-03-28,20:56:11,ronwyden,33,118,320
"NEW: Today, @repblumenauer, @repgregwalden and I introduced our bill to do away with burdensome taxes and red tape for kombucha producers, in order to level the playing field for small businesses in Oregon and nationwide and promote job creation and economic growth. pic.twitter.com/BKRJ6mBykp",1111350958217457668,2019-03-28,19:34:50,ronwyden,19,18,79
"David Bernhardt came to my office and told me to my face that his ethics are unimpeachable, but his track record of tampering with scientific evidence and cozying up to lobbyists proves otherwise.

He is unfit to serve as Interior Secretary. https://twitter.com/ABC/status/1111280537149177858 …",1111291973128896512,2019-03-28,15:40:27,ronwyden,54,567,1271
"Georgia Republicans are going to waste $150 million on more insecure voting machines, ignoring the warnings of cybersecurity experts, in order to give a handout to shady voting machine vendors.
   
Our elections will remain vulnerable until we implement hand-marked #PaperBallots. https://twitter.com/politico/status/1111213876534788096 …",1111267496982659073,2019-03-28,14:03:12,ronwyden,105,611,1053
"All along this was a scheme to take away people's health care, nothing more. https://twitter.com/washingtonpost/status/1111011198366031872 …",1111021920349233155,2019-03-27,21:47:22,ronwyden,34,125,377
This is your daily reminder that our elections won't be fully secure until we implement hand-marked #PaperBallots.,1111007806344302592,2019-03-27,20:51:17,ronwyden,188,2049,4605
"So based on what I'm reading, a tax cheat (@realDonaldTrump) nominated a tax cheat (@StephenMoore) to one of the most powerful economic policy jobs in America. https://www.theguardian.com/business/2019/mar/27/stephen-moore-trump-federal-reserve-pick-owes-taxes-us-government-alleges?CMP=share_btn_tw …",1110990296899293184,2019-03-27,19:41:42,ronwyden,87,293,484
"Wishing a very speedy recovery to @bosnianbeast27. All of #RipCity is rooting for you, Nurk.",1110659697458196482,2019-03-26,21:48:01,ronwyden,6,17,143
"ICYMI: This guy literally created spreadsheets to track the menstrual cycles of underage migrant girls in U.S. custody, then denied them access to critical health care. Sick and twisted doesn't even begin to cover it.

Scott Lloyd needs to go. https://twitter.com/nowthisnews/status/1110220548821397504 …",1110634711423045634,2019-03-26,20:08:44,ronwyden,77,442,780
Follow this thread for live updates from my staff. https://twitter.com/WydenPress/status/1110619206003949574 …,1110619740068814849,2019-03-26,19:09:15,ronwyden,13,45,178
"Climate change is an urgent threat.

Mitch McConnell doesn't believe it's a problem. He's making a mockery of what should be a serious debate.

I'm heading to the Senate floor to talk about why it's time to #ActOnClimate.",1110618982942457856,2019-03-26,19:06:14,ronwyden,88,224,836
Who’s gonna tell him https://twitter.com/realDonaldTrump/status/1110586787808903168 …,1110595844359757829,2019-03-26,17:34:17,ronwyden,322,1148,6499
"Who wins if the Republican lawsuit succeeds?
💰Insurance companies
💰Drug companies
💰Billionaires (they’d get another tax handout!)

Who loses?
🚨Everybody else",1110590746090967042,2019-03-26,17:14:02,ronwyden,20,205,439
"Yesterday, Republicans and Trump doubled down on:
❌Throwing out the entire ACA
❌Eliminating pre-ex protections
❌Increasing Medicare premiums
❌Raising drug prices
❌Kicking tens of millions of Americans off their health care",1110590744090365952,2019-03-26,17:14:01,ronwyden,23,218,351
It is now the Republican party and Trump’s position to take away your coverage for pre-existing conditions.,1110590740344786944,2019-03-26,17:14:00,ronwyden,43,273,549
"Fascists destroyed democracies and tried to stamp out freedom around the world.

We study and remember them to prevent it from happening here.

Republicans in Congress appear to be quoting Mein Kampf and Mussolini to emulate them. https://www.washingtonpost.com/nation/2019/03/26/gop-congressman-quotes-hitlers-mein-kampf-slam-trumps-adversaries-liars/?utm_term=.7799a718476d …",1110549389154635776,2019-03-26,14:29:42,ronwyden,226,1388,2504
What are @senatemajldr and @realDonaldTrump so afraid of? The Mueller report must be made public NOW. https://twitter.com/StevenTDennis/status/1110287128515301376 …,1110295696433917953,2019-03-25,21:41:36,ronwyden,186,787,2257
