tweet,id,date,time,username,replies_count,retweets_count,likes_count
"The federal government has a moral responsibility to look after the children in our care, not subject them to government-sanctioned child abuse as the Trump administration has. https://ctmirror.org/2019/02/27/delauro-leads-probe-of-trump-administrations-treatment-of-detained-migrant-youth/ …",1101169307562766336,2019-02-28,17:16:36,rosadelauro,3,14,45
"The House has finally taken a step to address the epidemic of #GunViolence by passing universal background checks. We must build on the victory by fighting for even stronger measures: banning assault weapons & high capacity magazines, and funding gun violence research at the CDC. pic.twitter.com/5KkIBwQbyV",1100992076651601921,2019-02-28,05:32:21,rosadelauro,34,32,187
"The average length of time children spend in federal custody is almost 3x higher under this administration. Children must be in safe, supportive homes. We need answers about treatment of unaccompanied children, effects of the family separation policy, & associated costs. pic.twitter.com/XqpL9bCVpz",1100876806285070345,2019-02-27,21:54:18,rosadelauro,5,16,41
LIVE NOW: Holding a hearing the Trump administration’s family separation policy and the Unaccompanied Children Program. https://www.youtube.com/watch?v=cXhAgKTYSeg&feature=youtu.be …,1100774632444125186,2019-02-27,15:08:18,rosadelauro,2,13,30
"Wonderful meeting Quentin Phipps and Kristine Rivera from Excellence Community Schools and John Taylor from Booker T. Washington Academy, who are leading the fight to make sure our education system works for all students. pic.twitter.com/KTiBmNdrWS",1100530345571684353,2019-02-26,22:57:35,rosadelauro,1,5,13
"We have fought for more than two decades to make that principle a reality by strengthening the Equal Pay Act. Equal pay is a matter of right and wrong, and pay discrimination is unacceptable. It is critical for working families, and we are all diminished when we fall short.",1100489108009435136,2019-02-26,20:13:44,rosadelauro,0,7,22
"I thank Chairman @BobbyScott and the entire @EdLaborCmte for their swift action to vote the Paycheck Fairness Act out of the committee. At its core, this bill is about a simple principle: women and men working in the same job deserve the same pay. #EqualPay",1100489107355119616,2019-02-26,20:13:43,rosadelauro,2,6,36
Be sure to tune in tomorrow @ 10am as I chair a hearing on the Trump administration's family separation policy and the Unaccompanied Children program:  https://www.youtube.com/watch?v=cXhAgKTYSeg&feature=youtu.be …,1100423682437120006,2019-02-26,15:53:45,rosadelauro,2,5,10
Our babies can’t wait - the time to make every baby a national priority is now. Find out more about how CT's babies in the @ZEROTOTHREE #StateofBabies Yearbook: 2019:  http://bit.ly/2EydQ8t  pic.twitter.com/nEGc3XzlAW,1100410354058678272,2019-02-26,15:00:47,rosadelauro,2,5,25
"Medicare for America ensures universal, comprehensive, affordable health coverage with the option for quality employer coverage. #Med4America includes long-term services and supports for all Americans. Zip codes shouldn't determine health benefits. https://www.nytimes.com/interactive/2019/02/21/upshot/up-medicareforall.html …",1100116794327662595,2019-02-25,19:34:17,rosadelauro,1,5,10
"Congratulations to Hamden’s very own Anthony Rossomando, and @ladygaga, @markronson, @wyattish on their Oscar win for @starisbornmovie's Shallow. A proud moment for Connecticut’s Third District!  https://www.wtnh.com/entertainment/academy-awards/hamden-native-rossomando-wins-oscar-for-best-original-song/1808076512?utm_medium=social&utm_source=facebook_WTNH_News_8&fbclid=IwAR1AYo2-2xqcBElDayl2qFtr_XD-vupH6S0fNNBUZiOPeAl4E4sE-LC0Rqo …",1100056430583914498,2019-02-25,15:34:25,rosadelauro,2,6,26
"Today, the Trump administration continued its assault on critical family planning services. Title X ensures women can make the choices that are best for them. Changing the rules harms millions across the U.S. I am committed to fighting this new rule. https://www.politico.com/story/2019/02/22/trump-planned-parenthood-abortion-title-x-1204937 …",1099131448110522368,2019-02-23,02:18:52,rosadelauro,3,13,35
President Trump’s NAFTA 2.0 is full of giveaways to Big Pharma. We must re-open the text and ensure this trade deal does not lock in high prescription drug prices for Americans. https://www.wtnh.com/news/politics/congresswoman-delauro-warns-about-jump-in-drug-prices/1801185478 …,1099054612487774208,2019-02-22,21:13:33,rosadelauro,3,10,18
"Each dollar invested in NIH produces more than $2 in state economic output. Breakthroughs at NIH don’t saves just one life, but potentially millions. That's why I will continue to fight for strong, sustained NIH funding for CT and the entire U.S.  https://www.wtnh.com/news/connecticut/new-haven/delauro-hears-from-researchers-funded-by-national-institutes-of-health/1799280366 …",1098999359201468416,2019-02-22,17:34:00,rosadelauro,0,8,21
Many thanks to the 4th grade students at Forest Elementary School for joining me this week in marking Black History Month! pic.twitter.com/CwvSXT1zcK,1098939605267763200,2019-02-22,13:36:33,rosadelauro,0,6,34
Thank you @MarchofDimes for supporting the #FAMILYAct. Workers and families need #PaidLeave now. pic.twitter.com/YCYD5vshLc,1098678579876036616,2019-02-21,20:19:20,rosadelauro,0,9,26
