tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Congratulations to SFC Janina Simmons, who recently became the 1st African-American woman to graduate from the @USARMY Ranger School! You have accomplished a historic feat, & I wish you nothing but success as you continue to serve our nation. https://www.msn.com/en-us/lifestyle/lifestyle-buzz/janina-simmons-is-first-african-american-female-soldier-to-graduate-us-army-ranger-school/ar-BBWk4vu?ocid=st …",1122944691815710723,2019-04-29,19:24:12,sanfordbishop,4,20,71
Agriculture is vital to GA & the researchers @FVSU are critical to improving the farm economy at home & beyond our borders. I was impressed to see how engineers @FVSU are using technology to make farming ‘smarter’ & how those gains can increase revenue.  https://bishop.house.gov/media-center/press-releases/congressman-bishop-expresses-support-for-agricultural-research-during … pic.twitter.com/GH8WrkfYbf,1120432077864939520,2019-04-22,20:59:58,sanfordbishop,0,1,6
"Thank you to all the talented contestants in this year’s #CongressionalArtCompetition and congratulations to the winner, Phillip Walker of Columbus, Georgia! pic.twitter.com/0ELCQXAkCc",1119240303720968192,2019-04-19,14:04:17,sanfordbishop,0,2,7
I support the expanded disaster bill and stand ready to get the bill passed immediately and signed into law. We need immediate relief for all those directly affected by Hurricane Michael and all other disasters across the country. https://bishop.house.gov/media-center/press-releases/bishop-supports-expanded-disaster-appropriations-bill …,1116772434030600193,2019-04-12,18:37:51,sanfordbishop,2,3,6
"I’m proud of what we’ve already done in the first 100 days, and I’m working hard to deliver more progress for the people it’s my honor to represent in Washington. https://bishop.house.gov/media-center/press-releases/bishop-marks-first-100-days-of-the-house-democratic-majority-by …",1116768359901569025,2019-04-12,18:21:40,sanfordbishop,1,1,3
"Don't forget to submit your entries before tomorrow's deadline, and good luck artists! #CongressionalArtCompetition https://twitter.com/SanfordBishop/status/1113781657033637888 …",1115695895562063873,2019-04-09,19:20:04,sanfordbishop,1,1,1
Today at 10:30AM: I’ll hear from @SecretarySonny as @AppropsDems consider the @USDA’s FY 2020 budget request. I will continue to go to bat for rural communities and address the stalled disaster bill – watch here: https://youtu.be/fH1usfNfB6c ,1115620634170679297,2019-04-09,14:21:01,sanfordbishop,2,3,8
The #VAWA makes necessary enhancements to the existing law in order to continue to end the abuse & sexual violence against women. I was pleased to have voted for this important legislation & I encourage my Senate colleagues to do the same. https://bishop.house.gov/media-center/press-releases/bishop-statement-on-the-passing-of-the-violence-against-women …,1113877261315444737,2019-04-04,18:53:28,sanfordbishop,1,1,5
"I was honored to receive the Spirit of Enterprise Award from the @USChamber, and I am proud to lend my continued support for the development of our nation’s businesses. #SOE19
📸: Ian Wagreich pic.twitter.com/5T1ErGH7cp",1113844414647033858,2019-04-04,16:42:57,sanfordbishop,0,4,13
"Attention all #GA02 high school students! My office is still accepting entries for this year’s #CongressionalArtCompetition. For more information, contact my office at 229-439-8067. pic.twitter.com/zLLLZzjwaZ",1113781657033637888,2019-04-04,12:33:34,sanfordbishop,0,3,2
"I would like to take a moment and remember the two students from Fort Valley State University that we lost this past weekend. My condolences go to the families, friends and classmates of these bright young women, and my deepest sympathies are with the @FVSU community.",1113485929707077633,2019-04-03,16:58:27,sanfordbishop,0,4,7
"TUNE IN NOW! I am convening a hearing to hear from @fcagov, FCSIC, & regional bank presidents on the condition of the rural economy, the impact of recent natural disasters, & continuing trade disputes → https://youtu.be/mrYb_oGYEKM ",1113086693979181056,2019-04-02,14:32:02,sanfordbishop,0,4,8
