tweet,id,date,time,username,replies_count,retweets_count,likes_count
Proud to announce nearly $4M for apprenticeship programs in #WV. This funding will support apprenticeship opportunities for West Virginians in the technology sector & help West Virginians prepare for the next generation of American #jobs. MORE: https://sen.gov/MOJQ ,1145445152372273152,2019-06-30,21:33:00,sen_joemanchin,3,5,21
Nurses are on the front lines in West Virginia – from combating the opioid epidemic firsthand to serving in rural health centers. That's why I'm proud to announce nearly $700k to support @ShepherdU's Advanced Nursing Education Workforce. MORE:  https://sen.gov/LN47 ,1145369151436779521,2019-06-30,16:31:00,sen_joemanchin,10,7,35
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/RIZo4wDbby",1145285852429529088,2019-06-30,11:00:00,sen_joemanchin,15,13,42
"It’s wrong that when companies go bankrupt, financial institutions go to the front of the line – not the workers. My bill, the Prioritizing Our Workers Act, will change bankruptcy code to require companies to pay unpaid vested benefits like workers’ pensions before other claims. pic.twitter.com/wUtUwcx1Uf",1145106923143888897,2019-06-29,23:09:00,sen_joemanchin,35,78,366
Improving agriculture sustainability through research is essential. That's why I'm proud to announce more than $740k for @WestVirginiaU to examine the sustainability of Appalachian marginal lands for bioenergy crop production. MORE:  https://sen.gov/KM34 ,1145051810832551938,2019-06-29,19:30:00,sen_joemanchin,0,4,24
#ManchinMobileMonday is coming up! Come by any of these locations for hands-on help from my staff with federal or state issues - no appointment necessary! pic.twitter.com/Zv0Sa5hSx2,1144999717614641153,2019-06-29,16:03:00,sen_joemanchin,2,2,10
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/IqoV7QoW2R",1144923466476343297,2019-06-29,11:00:00,sen_joemanchin,13,13,44
I'm proud to announce more than $4.5 million for the Raleigh County Airport and Huntington @tristateairport so that these airports can make needed improvements and repairs to grow our economy and tourism in West Virginia ✈ MORE: https://sen.gov/64ZK ,1144750827162279936,2019-06-28,23:34:00,sen_joemanchin,2,6,27
"The current disclosure form for federal student loans is 6 pages of legal jargon, and that is just ridiculous. The Student Loan Disclosure Modernization Act would provide applicants with a clear and succinct disclosure form, empowering them to make informed borrowing decisions. pic.twitter.com/GEvB7fuDaq",1144713709761302534,2019-06-28,21:06:30,sen_joemanchin,3,9,29
"I’m proud to join @SenatorTimScott in introducing the Student Loan Disclosure Modernization Act, which would simplify and increase transparency for all federal student loans and empower loan applicants to be responsible borrowers. MORE: https://sen.gov/JL26 ",1144713532094783488,2019-06-28,21:05:48,sen_joemanchin,5,9,39
#ICYMI: The safety of my constituents is my highest priority and the fact that so many are unable to do something as basic as calling 911 for assistance is unacceptable. Read my letter to Frontier CEO Dan McCarthy asking that Frontier's landline outages be resolved immediately ⬇ pic.twitter.com/j5XO0tiy6h,1144649018993250304,2019-06-28,16:49:27,sen_joemanchin,5,7,27
"""Close your eyes and imagine giving your youth & your entire working life to the coal mining industry and the only promises you were given was a small retirement check & medical insurance."" I'm fighting for miners like Delbert and their promised pensions & healthcare. WATCH: pic.twitter.com/1aJMoZLbVF",1144598339629060097,2019-06-28,13:28:04,sen_joemanchin,15,13,88
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/sLX4Q0GjBe",1144561076828291072,2019-06-28,11:00:00,sen_joemanchin,21,10,45
I visited Walter Reed Medical Center with @VP Mike Pence & @SenDanSullivan today to thank our brave active-duty servicemembers for their service & shine a light on the importance of helping those who suffer from PTSD get the support & treatment they need #NationalPTSDAwarenessDay pic.twitter.com/9hhZ3Z97qm,1144398193721073666,2019-06-28,00:12:45,sen_joemanchin,12,16,76
"Today I had the opportunity to meet with advocates for cystic fibrosis research, young National Beta Club members from West Virginia, as well as more than 50 WV #STEM students who are participating in an engineering competition in Washington. pic.twitter.com/6fU81dXJu8",1144359852376023040,2019-06-27,21:40:24,sen_joemanchin,2,7,20
"The American Miners Act has to be attached to a must-pass bill like the NDAA because Mitch McConnell has turned the Senate into a dysfunctional and unproductive body. Mitch, it’s time to stop playing politics with our retired miners’ healthcare and pensions. pic.twitter.com/MreBlPIunJ",1144342804031844358,2019-06-27,20:32:39,sen_joemanchin,3,6,33
"While I don’t understand Mitch McConnell’s motives or why he refused a vote on my amendment that would secure coal miners’ healthcare & pensions, I voted for #NDAA to ensure that our military receives the funding they need to keep our country safe. MORE: https://sen.gov/741J ",1144342802601586691,2019-06-27,20:32:39,sen_joemanchin,15,4,35
"It’s wrong that when companies go bankrupt, financial institutions go to the front of the line – not the workers. My bill, the Prioritizing Our Workers Act, will change bankruptcy code to require companies to pay unpaid vested benefits like workers’ pensions before other claims. pic.twitter.com/YTD8A14et4",1144287468826632192,2019-06-27,16:52:47,sen_joemanchin,18,25,172
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/knUQCDzK2c",1144198691726585856,2019-06-27,11:00:00,sen_joemanchin,12,9,28
"I had a great time answering questions from high school students at @marshallu participating in the Health Care Pipeline Initiative, which gives students an opportunity to learn about careers in STEM and healthcare fields. Thanks for stopping by @MarshalluPres! pic.twitter.com/sbXN9aBvBH – at Marshall University",1143982461875040257,2019-06-26,20:40:47,sen_joemanchin,2,3,13
Today I voted for $4.6 billion in supplemental funding to address the humanitarian crisis at our southern border. My full statement ⬇ pic.twitter.com/mZrwzjT6Qj,1143972787662536704,2019-06-26,20:02:21,sen_joemanchin,17,16,63
The safety of my constituents is my highest priority and the fact that so many of them are unable to do something as basic as calling 911 for assistance is unacceptable. Read my letter to Frontier CEO Dan McCarthy asking that Frontier's landline outages be resolved immediately ⬇ pic.twitter.com/NTaXRCPMoP,1143926730391994374,2019-06-26,16:59:20,sen_joemanchin,4,6,21
"#WV has more retired union coal miners than any other state. More than 27k retirees live in WV alone, and their average pension is less than $600 a month. They've worked for it, they've earned it, & I refuse to let them down. We owe it to these families to secure their pensions. pic.twitter.com/yREBWoRaMw",1143870492698468353,2019-06-26,13:15:52,sen_joemanchin,11,12,77
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/EflymEOPJn",1143836304800546820,2019-06-26,11:00:01,sen_joemanchin,15,8,26
"The $243 million #WV has received from #LWCF has gone towards conserving our state’s wonderful #publiclands. If we want to continue to grow hunting, fishing, hiking & outdoor recreation opportunities in our state we need to #FundLWCF. pic.twitter.com/XsFAfqVSjy",1143629826970066945,2019-06-25,21:19:33,sen_joemanchin,4,10,36
"In #WV & across the country #LWCF funds help provide access to our #publiclands, like @NewRiverNPS. Today, I talked with @NWF's @Collin_OMara about how LWCF improves access for the outdoor rec activities we all love. #FundLWCF pic.twitter.com/s0tXYAhpDg",1143581780521435136,2019-06-25,18:08:37,sen_joemanchin,2,3,14
"""Close your eyes and imagine giving your youth & your entire working life to the coal mining industry and the only promises you were given was a small retirement check & medical insurance."" I'm fighting for miners like Delbert and their promised pensions & healthcare. WATCH: pic.twitter.com/6pLw0ukCFk",1143566173507919872,2019-06-25,17:06:36,sen_joemanchin,13,17,92
Thanks @Collin_OMara for sharing your words of wisdom & support for #LWCF at today's @EnergyDems hearing. I know you agree that it's time to pass my bill & permanently #FundLWCF. @NWF pic.twitter.com/6vgaBbkZCy,1143556084260573185,2019-06-25,16:26:31,sen_joemanchin,1,14,42
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/gKUW4TcFwo",1143473916209455104,2019-06-25,11:00:00,sen_joemanchin,7,7,20
"#LWCF has helped protect #publiclands in #WV, like Dolly Sods & @NewRiverNPS. In total WV has received $243M from LWCF. That's $243M towards supporting hunting, fishing & outdoor rec across our state – helping to grow our local economies & strengthen our communities. #FundLWCF pic.twitter.com/oR1hVyBsva",1143296494138580992,2019-06-24,23:15:00,sen_joemanchin,0,6,9
"My #bipartisan bill, S.1081, will fully #FundLWCF, ensuring #WV & states across the country continue to receive money for #publiclands acquisition & preservation – supporting conservation, outdoor recreation & sportsmen's opportunities. #LWCF https://www.register-herald.com/opinion/editorials/bipartisan-effort-should-not-fall-prey-to-politics/article_60cd9d1d-a158-529c-b827-3fb3490ed93b.html …",1143223553078243328,2019-06-24,18:25:09,sen_joemanchin,7,11,34
"Tomorrow, @EnergyDems have a hearing to review #LWCF. This program invests in #publiclands but is rarely fully funded. That's why I introduced leg to permanently #FundLWCF.
 
More about the impact of LWCF & the need for permanent funding from @EnergyDems: pic.twitter.com/2fvFvIDFxd",1143175004382736391,2019-06-24,15:12:14,sen_joemanchin,3,8,31
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/pUxaiXUyd7",1143111529123893248,2019-06-24,11:00:01,sen_joemanchin,23,21,68
"#ICYMI: I helped Martinsburg get reimbursed for PFAS clean-up efforts that cost the city millions, and I will continue fighting for additional commonsense amendments to the #NDAA that will ensure every West Virginian and American has access to clean drinking water. pic.twitter.com/yIsczc5KYA",1142931589942435843,2019-06-23,23:05:00,sen_joemanchin,1,3,15
"West Virginia’s future is in the hands of our youngest citizens, and in order for them to succeed, access to an early education is essential, no matter where the student lives. That's why I'm proud to announce $7.4M for Head Start programs in WV. MORE:  https://sen.gov/57QZ ",1142824636599734272,2019-06-23,16:00:00,sen_joemanchin,4,4,20
"The 2016 flood was a tragic and terrifying event for so many West Virginians, but it also brought out the best in us – people from across #WV and beyond came together to help neighbors in need. West Virginians are tough - and together, we will rebuild our communities. pic.twitter.com/mKssxgAr4P",1142779337797722113,2019-06-23,13:00:00,sen_joemanchin,5,3,23
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/vfrLnZPzZn",1142749138661961729,2019-06-23,11:00:00,sen_joemanchin,11,8,35
"#ICYMI: When a Veteran is in crisis, every second matters. I'm glad @DeptVetAffairs @SecWilkie supports my bill to create a 3-digit dialing code for the Veterans Crisis Line because Veteran suicide is preventable and it's a national tragedy that can - and must - be addressed. pic.twitter.com/IhqI4u9G2y",1142565929974263808,2019-06-22,22:52:00,sen_joemanchin,16,31,117
"Updating and increasing #WV's technology & infrastructure is critical to maintaining a clean water supply. That's why I'm proud to announce $250K to support more water storage, fire hydrants, waterlines and other projects in the Bluefield area. MORE: https://sen.gov/46PR ",1142515347129454592,2019-06-22,19:31:00,sen_joemanchin,2,1,8
#ManchinMobileMonday is coming up! Come by any of these locations for hands-on help from my staff with federal or state issues - no appointment necessary! pic.twitter.com/Mw3PG5OQBm,1142463001942822912,2019-06-22,16:03:00,sen_joemanchin,2,3,8
"Did you know West Virginia @4H was featured on the home page of @Google this week? West Virginia 4-H participants are learning computer science skills, including coding, this summer with support from Google. Learn more about this great program here: https://about.google/stories/google-4h/ …",1142437584544686081,2019-06-22,14:22:00,sen_joemanchin,6,9,28
".@realDonaldTrump, I know you love our country’s brave and patriotic coal miners. We need your support to pass the #AmericanMinersAct that will secure our retired miners' pensions & healthcare. pic.twitter.com/VpKbDUMqiP",1142386750616219658,2019-06-22,11:00:00,sen_joemanchin,11,5,22
"The 2016 flood was a tragic and terrifying event for so many West Virginians, but it also brought out the best in us – people from across #WV and beyond came together to help neighbors in need. West Virginians are tough - and together, we will rebuild our communities. pic.twitter.com/2eJpACNqTC",1142153720131706881,2019-06-21,19:34:01,sen_joemanchin,0,2,6
"The 2016 flood was a tragedy for the families who lost loved ones and for the entire state. Over the past three years, I have worked with multiple agencies to secure millions in funding for #WV, & I’ll continue to fight for WV so that we can rebuild. MORE:  https://sen.gov/34OR ",1142153502166265856,2019-06-21,19:33:09,sen_joemanchin,4,2,8
WV has powered the country for generations. At yesterday’s @EnergyDems hearing I talked about the potential #WV has to develop geothermal energy. R&D in this field could provide our state with clean & affordable #energy for years to come. pic.twitter.com/R7TQmChT8K,1142140743823347712,2019-06-21,18:42:27,sen_joemanchin,6,4,37
