tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Senate Democrats just blocked funding for the largest pay increase for our military in 10 years, record funding for our 17 national labs and the fifth consecutive year of increased funding for the @NIH, which researches and develops lifesaving treatments. 
 https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=E10822B7-B743-460F-A1C3-A277A81C81B6 …",1189984752406843393,2019-10-31,19:17:28,senalexander,175,144,210
"The next step is to conference our bills with the House of Representatives and send the bills to @POTUS to become law. Passing this funding package was a positive step in the right direction toward restoring a regular appropriations process. 

 https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=1BB5AAED-0DFD-486A-974C-AC60D2A651C6 …",1189958507073875968,2019-10-31,17:33:11,senalexander,3,2,3
"I voted for and the U.S. Senate passed a spending package that includes funding for important Tennessee priorities, such as supporting TN farmers, helping our state tackle the opioid crisis and reducing the maintenance backlog in our 419 national parks, including @GreatSmokyNPS.",1189958503999397889,2019-10-31,17:33:10,senalexander,8,2,9
"And, the Scarlett’s Sunshine on Sudden Unexpected Death Act, which will provide grants to help states prevent sudden unexpected infant and child deaths, and to help better understand the causes of these deaths.",1189907995863502848,2019-10-31,14:12:28,senalexander,2,3,5
"And, two bills from @SenatorIsakson and @SenBobCasey: the Over-the-Counter Drug Safety, Innovation, and Reform Act, which would modernize the way over-the-counter medications are regulated and brought to market.",1189907994328403973,2019-10-31,14:12:27,senalexander,2,2,1
"The United States Public Health Service Modernization Act, from @SenatorRounds and @SenDougJones, which will allow the Secretary of @HHSGov to call up a reserve of public health professionals when a public health or national emergency strikes.",1189907993116196864,2019-10-31,14:12:27,senalexander,1,1,2
"The Healthy Start Reauthorization Act, from @SenSherrodBrown and @SenatorBurr, to help prevent low-birth weights to give babies the best opportunity at living long, healthy lives.",1189907991467823104,2019-10-31,14:12:27,senalexander,1,1,2
"The Title VIII Nursing Workforce Reauthorization Act, from @SenJeffMerkley, @SenatorBurr, Sen @MarshaBlackburn, and @SenatorBaldwin. This bill will update and reauthorize programs that help ensure we have trained nurses.",1189907989857275909,2019-10-31,14:12:26,senalexander,1,1,1
"From @SenatorCollins and @SenatorBaldwin, the Lifespan Respite Care Reauthorization Act, to continue state programs that give a break to the 45 million Americans who provide care for a family member with special needs.",1189907988720562177,2019-10-31,14:12:26,senalexander,1,1,1
"The Promoting Physical Activity for Americans Act, from @SenatorWicker and @SenSherrodBrown, which will require the @HHSGov to routinely update its recommendations on daily exercise for Americans.",1189907987395158016,2019-10-31,14:12:26,senalexander,1,1,1
"Today, the Senate health committee will vote on 8 bipartisan public health bills. First, the TICK Act, from @SenatorCollins and @SenTinaSmith, which will help address Lyme disease and West Nile virus, and other diseases transmitted by vectors such as mosquitoes, ticks, and fleas.",1189907983217680386,2019-10-31,14:12:25,senalexander,1,2,1
"I’m about to chair the Senate health committee’s markup of eight public health bills that will bring new over-the-counter drugs to patients more quickly, ensure we have the nurses we need, and help Americans lead healthier lives. 

You can watch live here:  https://www.help.senate.gov/hearings/s-1657-s-2619-s-1399-s-995-s-1130-s-1608-s2629-and-s-2740 … pic.twitter.com/LMBU1NpmMl",1189905403687161867,2019-10-31,14:02:10,senalexander,8,6,15
#FightFinished https://twitter.com/Nationals/status/1189751927036207105 …,1189862321440591873,2019-10-31,11:10:58,senalexander,6,3,24
Truly the prettiest drive in America ⤵️ https://twitter.com/GreatSmokyNPS/status/1189636695702024192 …,1189655791101501440,2019-10-30,21:30:17,senalexander,6,6,30
Some nICE news—@USFigureSkating just announced that Nashville will host the 2022 U.S. Championships. We’re excited to welcome everyone back to Music City!,1189644647100043264,2019-10-30,20:46:01,senalexander,3,4,38
"That’s why the U.S. Senate should take up and pass the funding bill providing the fifth year of record funding for @ENERGY's 17 national laboratories, including @ORNL, which was approved unanimously in the Senate Appropriations Committee.",1189594339024015360,2019-10-30,17:26:06,senalexander,1,1,1
This advanced research isn't possible without federal funding for @ENERGY's 17 national labs.,1189594335802736642,2019-10-30,17:26:05,senalexander,1,1,3
"Congrats to @ORNL researchers for winning five @RandDWorld #RD100 Awards this year—bringing the lab’s total to 221, more than any other company, university or research organization since the award was created!",1189594332279508992,2019-10-30,17:26:05,senalexander,4,3,12
"Tennessee students, don’t forget to submit your @TNPromise application by Friday and fill out the #FAFSA by Feb. 1, 2020, to stay eligible for TN Promise. 

Here’s a helpful checklist:  https://www.tn.gov/content/tn/tnpromise/students.html … https://twitter.com/TNPromise/status/1189497674568994816 …",1189566754193850371,2019-10-30,15:36:29,senalexander,2,11,20
I had a good meeting this afternoon with special agents from @FBIMemphis and @FBIKnoxville. I thanked them for their dedicated service to the people of Tennessee. pic.twitter.com/E1J2mT2eAm,1189271236997795842,2019-10-29,20:02:13,senalexander,6,3,16
"The #FAFSA Simplification Act is supported by the @collegeaccess, the @nasfaa and the @SHEEOed. 

Read my column in the @LeafChronicle here⤵️ https://twitter.com/LeafChronicle/status/1188243917164208130 …",1189241620211945472,2019-10-29,18:04:31,senalexander,4,4,11
"By reducing the number of questions on the #FAFSA, reducing the need for verification and allowing students to learn earlier how much aid they may qualify for, the FAFSA Simplification Act will make it simpler and easier for students and families to apply for financial aid. https://twitter.com/dailymemphian/status/1188953608655724545 …",1189211174870667265,2019-10-29,16:03:33,senalexander,9,8,30
In the @dcexaminer: “Legislators on both sides of the aisle should join Alexander and @SenDougJones to take this opportunity to enact broadly-appealing student aid reform.” #FAFSA https://www.washingtonexaminer.com/opinion/lamar-alexander-and-doug-jones-have-a-grand-plan-to-make-college-more-affordable …,1189179819231043584,2019-10-29,13:58:57,senalexander,2,1,4
"More happy news from #TeamAlexander—Tyler, who works in the Senate health committee I chair, proposed to his girlfriend, Melissa, over the weekend. Tyler graduated from @UTKnoxville. 

Congratulations to you both! pic.twitter.com/Ur6KqxVxg1",1188871320144089093,2019-10-28,17:33:05,senalexander,5,7,32
"I look forward to working with Senator Van Hollen and my colleagues to make sure researchers have support to maintain our nation’s global competitiveness.

 https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=99888EED-8144-437D-B50B-26D806449C6D …",1188862340449689602,2019-10-28,16:57:24,senalexander,8,1,5
"I am sponsoring with Sen @ChrisVanHollen the @ARPAE Reauthorization Act, which will increase funding for research to create breakthroughs in advanced nuclear reactors, natural gas, carbon capture, better batteries, greener buildings, electric vehicles, cheaper solar and fusion.",1188862335676571648,2019-10-28,16:57:23,senalexander,7,6,21
"Some happy news—Kensie and Paul, who met while working in my Washington office, got married over the weekend. Kensie is from Nashville, and Paul grew up in Knoxville then graduated from @UTKnoxville. 

Congratulations! Honey and I wish you two a lifetime of happiness. pic.twitter.com/gB14ohPPUf",1188829400667774976,2019-10-28,14:46:31,senalexander,3,5,58
"Let’s put another #CURLYW in the books tonight, @Nationals! 

#STAYINTHEFIGHT pic.twitter.com/RDlMoxSVXo",1187857696478900228,2019-10-25,22:25:18,senalexander,36,7,41
"SAVE THE DATE: Tomorrow is National Prescription Drug #TakeBackDay. You can safely dispose of unused prescription drugs and vaping devices at multiple sites. 

Find a location near you:  http://takebackday.dea.gov ",1187823097631662081,2019-10-25,20:07:49,senalexander,12,7,21
My full statement after co-sponsoring the Graham resolution on impeachment.  https://twitter.com/LindseyGrahamSC/status/1187791336008830976 … pic.twitter.com/Hok8pMrYJB,1187809847259086849,2019-10-25,19:15:10,senalexander,238,42,160
"The #FAFSA is too long and too complicated. 

That’s why I introduced the FAFSA Simplification Act – to give Tennessee students a better, simpler way to apply for financial aid. pic.twitter.com/Xxc57osQG9",1187757911919022085,2019-10-25,15:48:48,senalexander,28,30,157
"It was not too long ago when the threat of children contracting polio terrified parents and communities. But after the introduction of a vaccine, polio was completely eliminated in the U.S. by 1979, and since then, from every country in the world except for 3. #VaccinesSaveLives",1187429683920605184,2019-10-24,18:04:32,senalexander,10,4,16
"#WorldPolioDay is a great reminder that #VaccinesSaveLives — the lives of those who receive vaccinations, and the lives of those who are too young or medically vulnerable to be immunized.",1187429681001308161,2019-10-24,18:04:31,senalexander,15,9,39
"The #FAFSA is too long and too complicated. 

That’s why @SenDougJones and I introduced the FAFSA Simplification Act – to give students a better, simpler way to apply for financial aid. 

 https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=0B6761B2-6175-4025-9397-56384FE06081 … pic.twitter.com/RsoXmtdPY7",1187370783955472387,2019-10-24,14:10:29,senalexander,10,4,26
"Thank you to all of the first responders, medical providers, volunteers and families in communities across Tennessee and our country who work every day to provide an #OpioidCrisisResponse.",1187356011369324544,2019-10-24,13:11:47,senalexander,9,4,8
"One year ago today, @POTUS signed into law the SUPPORT Act, bipartisan legislation I sponsored to help states like Tennessee combat the opioid crisis.

#OpioidCrisisResponse pic.twitter.com/ICkaSgRfwV",1187355859313139712,2019-10-24,13:11:11,senalexander,28,30,130
"If you’re in the Tri-Cities area, tune-in at 8:45 AM ET to @Supertalk929 for my live conversation with @ScottyIsOn about the #FAFSA Simplification Act, bipartisan legislation I introduced to give Tennessee students a better, simpler way to apply for financial aid.",1187346779806806016,2019-10-24,12:35:06,senalexander,6,2,5
I told them that I am glad the Trump Administration is still focused on stopping the illegal flow of Fentanyl from China by holding the Chinese to their promise to designate all forms of fentanyl as a controlled substance.,1187139606128365568,2019-10-23,22:51:52,senalexander,11,4,15
"It was good to have @FLOTUS, @SecAzar, @ONDCP Director Carroll, @HHS_ASH and @KellyannePolls in the Capitol today to discuss how we can continue our #OpioidCrisisResponse a year after @POTUS signed the SUPPORT Act into law. pic.twitter.com/CCcFVhT5gS",1187139602882187264,2019-10-23,22:51:51,senalexander,14,5,17
.@VanderbiltU is a great example of a university committed to student success and academic achievement – it consistently ranks as one of the nation’s best universities in the @usnews report.,1187115691528392705,2019-10-23,21:16:51,senalexander,2,3,9
"Thank you for stopping by to discuss the #FAFSA Simplification Act, bipartisan legislation I introduced to give Tennessee students a better, simpler way to apply for financial aid. https://twitter.com/Vanderbilt_GR/status/1187051146579447808 …",1187115689124999168,2019-10-23,21:16:50,senalexander,3,3,13
"The #FAFSA Simplification Act will reduce the number of questions from 108 to 18-30 basic questions about a student, their family, and their plans for college. https://twitter.com/collegeaccess/status/1186777493879037955 …",1187061370921062400,2019-10-23,17:41:00,senalexander,2,4,6
"Fixed the plaid, now we’re in business. #FINISHTHEFIGHT  https://twitter.com/nielslesniewski/status/1186794046259372038 … pic.twitter.com/8nazhl24OP",1187047644037820417,2019-10-23,16:46:27,senalexander,3,7,41
3) It allows students to find out as early as 8th grade how much Pell grant funding they may be eligible for – so students can start to plan for college sooner,1187026657787428864,2019-10-23,15:23:03,senalexander,1,2,3
2) It greatly reduces the need for the burdensome verification process,1187026654784360453,2019-10-23,15:23:03,senalexander,2,2,3
1) It reduces the number of questions on the #FAFSA from 108 to 18-30,1187026651625996289,2019-10-23,15:23:02,senalexander,1,2,4
The #FAFSA Simplification Act I introduced along with @SenDougJones will make it easier for families to apply for federal student aid by doing three things:,1187026648652275715,2019-10-23,15:23:01,senalexander,6,4,7
"The Washington @Nationals could give our country a good lesson in teamwork.  

I’ll be rooting for y’all in the @MLB #WorldSeries! 
#STAYINTHEFIGHT",1186793126536581120,2019-10-22,23:55:05,senalexander,9,3,25
"The #FAFSA is too long and too complicated.

That’s why @SenDougJones and I just introduced the FAFSA Simplification Act – to give students a better, simpler way to apply for financial aid.

 https://www.alexander.senate.gov/public/index.cfm?p=PressReleases&id=0B6761B2-6175-4025-9397-56384FE06081 … pic.twitter.com/xVisLNuLqr",1186773940766756865,2019-10-22,22:38:51,senalexander,158,45,211
HAPPENING NOW https://twitter.com/SenAlexander/status/1186747378637967362 …,1186765505765482496,2019-10-22,22:05:20,senalexander,11,5,26
"I’m headed to the U.S. Senate floor to introduce the #FAFSA Simplification Act alongside @SenDougJones. Our bipartisan legislation will reduce the number of questions on the FAFSA from 108 to 18-30. 

You can watch live here:  https://www.senate.gov/legislative/floor_activity_pail.htm …",1186747378637967362,2019-10-22,20:53:18,senalexander,10,14,53
"TUNE IN at about 5:20 PM ET for my introduction of the #FAFSA Simplification Act alongside @SenDougJones. Our  legislation will reduce the number of questions on the Free Application for Federal Student Aid (FAFSA) from 108 to 18-30. 

Watch live here:  https://www.senate.gov/legislative/floor_activity_pail.htm …",1186704110210486273,2019-10-22,18:01:22,senalexander,6,1,6
