tweet,id,date,time,username,replies_count,retweets_count,likes_count
Jerry Adams was the consummate professional as a state employee. Everyone trusted and respected him. It was my privilege to know and work with him.,1178055998256234496,2019-09-28,21:16:51,senalexander,27,7,17
"Today is National Public Lands Day! @TennStateParks has events planned across the state to celebrate #NPLD and enjoy our public lands. 

Check out some of the activities: https://tnstateparks.com/about/special-events/national-public-lands-day-hikes/ …",1177924682487619586,2019-09-28,12:35:03,senalexander,34,6,43
"Three big wins in the Senate Appropriations Committee this week:
✅ $5B to build more wall on our Southern border
✅ $505M for states like TN to help with their #OpioidCrisisResponse
✅ More money to reduce the maintenance backlog at our national parks, including @GreatSmokyNPS pic.twitter.com/5543YWkl15",1177641032701349888,2019-09-27,17:47:56,senalexander,61,18,50
"It is time for Congress to take action to protect patients from surprise medical bills. 

The approach in the bipartisan  #LowerHealthCareCosts Act empowers local markets, not government bureaucrats, to determine the price of health care. https://twitter.com/Tennessean/status/1177246966411079681 …",1177579175210885120,2019-09-27,13:42:08,senalexander,37,5,27
"Thank you for your support, @IvankaTrump! 
I look forward to working with you and others to make the Student Aid Improvement Act law. https://twitter.com/IvankaTrump/status/1177309336080723968 …",1177335372700950528,2019-09-26,21:33:21,senalexander,112,239,1298
"I am glad the Senate just confirmed @POTUS’s nominee, Eugene Scalia, to serve as Secretary of @USDOL. 

I look forward to his getting to work to help continue to grow our economy and help workers gain the skills they need to succeed in today’s workplace.

 https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=1503F739-BC92-40C1-B758-99C788BC3B73 … pic.twitter.com/qmF1wJeBdg",1177295528687742976,2019-09-26,18:55:01,senalexander,52,35,152
"The Student Aid Improvement Act of 2019 will permanently fund Minority Serving Institutions, including the six #HBCUs in Tennessee, and includes seven other bipartisan higher education proposals drafted by 35 Senators—20 Democrat, 15 Republican. pic.twitter.com/CfXarsNZT3",1177291417007337472,2019-09-26,18:38:41,senalexander,61,91,434
"We just voted in the Senate Appropriations Committee to continue the work to secure our border by approving $5 billion for the border wall. 

 https://www.alexander.senate.gov/public/index.cfm?p=PressReleases&id=C1D52D2F-D421-4C70-91D0-8B7B54263328 …",1177287191946563586,2019-09-26,18:21:54,senalexander,71,14,78
".@SecAzar, @HHSGov,& @NIH just announced they are awarding $945 million across 41 states for research to help fight the opioid crisis, including to develop new, non-addictive painkillers. This #OpioidCrisisResponse money is great news for communities across Tennessee and the U.S.",1177264297715671044,2019-09-26,16:50:55,senalexander,10,12,21
"The Senate Appropriations Committee just approved $100 million for the STOP School Violence Act – legislation I cosponsored that allows the @TheJusticeDept to make grants to states for training, technology and equipment, and technical assistance to help stop school violence.",1177260752878678017,2019-09-26,16:36:50,senalexander,8,8,14
This bill gives $25 million in funding for the @USFWS to combat #AsianCarp and protect commercial fishing and our nation’s waters.,1177244938582540294,2019-09-26,15:34:00,senalexander,2,4,10
"Today, the Senate Appropriations Committee took a promising step to reduce the maintenance backlog at our national parks, including at the @GreatSmokyNPS. 
 https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=F2A9FA40-EF01-4856-818A-EF874A569AE2 …",1177244933729787912,2019-09-26,15:33:59,senalexander,7,3,12
"One in five in-network emergency-room visits result in the patient receiving a surprise medical bill. 

Read my op-ed in the @Tennessean about the Senate’s bipartisan plan to fix this. #LowerHealthCareCosts https://www.tennessean.com/story/opinion/2019/09/26/surprise-hospital-bills-congress-lamar-alexander/2443826001/ …",1177222556006440962,2019-09-26,14:05:03,senalexander,12,3,8
"READ my op-ed in the @Tennessean: Surprise medical billing is a market failure Congress should address. #LowerHealthCareCosts
 https://www.tennessean.com/story/opinion/2019/09/26/surprise-hospital-bills-congress-lamar-alexander/2443826001/ …",1177180274255388672,2019-09-26,11:17:02,senalexander,149,10,52
I believe Mr. Scalia has the skills to help continue to grow our economy and help workers gain the skills they need to succeed in today’s workplace. pic.twitter.com/PyS8nrOBtM,1176530551047696385,2019-09-24,16:15:16,senalexander,21,4,10
"I just voted for and the Senate labor committee I chair just approved @POTUS’s nominee, Eugene Scalia, to serve as Secretary of @USDOL. 

 https://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=B6291864-3FBB-499D-9FF1-1EDF1F3E5D7E …",1176530519133171712,2019-09-24,16:15:09,senalexander,36,6,16
"It was great to have members of the @TNMilitaryDept here this morning! 

If you’re ever in Washington on a Tuesday the Senate is in session, join @MarshaBlackburn and me for #TNTuesday!  https://www.alexander.senate.gov/public/index.cfm/tennessee-tuesdays-signup-form … https://twitter.com/MarshaBlackburn/status/1176498082873323522 …",1176512951362183173,2019-09-24,15:05:20,senalexander,24,5,29
"It has been more than two months since President Trump announced Mr. Scalia would be the next Labor Secretary. 

So, I believe it is fair to vote on Mr. Scalia today, and I would encourage my colleagues to support his nomination.",1176502424539934720,2019-09-24,14:23:31,senalexander,4,2,5
"And @tmsus, who was Senator Kennedy’s Counsel, wrote, “Gene is precisely the kind of person that our country needs in the Cabinet: experienced, ethical, professional, open-minded, fair, and brilliant.”",1176502421541007360,2019-09-24,14:23:30,senalexander,3,2,2
