tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Now that the Debbie Smith Reauthorization Act has been signed into law, our law enforcement officers will have more resources to process untested rape kits and other DNA evidence, find answers to unsolved crimes, and put criminals behind bars.-AK #RapeKits https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=EA4AA491-CE8B-43B0-8511-F9BA6AA612DC …",1212060454396289026,2019-12-31,17:18:25,senamyklobuchar,10,37,78
"After efforts by Sen Klobuchar, @forestservice will redo the appraisal for federal payments to St. Louis, Lake, & Cook counties under the Thye-Blatnik Act that support crucial services including law enforcement, firefighting, & infrastructure improvements. https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=936D81BB-C358-4F59-891A-7F19B3BC5D11 …",1212039236209254400,2019-12-31,15:54:07,senamyklobuchar,3,8,33
"I am deeply saddened by the bombing in Mogadishu, and my heart goes out to the victims and their families. Minnesota is home to the largest Somali community in the country, and we mourn with those who lost loved ones today.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=C50869A3-1DA4-4FA0-8E95-851B2D5BAEA4 …",1211004349012418560,2019-12-28,19:21:50,senamyklobuchar,11,38,127
"Due to their small size&strength—up to 10x more powerful—these #magnets can attract each other inside the intestine when swallowed by children, causing life-threatening injuries. I urge the @USCPSC to revisit this issue&take action to protect children-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=8D9BA75A-C95F-466F-94A0-F35F1EECAB76 …",1210655773824634880,2019-12-27,20:16:44,senamyklobuchar,4,16,42
This letter today to the @USCPSC follows recent reports that a child from Minnesota was found with toxic blood levels of lead after playing with an off-brand spin toy purchased online. #ToySafety #Toys https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=02DB222D-29B7-41BE-BD76-FFB88694052A …,1208129840999813121,2019-12-20,20:59:34,senamyklobuchar,2,10,26
"#Robocalls doubled last year in Minnesota. Worse still, they often target #seniors, who can lose their entire life savings to fraudulent cons. I am pleased that this legislation has passed the Senate and look forward to seeing it signed into law.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=D0DE3A37-4ECC-4DAB-AD0A-897764278116 …",1208047168805888008,2019-12-20,15:31:04,senamyklobuchar,7,23,99
"As I have expressed time and again, the online ticket markets don’t work for American consumers. Lack of competition due to excessive consolidation has led to inadequate disclosures and inflated fees when people go to purchase tickets to live events.-AK https://www.nytimes.com/2019/12/19/arts/music/live-nation-ticketmaster-settlement-justice-department.html …",1207774022865489929,2019-12-19,21:25:41,senamyklobuchar,9,18,70
"By supporting #veterans in their transition to civilian life through #STEM career training, we not only help them to succeed, but also strengthen our economy and our nation.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=F013835C-40C5-418B-BB2B-33F5D1D7D724 …",1207764538340368384,2019-12-19,20:47:59,senamyklobuchar,2,34,83
"The Admin caused this prob by making exemptions for big oil companies,& its failure to uphold the RFS has already led to the closure or idling of more than 35 ethanol & biodiesel plants, leaving #rural America further behind. Enough is enough.-AK #BioFuels https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=70F8F7DE-E599-4F5E-91B4-24704410E2DE …",1207698488194142210,2019-12-19,16:25:32,senamyklobuchar,6,41,69
This hard fought step toward permanent #citizenship is well-deserved for this community that has worked hard and played by the rules.-AK #Liberian @SenTinaSmith https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=A6D4F2D5-2E8E-4776-9A9E-E92DA5C375AF …,1207303624608620544,2019-12-18,14:16:29,senamyklobuchar,7,22,47
