tweet,id,date,time,username,replies_count,retweets_count,likes_count
"As a constitutionally mandated activity, the decennial census is a cornerstone of our democracy. We have one chance to get the count right & must complete the task on time to meet constitutional & legal requirements for congressional apportionment & redistricting.-AK #Census2020 pic.twitter.com/hKUHFsSUdH",1144684105541529601,2019-06-28,19:08:52,senamyklobuchar,16,14,50
"I'm proud to see many yrs of effort come to fruition with the creation of this task force. It will help promote broadband deployment &precision agriculture tech to help farmers streamline their operations, improve crop yields, & boost their bottom line.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=4070607C-8771-4403-B83C-858830327AAB …",1144632541590069248,2019-06-28,15:43:58,senamyklobuchar,1,16,51
"Passed today: Klobuchar's bill to reduce incentives for drug companies to file sham petitions with the FDA to interfere with the approval of generics that would compete with their own products, a tactic that delays access to more affordable meds.#DrugCosts https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=8B56B450-1354-4ADC-84B3-7F8ED9089628 …",1144321423013556224,2019-06-27,19:07:42,senamyklobuchar,2,31,75
"With new evidence that the Administration acted with discriminatory intent now under consideration in a federal district court, it is clear that there is no legitimate reason to include a citizenship question in the 2020 #Census.-AK #Census2020 #SCOTUS https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=339B2CC6-7F00-4B86-B74A-4BD4678B58DC …",1144297256327290880,2019-06-27,17:31:40,senamyklobuchar,15,19,45
"Today’s decision gives a green lt to politicians who manipulate cong districts. This is wrong. It should be a fair, non-partisan process that puts the people 1st,not political parties. Partisan #gerrymandering undermines the principles of our democracy.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=BA5968C3-8EED-4A8E-8413-42F12ECCEABE …",1144267798803308550,2019-06-27,15:34:37,senamyklobuchar,6,24,44
Our intelligence community has been clear—foreign powers continue to interfere in our elections and they’ll keep doing so unless we stop them.-AK #ElectionSecurity #Elections https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=DF1FDC92-361C-40B6-A1B1-95BB2FB896E5 …,1143986651745673216,2019-06-26,20:57:26,senamyklobuchar,16,22,54
"Today, Sen. Klobuchar took to the Senate floor to call for action on election security legislation. She asked for unanimous consent that the Senate proceed to the immediate consideration of S.1540, the Election Security Act and Sen. Lankford objected. #Elections #ElectionSecurity pic.twitter.com/wS7Bg3o9fs",1143601047585402880,2019-06-25,19:25:11,senamyklobuchar,17,61,124
Election security is not about one election or Party. It's about our democracy. We need to be a united front in fighting those who interfere with our democracy &we must do everything in our power to prevent foreign interference from letting this ever happen again.-AK #Elections pic.twitter.com/TRjyHXBJp7,1143553875774976000,2019-06-25,16:17:44,senamyklobuchar,15,33,97
"When federally-funded scientific research is curtailed or withheld b/c of its attn to the consequences of climate change, farmers are cut out of participating in climate solutions and, at worst, unable to effectively mitigate its effects.-AK #ClimateChange https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=530F4E06-77F4-4A46-83D4-73A2600FFCA2 …",1143280687488929798,2019-06-24,22:12:11,senamyklobuchar,7,15,42
"Given the silence of the FTC and the Justice Department, the truth is that we still do not know if these investigations have actually been initiated and neither do the American people.-AK #Tech #Antitrust https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=89BBB9C9-6E91-440F-AF42-855DE4DD9A37 …",1142128608133210113,2019-06-21,17:54:14,senamyklobuchar,3,7,11
"Last night Sen Klobuchar emceed the Congressional Women's Softball Game @CWSoftballGame, While the press team defeated the Members of Congress, the ultimate grand slam was the $365k raised for young women with breast cancer. #CWSG #BeatCancer pic.twitter.com/Hf6EnkuMAf",1141743378343845889,2019-06-20,16:23:28,senamyklobuchar,6,18,141
Today Sen Klobuchar led a letter pressing the CEOs of #Uber & #Lyft for information over the continued use of vehicles with open safety recalls after @ConsumerReports showed 1 out of 6 Uber & Lyft drivers have vehicles with an unfixed safety recall.  https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=E320F955-DE87-4395-9CBC-B6953B4720B5 … pic.twitter.com/0seqlLvIkN,1141722357209423873,2019-06-20,14:59:56,senamyklobuchar,3,8,17
@CWSoftballGame Sen Klobuchar is doing play by play tonight! Go #TeamCongress pic.twitter.com/a6Ii3qnVSh,1141483888113590273,2019-06-19,23:12:21,senamyklobuchar,0,2,5
Sen Klobuchar's DO NOT Call Act creates a penalty for violations of the Telephone Consumer Protection Act including up to 1yr in prison. The bill wld also increase the max penalty for civil & criminal fines from $10k to $20k for faking Caller ID.#Robocalls  https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=B8C403F2-6D11-4894-86F9-C56970BD4B60 … pic.twitter.com/w6GV4D54ys,1141371671229730817,2019-06-19,15:46:26,senamyklobuchar,6,11,43
"While we've made progress protecting the #RightToVote, there are still ppl working to disenfranchise Americans, especially minorities. This bill would ensure that those who seek to undermine elections by deceiving voters face consequences.-AK #VotingRights https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=7B035942-F73C-4CDA-9523-37C08D0CE00E …",1141074458511314945,2019-06-18,20:05:25,senamyklobuchar,5,19,40
Sen Klobuchar is speaking in the Capitol today about how #ElectionSecurity legislation is stuck in Mitch McConnell’s #legislativegraveyard. https://twitter.com/i/broadcasts/1MYxNdXWkpzGw …,1141049593746067457,2019-06-18,18:26:37,senamyklobuchar,6,40,91
"American-made goods are often produced more sustainably than foreign-made materials, but those green practices aren’t taken into account when bidding for government contracts.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=A55FF3CE-BBD4-4669-822F-0CB04ADD2E7E …",1140673188919160832,2019-06-17,17:30:55,senamyklobuchar,0,16,22
Yesterday was Seerscuker Thursday. A tradition on Capitol Hill.  https://www.senate.gov/artandhistory/history/common/generic/SeersuckerThursday.htm … pic.twitter.com/72qMkmY1Qq,1139644531828252673,2019-06-14,21:23:24,senamyklobuchar,8,4,38
"Rather than returning to the failed policies of the past, we should be working to normalize our relations with Cuba and build a relationship that benefits both of our countries. -AK #Cuba https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=A326019A-954B-4373-9C39-F056C46FAAD4 …",1139594678637084675,2019-06-14,18:05:18,senamyklobuchar,4,17,41
Use DNA testing for #Genealogy or a fitness tracker like @fitbit? This legislation will protect consumers’ personal health data by requiring that regulations be issued by the federal agencies that have the expertise to keep up with advances in technology. https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=175DC3D7-D552-41FD-BBD4-54F2A509F773 …,1139565026958876673,2019-06-14,16:07:29,senamyklobuchar,2,6,24
This Disaster Declaration for 51 counties and 4 tribal nations follows a Minnesota Congressional Delegation letter and Governor Tim Walz’s formal request for federal assistance to help these communities rebuild and recover. @FEMA #naturaldisaster https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=176855B3-DD57-4FF2-80AD-2A891B8D639B …,1139247173244280832,2019-06-13,19:04:26,senamyklobuchar,0,8,16
