tweet,id,date,time,username,replies_count,retweets_count,likes_count
"#Minnesota’s #healthinsurance open enrollment begins tomorrow! You can enroll in plans starting at 7 a.m. on November 1, 2019 at @MNsure.org. #CoverageMatters pic.twitter.com/Ahqi6SMMEm",1189992470609829888,2019-10-31,19:48:08,senamyklobuchar,4,8,14
"Facebook is allowing lies in #PoliticalAds & now @Twitter isn’t allowing political ads, creating a patchwork of solutions across platforms that won't work. We need consistent rules of the road in place for all political ads, such as my Honest Ads Act.-AK https://www.msnbc.com/morning-joe/watch/sen-klobuchar-facebook-should-have-a-truth-standard-for-political-advertising-72434757588 …",1189895842888658947,2019-10-31,13:24:10,senamyklobuchar,12,43,106
The Sen Intelligence Cmte released its report on Russia’s use of social media to undermine US democracy earlier this month. Sen Klobuchar has been calling for the immediate consideration of common sense election security legislation like the Honest Ads Act. https://www.nytimes.com/2019/10/08/business/senate-report-russia-election.html …,1189620852024848384,2019-10-30,19:11:27,senamyklobuchar,8,49,93
We need to update our laws so that we have more people in public office who understand the daily realities of taking care of family and working a regular job. That’s why I have introduced the Help America Run Act.-AK #CampaignFinance https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=73D7F7B2-7DF3-4500-8589-8CF851ACB998 …,1189607956666560512,2019-10-30,18:20:13,senamyklobuchar,8,27,47
"Today at the Commerce Cmte Hearing: “Aviation Safety and the Future of Boeing’s 737 MAX,” Sen Klobuchar questioned Boeing’s CEO Dennis Muilenburg about how frequently new automated systems are left out of aircraft training manuals given to pilots. #AviationSafety #737Max pic.twitter.com/CcAsnQP3Bc",1189266369763823616,2019-10-29,19:42:52,senamyklobuchar,10,44,103
"Depends on age, tobacco use, prescriptions and what kind of deductibles you want to pay. You'll likely see 12-20 different options to choose from. Takes about 2-3 minutes to see plans.",1189231917931077634,2019-10-29,17:25:58,senamyklobuchar,1,0,1
"Minnesota’s health insurance open enrollment is just around the corner! It starts November 1, 2019. In the meantime, visit  https://www.mnsure.org/shop-compare/  to compare plans and get ready for open enrollment. #HealthInsurance pic.twitter.com/Og9mA7SKap",1189222775334096903,2019-10-29,16:49:38,senamyklobuchar,2,13,24
Today Sen Klobuchar and @SenTinaSmith wrote to @TSA reiterating the need to address the continued inadequate staffing levels @mspairport and urged TSA to maintain staff at the checkpoint linking the Intercontinental Hotel to Terminal 1 at MSP. https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=93B314D6-34C1-43DB-B689-7A95457A7D5A …,1189212785923805186,2019-10-29,16:09:57,senamyklobuchar,3,20,53
Sen Klobuchar introduced the Honest Ads Act to prevent foreign interference in future elections & make online political ads more transparent. This crucial legislation would protect our democracy from foreign interference online.#ElectionSecurity #HonestAds  https://www.rollcall.com/news/congress/graham-klobuchar-introduce-internet-ads-transparency-bill … pic.twitter.com/4La8Hz5ycH,1188931830919188488,2019-10-28,21:33:32,senamyklobuchar,9,33,76
"Today, we lost my good friend Kay Hagan. When I think of Kay, I will always think of joy. No matter how hard things got in the Senate, her wonderful spirit would make it all seem better. https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=7152A0EF-E3F8-40E7-B5D6-F57B0E3A7962 …",1188899485050650624,2019-10-28,19:25:00,senamyklobuchar,3,13,51
"Our #farmers in MN have experienced a lot in the past yr, from flooding, uncertainty w/export mkts, & low prices across the board. That’s why these grants are so critical in helping ensure that they have access to important stress assistance programs.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=1BFD08D9-3A64-4CB2-BC2E-00A2551EFA71 …",1187826835683450881,2019-10-25,20:22:41,senamyklobuchar,6,28,58
" http://HealthCare.gov  enrollment for 2020 is just 1wk away. On Nov 1, you can visit  http://HealthCare.gov , fill out an application & enroll in a Marketplace health plan. Enroll by 12/15/19 for coverage 1/1/20.  Prepare for next week w/this checklist:  https://www.healthcare.gov/downloads/apply-for-or-renew-coverage.pdf … pic.twitter.com/JiSKRhoibV",1187758900143099904,2019-10-25,15:52:43,senamyklobuchar,3,17,31
