tweet,id,date,time,username,replies_count,retweets_count,likes_count
The FEC has not had a quorum since August and has thus been unable to fully enforce federal election laws. A fully functioning @FEC is critical to safeguarding our political system from corruption & foreign influence. https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=1B297989-E8A1-4BFB-BB03-4C4FB06C50AF …,1218240367600029698,2020-01-17,18:35:12,senamyklobuchar,6,42,91
"Only 2 days left! Sen Klobuchar & @SenTinaSmith advise that those wishing to be considered for the position of Judge, US District Court for the District of #Minnesota, should submit a letter of interest & resume by Jan 17, 2020. Click below for more info. https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=829BB67A-EB7F-4B8A-9264-160C5BF79550 …",1217563882325147648,2020-01-15,21:47:05,senamyklobuchar,7,11,22
Sen. Klobuchar joined Sen. Patty Murray and 28 U.S. Senators in calling on the @US_FDA to reverse a new Trump Administration policy that reverses the President’s earlier promise to ban all non-tobacco flavored e-cigarettes. https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=AD7E6AD3-B663-4A89-A426-2D7FA71CBD76 …,1217207183198375936,2020-01-14,22:09:41,senamyklobuchar,8,6,28
"This misguided proposal will entrench neighborhoods of concentrated #poverty and disproportionately impact racial and ethnic minorities, people with disabilities, and other marginalized groups. Secretary Carson should not move forward with this plan.-AK https://www.washingtonpost.com/business/2020/01/03/ben-carsons-latest-plan-weaken-fair-housing-enforcement/ …",1216824754885353472,2020-01-13,20:50:03,senamyklobuchar,6,54,68
"Thursday mornings when the Senate is in session, #Minnesotans are invited to join Sen Klobuchar for coffee & potica during our ""Minnesota Morning."" Last week students from @StOlaf came and met the Senator. RSVP with our office if you'll be in DC. #UmYahYah https://wp.stolaf.edu/news/interim-class-meets-with-sen-klobuchar-in-washington-d-c …",1216733860395921418,2020-01-13,14:48:52,senamyklobuchar,3,24,74
It is wrong to take money from political campaigns in exchange for disseminating blatant lies to the American people. It is also wrong that @Facebook is immune from any liability for the reckless political ads they sell.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=B314F034-1EBE-4630-BDF7-9E95EA8CC877 …,1215352351806099456,2020-01-09,19:19:15,senamyklobuchar,17,89,176
"#DarkPatterns are manipulative tactics used to trick consumers into sharing their personal data. These tactics undermine consumers’ autonomy and privacy, yet they are becoming pervasive on many online platforms.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=400D33CF-5BAE-4899-A0FB-75240EB51796 …",1215017602273173505,2020-01-08,21:09:04,senamyklobuchar,3,22,54
"Through my office, you can purchase an American Flag that has been flown over the U.S. Capitol to commemorate a special occasion, such as a retirement, graduation, anniversary, or birthday. Allow 4-6 wks. All prices are at cost, and no profit is incurred:  https://www.klobuchar.senate.gov/public/index.cfm/flag-requests … pic.twitter.com/LxYuNfsG4F",1214658366687059971,2020-01-07,21:21:36,senamyklobuchar,3,20,49
"The expansion of @HUDgov's Family Self-Sufficiency (FSS) Program will provide more resources to residents across our state so they are able to access social services, further their education, and gain skills that lead to lasting income growth.-AK https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=2FF96FAB-3DB4-4B57-A050-9177E1611706 …",1214272519060021250,2020-01-06,19:48:23,senamyklobuchar,3,6,21
Sen Klobuchar & @SenTinaSmith have brought together MN leaders to assist them in making recommendations to the President to fill a vacancy on MN’s federal district court.  Those wishing to be considered should submit a letter of interest & resume by Jan 17  https://www.klobuchar.senate.gov/public/index.cfm/news-releases?ID=829BB67A-EB7F-4B8A-9264-160C5BF79550 …,1214215782789459968,2020-01-06,16:02:56,senamyklobuchar,4,14,36
"505 people have been hospitalized from #flu in MN this season & eight people have died. Every year #fluvaccine prevents millions of illnesses, 10s of thousands of hospitalizations, and thousands of deaths. Here's where to get vaccinated in MN to #fightflu:  https://www.health.state.mn.us/people/immunize/basics/vaxfinder.html … pic.twitter.com/aozD17TzMO",1213142726046298112,2020-01-03,16:58:59,senamyklobuchar,5,19,42
