tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This week marks 54 years since Pres. Johnson signed Medicare & Medicaid into law, giving hundreds of millions of Americans quality & affordable health care coverage.

Our efforts must be on protecting these critical programs to ensure they remain strong for future generations.",1156661560049319937,2019-07-31,20:23:00,senatorbennet,52,66,332
"Reducing carbon pollution is something that we all must get behind if we want to combat climate change before it’s too late. 

That’s why I’m joining my colleagues in calling on @USChamber & @ShopFloorNAM to support bold policies to limit carbon pollution. #ChamberofCarbon",1156648444175552512,2019-07-31,19:30:53,senatorbennet,22,68,246
"Right now, an internet company can serve just one home in a rural area, but @FCC maps show the entire area as served. 

If we don’t know who actually has broadband and who doesn’t, we can’t close the #digitaldivide.

My bill w/ @RepFinkenauer fixes this ➡️  http://bennet.senate.gov/broadband  pic.twitter.com/1KHW1D37sM",1156621603477839872,2019-07-31,17:44:13,senatorbennet,4,29,97
All the more reason to learn more about our Shelter Act and how it will help home and business owners across the country protect their properties from future disasters. Read more here ➡️  http://go.usa.gov/xyrqK  https://twitter.com/capitalweather/status/1154835806852460551 …,1156593715789651968,2019-07-31,15:53:24,senatorbennet,4,15,47
"Handing the reins of @BLMNational over to someone who has advocated for the widespread sale of public lands is a slap in the face to all Americans. 

The agency needs a leader who actually believes in its mission. https://twitter.com/AP/status/1156203050316550150 …",1156302695558504448,2019-07-30,20:37:00,senatorbennet,19,119,308
"Potential solution to this problem?  

Not having a trade war in the first place. https://twitter.com/business/status/1156209751333773313 …",1156292945357746176,2019-07-30,19:58:15,senatorbennet,18,81,275
"Proud to join you in this effort, @PattyMurray. We need to #ProtectX. https://twitter.com/PattyMurray/status/1155918077130944512 …",1155924149929484288,2019-07-29,19:32:48,senatorbennet,5,19,78
"We’ve all heard stories about soaring drug prices that have put seniors in the position of choosing between their medications & paying their bills.
 
While this is a big step toward reining in drug prices, we still have much work ahead to give seniors & patients peace of mind. https://twitter.com/thehill/status/1154437921765810177 …",1155139568716304384,2019-07-27,15:35:09,senatorbennet,20,51,258
"During the recession @senatemajldr & the Freedom Caucus immobilized our govt over rising debt & spending. Now with a growing economy, they've plunged us further into debt with record spending & tax cuts for the wealthy. 

The hypocrisy is too much to take. https://www.youtube.com/watch?v=53cjDuIE8Zo …",1154855505078079488,2019-07-26,20:46:23,senatorbennet,43,301,841
"Hungry children. 

The elderly. 

Families struggling to make ends meet. 

These are the 3.1 million people who will bear the brunt of the Trump Administration’s damaging cuts to SNAP. We must #ProtectSNAP. https://twitter.com/washingtonpost/status/1153619238340481026 …",1154760786918572032,2019-07-26,14:30:00,senatorbennet,78,218,564
I’ve endured speech after speech about “fiscal responsibility” from @GOP. Since 2001 Washington cut taxes by $5T with almost all the benefit going to the wealthiest Americans. It spent $5.6T on wars in the Middle East. None of it was paid for. Their fiscal hypocrisy knows no end. pic.twitter.com/iC6qG0iPtq,1154514236610973697,2019-07-25,22:10:18,senatorbennet,609,8342,22518
"The majority of Americans –regardless of party – support acting on #climatechange. Today, @SenDemsClimate heard from voices on the other side of the aisle who want to address this crisis. 

These are the conversations we need to have to bring people together to #ActOnClimate. pic.twitter.com/NiFAnWRHM2",1154477804584677382,2019-07-25,19:45:32,senatorbennet,16,40,124
"Every home, hospital, school, and farm without broadband is a failure of our ambition to build a 21st century economy for everyone.

My plan with @RepFinkenauer will help close the rural digital divide ➡️  http://www.bennet.senate.gov/broadband  pic.twitter.com/HCmPx9kovR",1154459047262900224,2019-07-25,18:31:00,senatorbennet,6,23,60
"We know Russia interfered in our election. And we know they are taking steps to do it again. 

We have a duty to protect our democracy, and every elected official must put politics aside and take action. 

That includes Leader McConnell. https://twitter.com/thehill/status/1154440903479762944 …",1154450034030604288,2019-07-25,17:55:11,senatorbennet,109,336,990
"Today, Congress finally made good on its promise to never forget the brave men and women who answered the call on September 11th and the days and months that followed. 

Passing this bill is the least we can do for these heroes and their families. https://twitter.com/NBCNews/status/1153753241362018305 …",1153764810271723525,2019-07-23,20:32:21,senatorbennet,7,44,308
"Our Stop Cruelty to Migrant Children Act would help ensure children and families fleeing unspeakable violence and persecution are treated with the dignity, respect, and care they deserve.  We need to pass this bill. Now.",1153730005165334528,2019-07-23,18:14:03,senatorbennet,36,95,385
The inhumane treatment of children at the border is outrageous and immoral. The Trump Administration’s failed policies have exacerbated the situation and threaten the health and well-being of vulnerable children and families. We cannot allow these dangerous policies to continue. https://twitter.com/NBCNews/status/1153465526519291911 …,1153729683701284866,2019-07-23,18:12:46,senatorbennet,34,95,345
Passing our bill to designate Fowler and Boskoff Peaks – which are now 2 of only 8 peaks nationwide named by an act of Congress – wouldn’t have been possible without the commitment and hard work of so many in our community. Read about how we made it happen together ⬇ https://twitter.com/ColoradoSun/status/1153330614524887040 …,1153492493897555971,2019-07-23,02:30:16,senatorbennet,8,16,68
"“That's one small step for man, one giant leap for mankind.”

50 years ago, Armstrong’s words were broadcast around the world as he took the first step on the moon. Apollo 11 brought our country together. Today we celebrate what an out-of-this-world success it was 🚀 #Apollo50 pic.twitter.com/TczKvzpjFR",1152595517739696132,2019-07-20,15:06:00,senatorbennet,1,25,107
"Today, as we mark 7 years since the Aurora theater shooting, we remember the 12 innocent victims of this senseless tragedy. 

They will never be forgotten, nor will the acts of heroism and the resilience shown by so many in the community. We must #HonorThemWithAction.",1152573120219418626,2019-07-20,13:37:00,senatorbennet,14,203,944
"Farmers and ranchers in Colorado and across the country are facing the very real effects of #climatechange — challenges that will only grow worse if Washington fails to act. 

Yet, President Trump continues to direct his administration to bury facts and ignore science. https://twitter.com/politico/status/1151887096153591809 …",1151945184894226432,2019-07-18,20:01:48,senatorbennet,19,105,228
"""This bill is exactly what good legislation should be — conscientious work between federal, state and local officials in combination with key stakeholders and industry groups.""

Read why our #COREAct is good for public lands, our economy, and Colorado⬇️ https://www.fowlertribune.com/opinion/20190717/core-act-good-for-outdoor-recreation-economy …",1151924223868309504,2019-07-18,18:38:31,senatorbennet,5,22,74
"Thrilled the House @EnergyCommerce Committee passed legislation to stop surprise medical bills. This brings us one step closer to protecting Americans from this financially devastating practice once and for all. 

Here’s my plan to protect patients ➡️  http://go.usa.gov/xyNt8  https://twitter.com/EnergyCommerce/status/1151547680964980738 …",1151599718226636801,2019-07-17,21:09:03,senatorbennet,9,19,53
"Justice Stevens was a man of integrity, civility, & decency and our country is stronger because of his service. From civil rights to the environment, his legacy will be felt for generations. Our heartfelt condolences to his family, friends, and colleagues. https://nyti.ms/32vdKZ6 ",1151509421463351296,2019-07-17,15:10:14,senatorbennet,8,18,130
"The #TitleX gag rule is another attack by the Trump administration on women’s reproductive rights  – and will hurt millions of women and families who depend on Title X funded-health centers for care.

We must #ProtectX. https://www.politico.com/story/2019/07/16/trump-administration-abortion-gag-rule-1593665 …",1151251524162654215,2019-07-16,22:05:27,senatorbennet,17,39,117
"On this day in 1969, Americans watched as Neil Armstrong, Buzz Aldrin, & Michael Collins – destined to become American heroes – soared into space on the Saturn V rocket. #Apollo11at50 #Apollo50th pic.twitter.com/MG9iXzP1AY",1151226250280620032,2019-07-16,20:25:01,senatorbennet,6,20,125
"The Trump Administration is planning #ICEraids targeting thousands of families this weekend. These raids serve no purpose other than to cause fear & confusion among immigrant communities across the country. 

Please #KnowYourRights and share. pic.twitter.com/vvsr8HpXCN",1150127809966301184,2019-07-13,19:40:12,senatorbennet,105,138,278
"If you or someone you know may be affected, please #KnowYourRights and share with others. 

My offices stand ready to help ➡️  https://go.usa.gov/xynhd  pic.twitter.com/s5RUUY9LPJ",1149772341636997120,2019-07-12,20:07:42,senatorbennet,39,144,252
"The Trump Administration is planning #ICEraids in major cities – including Denver – targeting thousands of families. 

Every person, regardless of status, has rights. #KnowYourRights #StopTheRaids https://twitter.com/SenatorBennet/status/1149417003167428608 …",1149771856725053441,2019-07-12,20:05:47,senatorbennet,56,105,278
Now the Senate needs to act to ensure our heroic 9/11 first responders have the support they need and deserve. https://twitter.com/CNNPolitics/status/1149736153064587264 …,1149749211677822979,2019-07-12,18:35:48,senatorbennet,10,83,403
"As @StephArmour1 & @kristinapet report, “Two-thirds of Americans say they are very or somewhat worried about their ability to afford unexpected medical bills.”
 
My bill with @SenCassidy would protect patients from surprise medical bills. Details ➡️  https://go.usa.gov/xyNt8  https://twitter.com/WSJ/status/1148898431496269825 …",1149423626908786688,2019-07-11,21:02:02,senatorbennet,13,26,111
"Raiding homes, stoking fear, and tearing apart families is at war with who we are as a country and will do nothing to address the humanitarian crisis on our border or our broken immigration system. #StopTheRaids https://twitter.com/nytimes/status/1149180811301806085 …",1149417003167428608,2019-07-11,20:35:43,senatorbennet,36,87,238
But I'm sure my Republican colleagues – who wrap themselves in the Constitution – will stand strong against this executive overreach... https://twitter.com/politico/status/1149298386983673857 …,1149321583531630592,2019-07-11,14:16:33,senatorbennet,210,301,1316
Good luck to all those competing in the Pikes Peak or Bust Rodeo kicking off tonight! #PPOBR https://twitter.com/VisitCOS/status/1148789991885156358 …,1149148604956925958,2019-07-11,02:49:12,senatorbennet,7,6,50
"You deserve this moment, @USWNT. 

You also deserve equal pay. #WNTParade https://twitter.com/CNN/status/1148961272110579712 …",1148990934929092609,2019-07-10,16:22:40,senatorbennet,24,59,438
"The #TxvUS lawsuit is yet another attempt by Republicans to sabotage the #ACA. 

#WhatsAtStake if they win? Health care coverage for millions of Americans – including those with pre-existing conditions. 

We won't stop the fight to #ProtectOurCare.",1148677478719864837,2019-07-09,19:37:06,senatorbennet,40,110,341
"President Trump has rolled back more than 80 environmental rules, abandoned the Paris Agreement, and directed his administration to bury facts and ignore science. 

No amount of spin will change that. https://wapo.st/32hbOmH?tid=ss_tw&utm_term=.6183aef9a92b …",1148334427426172934,2019-07-08,20:53:57,senatorbennet,285,3752,5530
"Every year, it's an honor to nominate young Coloradans who exhibit exceptional commitment to their community & country to attend US Service Academies. Our academy nominations application is open now. Find the application and more information here ⬇️ https://www.bennet.senate.gov/public/index.cfm?p=academy-nominations …",1147886237027459072,2019-07-07,15:13:00,senatorbennet,38,17,89
"Our #COREAct is moving through Congress – bringing us closer to protecting more public lands so Coloradans can continue to enjoy the outdoors now, and in the future. https://www.thedenverchannel.com/news/local-news/plan-that-would-protect-400-000-acres-of-colorado-land-one-step-closer-to-becoming-law …",1147523597990334464,2019-07-06,15:12:00,senatorbennet,18,81,337
"This summer, Team Bennet will be in counties across the state listening to Coloradans, responding to questions, and helping constituents navigate federal agencies. Find a July session near you ➡️  https://go.usa.gov/xyTTH  pic.twitter.com/L8hjjg40RP",1147160454709440514,2019-07-05,15:09:00,senatorbennet,13,13,53
