tweet,id,date,time,username,replies_count,retweets_count,likes_count
I want to wish everyone celebrating Rosh Hashanah today a peaceful and sweet new year. pic.twitter.com/8xAbRkU322,1178387499309240323,2019-09-29,19:14:07,senatorburr,221,22,171
"I hope National Public Lands Day reminds my Senate colleagues that we still need to secure permanent funding for the Land and Water Conservation Fund, which is critical for preserving America’s parks and outdoor recreation sites for future generations. #LWCF",1177634102293520385,2019-09-27,17:20:24,senatorburr,85,14,82
"Tomorrow is National Public Lands Day. I hope everyone uses this day to experience the wonder of America's best idea. To celebrate, volunteer in your community or visit one of America's beautiful national parks for free.
 
Click here to #FindYourPark: http://www.findyourpark.com ",1177634100779388931,2019-09-27,17:20:23,senatorburr,110,5,52
I got 99 problems but socks ain’t one.,1177253969908916224,2019-09-26,16:09:53,senatorburr,27,25,184
My statement on the appointment of Robert C. O'Brien to serve as National Security Advisor: pic.twitter.com/7AhJ9deRU7,1174390668820660225,2019-09-18,18:32:09,senatorburr,257,5,30
"On this day, 232 years ago, our Founders signed the Constitution to protect the American ideals of individual liberty, freedom, and self-government, ensuring our nation would be governed by “We the People.” #ConstitutionDay pic.twitter.com/h7bbOMaRjz",1173962996533682176,2019-09-17,14:12:44,senatorburr,257,74,237
"On Sunday, the Falivenas completed their journey in Atlanta with the @Braves. Larry’s determination to make a difference in the face of his diagnoses is an inspiration. It’s people like him – who refuse to give up the fight - who continue pushing us towards a cure for #ALS pic.twitter.com/8i3spxKoD2",1172539812391346177,2019-09-13,15:57:30,senatorburr,23,13,48
"When Larry Falivena ( @lfchallengeals ) from Apex, NC was diagnosed with ALS, he and his family decided they were going to challenge the disease by embarking on the ""Iron Horse Tour.""

The goal: visit all 30 @MLB ballparks in the country and raise awareness for ALS.",1172539805269417985,2019-09-13,15:57:28,senatorburr,27,12,47
"Touring the damage at the Outer Banks this past weekend, you couldn’t miss all the lineman hard at work getting power restored.
 
Thank you to the first responders, volunteers, and @NCDOT for their incredible efforts helping folks in the aftermath of #HurricaneDorian. pic.twitter.com/u4P2hxMYXK",1172156678269280257,2019-09-12,14:35:04,senatorburr,24,6,54
"I was honored to introduce @UNC_Law Professor Richard Myers at @senjudiciary today.

Nominated to serve as a federal judge for the Eastern District of NC, Prof. Myers is well-regarded, well-qualified, and I have faith in his ability to do the right thing every day in his service. pic.twitter.com/TqQvlundJT",1171822650026536961,2019-09-11,16:27:45,senatorburr,41,8,38
"After the tragedy of #September11th, Americans came together to support their neighbors, serve their country, and defend our freedoms.
 
We will #NeverForget the thousands of innocent lives lost that day, and we will never stop working to keep America safe. pic.twitter.com/GZ2wErToYt",1171765938225594368,2019-09-11,12:42:24,senatorburr,38,34,204
"North Carolinians are encouraged to prepare for #HurricaneDorian and comply with local officials’ recommendations. Follow @NCEmergency, @FEMARegion4, and @RedCrossENC for important safety updates, and click below for additional resources.  https://www.burr.senate.gov/press/releases/hurricane-dorian-resources …",1169261603063238657,2019-09-04,14:51:04,senatorburr,25,7,18
