tweet,id,date,time,username,replies_count,retweets_count,likes_count
"#Wildfire smoke is a leading contributor to Yakima's poor air quality in this @LungAssociation report.

I'm working with the @ForestService to ensure it has the resources needed to combat dangerous fires across Central Washington. https://www.nbcrightnow.com/air-quality/yakima-s-air-quality-recorded-as-the-worst-ever/article_d9b1557c-66f1-11e9-8bbd-d3a36d950ae4.html …",1123346289519816704,2019-04-30,22:00:00,senatorcantwell,5,3,13
Great to join @Tacoma_Chamber today to discuss our important work on #publiclands and #wildfire preparedness – issues critical to Tacoma & Pierce Counties and communities across Washington state. https://twitter.com/Tacoma_Chamber/status/1123300913618272263 …,1123317568960385024,2019-04-30,20:05:53,senatorcantwell,3,2,6
Family planning services are cost-effective and essential to helping women and families have control over their health. I oppose the Trump administration’s actions to undermine Title X. https://www.washingtonpost.com/national/health-science/trump-abortion-gag-rule-blocked-by-federal-judge/2019/04/25/c147359a-67ac-11e9-a1b6-b29b90efa879_story.html?utm_term=.0f490eeb7c6c …,1123255690003279873,2019-04-30,16:00:00,senatorcantwell,8,13,55
"A new report released by the @LungAssociation shows that from 2015-2017, Yakima's air quality was the worst on record due largely to #wildfire smoke. This year I've worked to give additional resources for smoke forecasting and wildfire prevention.

 https://www.nbcrightnow.com/air-quality/yakima-s-air-quality-recorded-as-the-worst-ever/article_d9b1557c-66f1-11e9-8bbd-d3a36d950ae4.html …",1123044297769488384,2019-04-30,02:00:00,senatorcantwell,5,20,45
"The Land & Water Conservation Fund gives local communities the tools needed to manage #publiclands, to provide more access to our lands & waters, and to help us grow jobs. It's time to make sure #LWCF gets fully funded every year. https://www.heraldnet.com/opinion/editorial-protection-of-our-lands-is-up-to-you-and-me/ …",1123016615099023361,2019-04-30,00:10:00,senatorcantwell,1,9,23
"#HolocaustRemembrance Week is a time to recommit ourselves to tolerance & respect in the name of all who were lost. We stand together to ensure that the Holocaust is never forgotten & that such evil is never again perpetrated against any people, anywhere. #WeRemember pic.twitter.com/Z7GJHhER3N",1122984654619934721,2019-04-29,22:03:00,senatorcantwell,13,31,90
"This is a major win for the 81,000 patients in Washington who get affordable family planning services through the Title X program. https://www.seattletimes.com/seattle-news/health/federal-judge-in-yakima-blocks-trump-abortion-rule-that-foes-called-an-outrageous-attack-on-patients/ …",1122940865456922624,2019-04-29,19:09:00,senatorcantwell,8,21,79
We worked very hard to secure funds for #wildfire fuel reduction. Now we want to make sure that money is being used in the best way possible. https://www.columbian.com/news/2019/apr/21/maria-cantwell-defends-funding-to-prevent-wildfires/ …,1122636618798526465,2019-04-28,23:00:02,senatorcantwell,3,6,15
"From @Conserve_WA, @Wilderness, and @MountaineersOrg in the @EverettHerald: ""The passage of the Public Lands Package is worth celebrating!"" https://www.heraldnet.com/opinion/commentary-congress-scores-win-for-our-nations-public-lands/ …",1122621516376678400,2019-04-28,22:00:01,senatorcantwell,0,4,7
"As #NationalParkWeek comes to a close, don’t miss @FtVancouverNPS and the unique ways to experience this park. Go on an evening lantern tour, take a 19th century saber training course, or try your hand at Victorian arts and handcrafts while you #FindYourPark. pic.twitter.com/s4i6c9wL7T",1122546014160936960,2019-04-28,17:00:00,senatorcantwell,2,5,19
"One of Washington’s most treasured landscapes, @MountRainierNPS is an icon in and of itself. Climb its icy peaks, stroll its wildflower meadows, or bike its forested trails while you #FindYourPark this #NationalParkWeek. pic.twitter.com/KLOr2NjXPe",1122168527622942721,2019-04-27,16:00:00,senatorcantwell,11,7,49
