tweet,id,date,time,username,replies_count,retweets_count,likes_count
Wishing a happy and safe #Pride2019 to those celebrating at @OurSeattlePride today!,1145361351449227265,2019-06-30,16:00:00,senatorcantwell,10,4,34
I'm proud to cosponsor the bipartisan #EqualityAct to guarantee federal non-discrimination protections for the #LGBTQ community. I will keep pushing my colleagues to work together to advance equal treatment of all people – no matter who they love. #Pride pic.twitter.com/B14uTqEYtH,1145044261437616128,2019-06-29,19:00:00,senatorcantwell,2,10,38
"We must have adequate funding for rail infrastructure, which is instrumental in making sure passenger and freight trains run safely. pic.twitter.com/zJBR6vlVUg",1144742270710833154,2019-06-28,23:00:00,senatorcantwell,11,16,64
"I’m proud to have introduced a Senate resolution honoring the 50th anniversary of the #Stonewall uprising – commending the bravery, solidarity, and resiliency of the #LGBTQ community in the face of violence & discrimination, both past & present. #Stonewall50",1144704521999921152,2019-06-28,20:30:00,senatorcantwell,4,13,65
"No one in the U.S. should fear being the target of violence because of who they are or who they love.

The #Stonewall uprising empowered thousands of #LGBTQ individuals to emerge from the shadows & come out publicly as they stood up for their community on June 28, 1969 & beyond. pic.twitter.com/ujUipbOutR",1144665391060443138,2019-06-28,17:54:30,senatorcantwell,1,6,20
"When it comes to rail transportation improvements, safety must remain a top priority. We must be aware of the challenges that exist in a busy transportation corridor.

We need to make sure we've learned the lessons from the DuPont accident and stop the next one from happening. pic.twitter.com/G3JD51OP7v",1144661236572774400,2019-06-28,17:38:00,senatorcantwell,3,2,18
"Washington railroads are a gateway to the Pacific, and the challenge of moving people & freight through our region is becoming more and more complex.

We must address these challenges. pic.twitter.com/vBRZtnVahw",1144440280617115648,2019-06-28,03:00:00,senatorcantwell,4,5,14
"Thousands of Washingtonians have benefited from access to trails & outdoor recreation opportunities, as well as clean air & water preservation, which would not have been possible without the Land & Water Conservation Fund. #FundLWCF pic.twitter.com/gkg3dPEfZe",1144412346640547840,2019-06-28,01:09:00,senatorcantwell,0,8,18
"We need to build on proven federal rail initiatives, like the one that recently provided a grant to improve the Pines Road intersection in Spokane Valley, and we also need to consider other ways to help communities with at-grade rail crossings.",1144372334087692288,2019-06-27,22:30:00,senatorcantwell,8,3,14
"Since its creation, the Land & Water Conservation Fund has supported 600+ projects in Washington state, including popular recreation sites such as @OlympicNP, Lake Chelan, and Riverside State Park. #FundLWCF pic.twitter.com/LhXKZq6JZQ",1144336597443207168,2019-06-27,20:08:00,senatorcantwell,2,5,23
"In Spokane Valley, 56 freight and 2 passenger trains pass through Pines Road, creating 3 hours of rail-related closures daily. We must have adequate funding for rail infrastructure, which is instrumental in making sure passenger and freight trains run safely.",1144296835726495744,2019-06-27,17:30:00,senatorcantwell,4,8,41
Wilbur Ross was wrong. Every person must be counted – that’s what the Constitution requires. We need full participation and no communities should feel intimidated or disenfranchised. It is critical to our democracy. https://twitter.com/AP_Politics/status/1144255289501392897 …,1144278090589384705,2019-06-27,16:15:31,senatorcantwell,5,10,58
"I've introduced legislation to make #LWCF funding mandatory and to fully fund the program at the newly authorized level of $900 million a year. Over its history, LWCF has received less than half of its authorized funding levels – a shortfall of $22 billion. #FundLWCF",1144260848489156608,2019-06-27,15:07:00,senatorcantwell,1,6,26
"The #LWCF is our country’s most successful conservation program. It helps support Washington's robust outdoor recreation economy, which is responsible for 201,000 direct jobs, $26.2 billion in annual consumer spending, & $7.6 billion in wages & salaries. #FundLWCF pic.twitter.com/wHhdXaQ5f3",1144070343407099904,2019-06-27,02:30:00,senatorcantwell,1,2,12
"When it comes to rail transportation improvements, safety must remain a top priority. We must be aware of the challenges that exist in a busy transportation corridor. We need to make sure we've learned the lessons from the DuPont accident and stop the next one from happening. pic.twitter.com/jZnI28VqFY",1144055249000267777,2019-06-27,01:30:01,senatorcantwell,1,1,4
We must continue making investments in the Land & Water Conservation Fund and taking care of the backlog in maintenance on our public lands. #FundLWCF,1144040144686735360,2019-06-27,00:30:00,senatorcantwell,2,8,25
I'm a big supporter of @Amtrak funding and reauthorization. This is so important to the state of Washington.,1144025045863321601,2019-06-26,23:30:00,senatorcantwell,4,6,44
"The Lewis & Clark National Historical Park in Pacific County, the Okanogan-Wenatchee National Forest, and DeWatto Headwaters Forest could all benefit from the full and mandatory funding of the Land & Water Conservation Fund. #FundLWCF pic.twitter.com/wI72SvxHRb",1144009949669756929,2019-06-26,22:30:01,senatorcantwell,1,3,17
"Washington railroads are a gateway to the Pacific, and the challenge of moving people & freight through our region is becoming more and more complex. We must address these challenges as our trade economy continues to grow.",1143994845804916736,2019-06-26,21:30:00,senatorcantwell,1,7,19
"Climate is impacting our public lands. And if we don't have all the tools to best deal with that, then we're going to be challenged. #FundLWCF ➡️ https://youtu.be/TDAe09XoODc ",1143979746042105856,2019-06-26,20:30:00,senatorcantwell,3,5,10
"We live in an era of increasing global commerce, and in Washington, we're seeing more #trains than ever before. Our trade economy relies on these methods of transportation to our ports.",1143964647474835457,2019-06-26,19:30:00,senatorcantwell,4,2,4
