tweet,id,date,time,username,replies_count,retweets_count,likes_count
Something to look forward to in 2020: The 100th anniversary of women’s suffrage. A great way to honor this milestone in US history would be to pass the #EqualityRightsAmendment to further the mission of gender equality for women in our Constitution #eranow https://www.cnn.com/videos/politics/2019/12/19/equal-rights-amendment-2020-election-explainer-emg-orig.cnn …,1212049607414439936,2019-12-31,16:35:19,senatorcardin,7,12,30
"This time last year, the 35-day Trump shutdown left 380,000 federal workers furloughed without pay. That’s why it was one of my top priorities to ensure the FY20 budget passed on time and that federal workers & agencies got the support they deserve. https://www.cardin.senate.gov/newsroom/press/release/cardin-calls-fy2020-appropriations-a-win-for-federal-workers-and-federal-agencies-in-maryland …",1210613732876967936,2019-12-27,17:29:40,senatorcardin,25,10,45
"Wishing a safe and joyous holiday to all who celebrate. I send well wishes to the men and women in uniform celebrating abroad, to caregivers, and public safety officials who sacrifice time with their loved ones this season in service to others. #MerryChristmas",1209880456516243458,2019-12-25,16:55:53,senatorcardin,8,4,38
The avg age of Holocaust survivors is 85 yrs old. Preserving their stories & our history is essential as we combat hate & anti-Semitism at home & abroad. Proud to include assistance for survivors & support for Holocaust education in the FY20 spending bill https://www.cardin.senate.gov/newsroom/press/release/never-again-cardin-says-spending-package-elevates-holocaust-education-supports-holocaust-survivors-and-expands-program-to-protect-synagogues-and-houses-of-worship-from-terrorism …,1209226894807310336,2019-12-23,21:38:52,senatorcardin,5,12,59
"Smaller tax refunds.
Higher tax bills.
$2 trillion added to the debt.

The #GOPTaxScam signed into law 2 years ago today was a win for the wealthy and big corporations, while hard-working Americans foot the bill. https://www.npr.org/2019/12/20/789540931/2-years-later-trump-tax-cuts-have-failed-to-deliver-on-gops-promises?utm_source=dlvr.it&utm_medium=twitter …",1208821624834797568,2019-12-22,18:48:28,senatorcardin,20,28,57
"Conditions in Mali worsen with continued violence by extremists & criminal actors.

Today’s @USTreasury sanctions against 5 terrorists & traffickers – paired with UN sanctions – show that the US will hold enemies of peace and security accountable. https://twitter.com/USTreasury/status/1208047783061708801 …",1208149196467032065,2019-12-20,22:16:29,senatorcardin,2,4,13
"On Dec. 5th, the SFRC Western Hemisphere Subcommittee held a hearing on illicit mining. I applaud DRC for adopting a new mining code to strengthen transparency & human rights protections. My colleagues & I urge Pres. Tshisekedi to uphold this commitment to the Congolese people. https://twitter.com/SenatorDurbin/status/1208108369082494979 …",1208127094653378561,2019-12-20,20:48:39,senatorcardin,1,5,15
"2020 health care enrollment in Maryland reached a 4-year high with premiums down 10%.

Though the courts ruled against the ACA this week, threatening this progress & continuing Republican attempts to sabotage care, we will continue to fight to #ProtectOurCare.

#FridayMotivation https://twitter.com/BaltSunHealth/status/1206973890049785862 …",1208081745410695173,2019-12-20,17:48:27,senatorcardin,3,14,36
"Today we passed spending bills to avert another shutdown and invest in health, gun safety, #2020Census & more 

There’s much more to accomplish - especially on energy efficiency & tax. But I’m proud to have helped secure these priorities for Marylanders: https://www.cardin.senate.gov/newsroom/press/release/cardin-cheers-full-year-appropriations-bills-jeers-disappointing-energy-tax-extenders …",1207789844837085186,2019-12-19,22:28:33,senatorcardin,5,3,11
"Read more about the FY20 wins for the Chesapeake Bay Program. @POTUS consistently threatens to cut funds for this program. With $85 million secured, we can continue to invest in the preservation of our environment, clean water & jobs in the Bay watershed https://www.cardin.senate.gov/newsroom/press/release/cardin-van-hollen-announce-historic-funding-for-chesapeake-bay-program-in-funding-deal- …",1207781447018434560,2019-12-19,21:55:11,senatorcardin,2,4,27
