tweet,id,date,time,username,replies_count,retweets_count,likes_count
I sent a letter to FEMA asking them to explain more about how they allowed these significantly marked-up prices. https://www.enzi.senate.gov/public/index.cfm/2018/11/enzi-concerned-with-excessive-markups-on-fema-hurricane-relief-funds …,1068254961891491842,2018-11-29,21:26:44,senatorenzi,8,10,11
"Apparently FEMA paid $3,700 for generators that cost contractors $800, $666 for new bathroom sinks that cost contractors $260 to buy and install, and other overly marked-up prices for items such as doors and roofing materials.",1068254959458807809,2018-11-29,21:26:44,senatorenzi,1,10,12
"I am troubled that after Hurricane Maria devastated Puerto Rico, FEMA reportedly provided $3 billion in housing assistance, but more than 60 percent was used to pay contractors’ overhead and markups rather than actual home repairs.",1068254957370032128,2018-11-29,21:26:43,senatorenzi,10,14,14
"As one of the original architects of @PEPFAR 15 years ago, I’m pleased the Senate passed legislation last night to reauthorize the program. Because of #PEPFAR, 14 million people who otherwise wouldn’t are now receiving HIV treatment.",1068198410392616967,2018-11-29,17:42:01,senatorenzi,3,14,22
I signed a letter led by @senJonKyl urging @realDonaldTrump to consider the key factors that underpin the continued viability of the New Strategic Arms Reduction Treaty. This includes the continued modernization of our nuclear weapons program. https://www.enzi.senate.gov/public/index.cfm/2018/11/wyo-senators-urge-president-trump-to-consider-key-factors-in-review-of-u-s-russian-nuclear-treaty …,1068181805499592710,2018-11-29,16:36:02,senatorenzi,3,6,3
"I was honored to receive a U.S. National Mammal Champion award in recognition of my legislative work to help promote the American bison, one of the most powerful symbols of the American West. pic.twitter.com/UEgazwYQJO",1067489847387062272,2018-11-27,18:46:27,senatorenzi,7,5,16
"Wyoming is a major exporter of soda ash to Japan, used to make glass and detergent, but Japan currently has a 3.3% tariff on U.S. soda ash. Eliminating the tariff would help support the more than 20,000 well-paying direct and indirect jobs the industry supports in America.",1067202090873876480,2018-11-26,23:43:00,senatorenzi,4,4,12
I led a bicameral letter urging @USTradeRep Robert Lighthizer to prioritize eliminating the Japanese tariff on U.S. natural soda ash during the U.S.-Japan trade agreement negotiations. https://www.enzi.senate.gov/public/index.cfm/news-releases?ID=8368135D-29B5-4F7D-BF9A-3BFB24CE11E3&fbclid=IwAR3r3ScR8Bo1OyFezAO4Rn_AwlrRomggiulAc7snEotH9Gli5KRr9AirqS4 …,1067202088877375488,2018-11-26,23:43:00,senatorenzi,2,4,8
"Today is #SmallBusinessSaturday! Small businesses play a key role in helping support our communities and keeping them vibrant. When it comes to your Christmas shopping this year, don’t forget to visit your favorite small businesses. #ShopSmal pic.twitter.com/0FRv6sIgFy",1066351959739957253,2018-11-24,15:24:53,senatorenzi,9,8,20
This time of year reminds us of all we have been blessed to receive for which we are truly grateful – for the blessing of each other; for our nation’s veterans and those currently serving; for our first responders; and for those all over Wyoming. Happy Thanksgiving! pic.twitter.com/IbYxa4xbJf,1065628795938529280,2018-11-22,15:31:18,senatorenzi,3,4,18
I was honored to be chosen as a congressional honoree for the Autism Awareness Gala for my work on legislation to help those with autism and their families. https://www.enzi.senate.gov/public/index.cfm/2018/11/enzi-chosen-as-congressional-honoree-for-dedication-to-work-on-autism-legislation …,1064963328013942790,2018-11-20,19:26:58,senatorenzi,13,4,19
Every child deserves to grow up in a loving family. I am proud to once again cosponsor a Senate resolution to support #NationalAdoptionDay and #NationalAdoptionMonth. pic.twitter.com/TsQ8Qdk1CU,1063802438065561601,2018-11-17,14:34:00,senatorenzi,9,27,52
"I was proud to sponsor legislation w/ @SenJohnBarrasso that reauthorized the Congressional Awards program earlier this year, and I look forward to seeing this important program continue to grow in the years to come.",1063493679082557442,2018-11-16,18:07:06,senatorenzi,6,5,8
"The Congressional Award is celebrating its 39th anniversary today! Since 1979, @theaward has helped young people across the country prepare for their futures and enrich their communities. #CAF39 pic.twitter.com/uiQeBNQGGP",1063493676071030793,2018-11-16,18:07:05,senatorenzi,3,5,8
"I doubt that any other state has that much clout. It’s really something for one state to be in this position, but we’ve earned it.",1062832626996858881,2018-11-14,22:20:19,senatorenzi,9,3,5
"This will help our state’s voice to be heard through the noise. I'm confident they will serve the Cowboy State, our conferences & the country well. These choices, first by the people of Wyoming and then by other members of Congress, make a strong Wyoming delegation even stronger.",1062832624509575168,2018-11-14,22:20:18,senatorenzi,1,4,8
Congrats to my friends and colleagues @SenJohnBarrasso and @RepLizCheney on being elected chairman of the Senate Republican Conference and chair of the House Republican Conference. It is wonderful to have them both representing Wyoming in these leadership positions.,1062832621590376449,2018-11-14,22:20:18,senatorenzi,4,8,19
