tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Grizzly bears in Yellowstone region should be delisted. Unfortunately, a judge relisted them in the face of wildlife management experts & scientific evidence. This new bill would delist them again & stop further frivolous litigation. https://www.enzi.senate.gov/public/index.cfm/news-releases?ID=EBE8AB51-3729-49A8-B142-DC344E2F190F …",1101224269403480064,2019-02-28,20:55:00,senatorenzi,13,5,19
I intro’d legislation w/ @RepLizCheney that would direct the Department of the Interior to reissue its delisting of the grizzly bear in the Greater Yellowstone Ecosystem and prohibit further judicial review on this issue.  https://www.enzi.senate.gov/public/index.cfm/news-releases?ID=EBE8AB51-3729-49A8-B142-DC344E2F190F …,1101208263302045702,2019-02-28,19:51:24,senatorenzi,5,3,8
"It’s clear that under the Endangered Species Act grizzly bears in the Yellowstone region are fully recovered, that they should be delisted and management returned to the states.",1101208261766852615,2019-02-28,19:51:23,senatorenzi,1,7,13
"I’m accepting applications for eligible high school students to serve as U.S. Senate pages in Washington, D.C.! This is a great opportunity for young people and provides experiences that participants will carry with them for the rest of their lives. https://www.enzi.senate.gov/public/index.cfm/2019/2/u-s-senate-pages-wanted-for-summer-and-fall …",1100807502386679808,2019-02-27,17:18:55,senatorenzi,6,3,2
The effective use of E-Verify would dramatically improve our ability to ensure that businesses are hiring legal workers. Our bill would expand the E-Verify program to all U.S. employers and should be a key part of immigration reform. https://www.enzi.senate.gov/public/index.cfm/2019/2/enzi-joins-effort-to-help-businesses-comply-with-worker-eligibility-laws …,1100502011827630085,2019-02-26,21:05:00,senatorenzi,13,4,17
Joined Sen. @ChuckGrassley today in introducing legislation to help businesses comply with immigration laws by certifying the legal status of their workforce.  https://www.enzi.senate.gov/public/index.cfm/2019/2/enzi-joins-effort-to-help-businesses-comply-with-worker-eligibility-laws …,1100475297080709125,2019-02-26,19:18:51,senatorenzi,6,5,8
"This common-sense legislation would ensure that if you’re traveling from point A to point C with a knife that is legal in both locations, you should not have to worry about going through point B. https://www.enzi.senate.gov/public/index.cfm/2019/2/enzi-wyden-introduce-bill-to-protect-law-abiding-knife-owners …",1100184921421869058,2019-02-26,00:05:00,senatorenzi,2,2,9
Intro’d a bill w/ @RonWyden today to ensure that those traveling with a properly secured knife are not prosecuted under local or state laws which ban certain knives.  https://www.enzi.senate.gov/public/index.cfm/news-releases?ID=67702854-8D32-4956-9810-B21FE99AA2B8 …,1100168331938664448,2019-02-25,22:59:05,senatorenzi,9,2,14
".@WyomingFFA and @NationalFFA are helping develop the agricultural leaders we need for the future. I am proud to cosponsor a bipartisan Senate resolution designating Feb 16-23, 2019 as National FFA Week. https://www.enzi.senate.gov/public/index.cfm/2019/2/enzi-applauds-senate-passage-of-national-ffa-week-resolution …",1098630598191693824,2019-02-21,17:08:40,senatorenzi,8,5,12
"When an animal is categorized as an endangered species,  states & communities are most impacted but they can’t verify, dispute or complement the info. WY has some of the richest wildlife habitat in the world - we should encourage an open process that uses the best data available.",1096134306345467904,2019-02-14,19:49:18,senatorenzi,23,2,8
Introduced legislation w/ @SenatorRisch and @SenPatRoberts that would require the federal government to disclose the data it uses for Endangered Species Act listings. https://www.enzi.senate.gov/public/index.cfm/2019/2/states-deserve-a-seat-at-the-table-when-listing-species-as-endangered …,1096134303954714625,2019-02-14,19:49:17,senatorenzi,35,7,15
"If you travel w/ a bow for hunting, you shouldn't have to worry that a shortcut through a nat'l park could find you in legal jeopardy. The Senate passed a bill that included language to allow bows & archery equipment to be transported across federal land. https://www.enzi.senate.gov/public/index.cfm/2019/2/senate-acts-to-protect-bow-owners-traveling-through-national-parks …",1095448905217699847,2019-02-12,22:25:46,senatorenzi,10,4,9
Closing an IRS office at any time creates problems for taxpayers in Wyoming. But it is particularly burdensome when it occurs during the filing season – and the first one after our comprehensive tax reform – when folks continue to learn how to comply with new tax changes.,1095050055441149952,2019-02-11,20:00:52,senatorenzi,12,2,3
I’m troubled by the recent closure of the IRS taxpayer assistance center in Cheyenne. I sent a letter requesting it be reopened as quickly as possible. https://www.enzi.senate.gov/public/index.cfm/2019/2/enzi-asks-irs-to-reopen-taxpayer-assistance-center-in-cheyenne …,1095050052979052545,2019-02-11,20:00:52,senatorenzi,6,3,2
"I cosponsored @SenatorMenendez’s legislation to reauthorize programs that promote autism spectrum disorder research, education & supports. It’s important to improve understanding of causes and symptoms and find solutions to improve lives of those affected. https://www.enzi.senate.gov/public/index.cfm/2019/2/enzi-cosponsors-legislation-to-extend-programs-that-assist-with-autism-spectrum-disorder …",1093947418176114693,2019-02-08,18:59:23,senatorenzi,8,6,18
"It would provide new opportunities for American businesses, farmers and ranchers. We need to open dialogue and the exchange of ideas and commerce that would help move Cuba forward. It is time to work toward positive change. https://bit.ly/2RMqDYg ",1093918958938411008,2019-02-08,17:06:18,senatorenzi,3,8,17
History has shown that the Cuba trade embargo has not been very effective. I reintroduced legislation w/ @SenAmyKlobuchar and @SenatorLeahy to lift the embargo. This bipartisan legislation would benefit the people in America and in Cuba.,1093918957021683713,2019-02-08,17:06:18,senatorenzi,7,36,52
"It’s not bad to point out disagreements, but for those of us in a good position to get something done I think we should focus on the parts of what @realdonaldtrump said where we can agree. My full #SOTU statement here: https://www.enzi.senate.gov/public/index.cfm/2019/2/enzi-statement-on-president-trump-s-state-of-the-union-address …",1093001782421266433,2019-02-06,04:21:46,senatorenzi,9,6,11
Tonight’s State of the Union address was about choices. People will have to choose on what they want to focus. Some will focus on conflict. pic.twitter.com/M4N0zUChxA,1093001778914869250,2019-02-06,04:21:45,senatorenzi,43,27,125
Unfortunately many of us have this in common – we or a family member have battled cancer. My wife Diana is a cancer survivor. Today is #WorldCancerDay. Here are 7 tips we can take to help reduce the risk of cancer. Learn more from @PreventCancer here:  https://preventcancer.org/education/seven-steps-to-prevent-cancer/ … pic.twitter.com/HnhkrxPc5p,1092548697391542273,2019-02-04,22:21:22,senatorenzi,13,5,10
"Over the weekend, I had the opportunity to meet with Darwin “Joe” Brown from Gillette. Joe carved this impressive and intricate walking stick and bison. pic.twitter.com/efIoGOFqLG",1092538621461254146,2019-02-04,21:41:20,senatorenzi,4,2,20
