tweet,id,date,time,username,replies_count,retweets_count,likes_count
".@GOPHELP passed two measures today that @SenBobCasey and I introduced to bring new over-the-counter drugs to patients more quickly, to combat infant mortality and to protect our youngest and most innocent lives.  https://www.isakson.senate.gov/public/index.cfm/2019/10/isakson-casey-applaud-committee-passage-of-bipartisan-health-measures …",1190008345786306560,2019-10-31,20:51:13,senatorisakson,11,2,16
"This week, my staff joined @cobbcountygovt, @koreanatlanta and @gavetsvc in recognizing 167 Georgia veterans of the Korean War in a ceremony that paid tribute to their loyal and brave service during the war and related peacekeeping operations. pic.twitter.com/SZDXBxXJVz",1189926613812699136,2019-10-31,15:26:27,senatorisakson,7,9,16
Dr. @CabreraAngel was formally invested as @GeorgiaTech’s 12th president this week. I look forward to seeing this accomplished alumnus provide leadership and inspiration to take this already outstanding institution to even greater heights. https://twitter.com/GeorgiaTech/status/1189191541333430278 …,1189643140073955335,2019-10-30,20:40:01,senatorisakson,5,2,28
"Today, @SenBobCasey & I reintroduced legislation to overhaul & modernize our woefully outdated over-the-counter drug approval process. This legislation will bring new medications to the market faster, ensure they are safe & effective, & benefit consumers.  https://www.isakson.senate.gov/public/index.cfm/2019/10/isakson-casey-reintroduce-over-the-counter-drug-reform …",1189605367208128513,2019-10-30,18:09:55,senatorisakson,12,10,53
"We are so sorry for your loss, and we’re sending prayers for you and your family.",1189585166240571392,2019-10-30,16:49:39,senatorisakson,0,4,43
"ICYMI – the “p’s” of Georgia agriculture remain leaders nationwide: poultry, peanuts, pecans and peaches. I’m proud to work in the Senate for our farmers and producers, including as co-chair of the Senate Chicken Caucus! #GeorgiaGrown https://twitter.com/GaDeptAg/status/1188822594188926977 …",1189583159970676739,2019-10-30,16:41:41,senatorisakson,9,5,28
"On Tuesday, Oct. 29, the @VVMF #TheWallThatHeals will travel through Savannah, Ga., and be on display in Pooler, Ga., from Oct. 31 through Nov. 3. 
More on the visit:  https://donate.vvmf.org/page/signup/the-wall-that-heals---pooler-ga …
 https://twitter.com/cityofsavannah/status/1188818002101358592?s=20 … https://twitter.com/cityofsavannah/status/1188818002101358592 …",1188932506889998341,2019-10-28,21:36:13,senatorisakson,8,3,15
"Very sorry to learn that former N.C. Senator Kay Hagan has died. I’ve always had a high respect for her and her work on many issues affecting the Southeast. I appreciate her service to the country, and my prayers are with Chip, her family and all those who loved her.",1188913370977710080,2019-10-28,20:20:11,senatorisakson,2,2,70
The best way to secure peace is to counter violent radicalism with superior force. I am grateful to our U.S. special operations forces who risked their lives to carry out yesterday's heroic mission to root out and eliminate the oppressive leader of ISIS.  https://www.isakson.senate.gov/public/index.cfm/news-releases?ID=9595F160-BD27-4DBE-BCE5-68350E198271 …,1188488723811491840,2019-10-27,16:12:47,senatorisakson,25,17,76
"Today, Oct. 26, is National Prescription Drug #TakeBackDay, and you can be part of the effort! Find drop-off sites for expired or unused medications and other resources at @Georgia_AG’s  http://DoseOfRealityGa.org  website here:  https://doseofrealityga.org/drug-takeback/find-a-take-back-location/ …. pic.twitter.com/O5qyjMYTy3",1188119529043439616,2019-10-26,15:45:44,senatorisakson,6,9,14
