tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Thanks to James Hughes, @EmoryMedicine professor emeritus & former president of @IDSAInfo, for supporting the bipartisan legislation I introduced with @SenBobCasey to help fight drug-resistant infections:  https://www.albanyherald.com/opinion/james-hughes-legislation-vital-in-battle-against-superbugs/article_5e488da6-e126-11e9-ba4f-ab6a7ba197bb.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @Albany_Herald",1178727088058175488,2019-09-30,17:43:32,senatorisakson,11,18,35
"The problem of mass violence is growing, and we need answers. It’s time we diagnose the problems to prevent these attacks. Legislation I introduced last week would help:  https://www.wsav.com/news/proposal-to-have-cdc-research-mass-violence/ … via @WSAV",1178692720942080001,2019-09-30,15:26:58,senatorisakson,47,10,37
"Today marks the beginning of Rosh Hashanah. To all who celebrate, Dianne and I wish you a holiday filled with family, food and fellowship. pic.twitter.com/jpIx3M9wDI",1178399045452124163,2019-09-29,20:00:00,senatorisakson,6,12,48
"On #GoldStarMothersDay, we honor the mothers and families of our fallen service members. As a nation, we are grateful for their sacrifice and offer our unwavering support to those grieving. pic.twitter.com/VQHSQwuWrf",1178312490922455040,2019-09-29,14:16:04,senatorisakson,32,37,133
"This week, I introduced legislation to research & prevent mass violence. We confirmed Eugene Scalia to be @USDOL secretary, and we passed a @DeptVetAffairs reauthorization for four programs & services, including veterans homelessness prevention. More:  https://www.isakson.senate.gov/public/index.cfm/2019/9/protecting-all-americans …",1177686291644854275,2019-09-27,20:47:46,senatorisakson,37,6,34
I was more than happy to talk with them and listen to their thoughts and great questions! I look forward to seeing these students as they take their next steps and make a positive impact. https://twitter.com/ProfJoeWatson/status/1177315709359198210 …,1177635146809380865,2019-09-27,17:24:33,senatorisakson,14,4,31
"Spoke today via teleconference with @universityofga students in @AppliedPolitics, which combines work in @UGA_SPIA & @UGAGrady to develop knowledge, provide information & hone skills in the area of applied politics & public affairs communications. Sharp students, great questions! pic.twitter.com/JKW75qDnH9",1177313162686849025,2019-09-26,20:05:06,senatorisakson,14,11,57
"The Senate just voted to confirm Eugene Scalia to be @USDOL secretary. As the former @USDOL solicitor, a skilled attorney & dedicated public servant, I am confident that Scalia will work every day to help our 21st century workforce continue to thrive:  https://www.isakson.senate.gov/public/index.cfm/2019/9/isakson-applauds-senate-approval-of-scalia-to-lead-department-of-labor … pic.twitter.com/l0fovyRZkg",1177292618339954688,2019-09-26,18:43:27,senatorisakson,50,37,145
Congratulations to our @GeorgiaGuard on being honored for your outstanding work with operation #AtlanticResolve in the country of Georgia. Thank you for your service. #NationalGuard #StrongerTogether https://twitter.com/usareurdcg_arng/status/1176507907590041600 …,1177246676286918663,2019-09-26,15:40:54,senatorisakson,5,4,23
".@CDCgov’s Dr. Robert Redfield says, “combining CDC’s scientific expertise with expanded data gathering capabilities could help communities across the nation better understand and develop ways to prevent violence in all forms.”",1177204883075817473,2019-09-26,12:54:50,senatorisakson,4,3,4
Introducing legislation today that aims to get to the root of the alarming increase in deadly mass violence and what kinds of interventions will actually be effective in preventing it. Congress has the opportunity to do the right thing:  https://www.isakson.senate.gov/public/index.cfm/2019/9/isakson-introduces-legislation-to-research-prevent-deadly-acts-of-mass-violence …,1177204881381298176,2019-09-26,12:54:49,senatorisakson,23,6,21
"The success of our @GaPorts is thanks to many years of hard work and smart investment, and there’s still more room for growth. Healthy ports mean jobs. Thanks to everyone who has worked to make our ports a success and keep them thriving. https://twitter.com/GaPorts/status/1176486657140383744 …",1176852919943147527,2019-09-25,13:36:15,senatorisakson,22,7,30
The ongoing Ebola outbreak in the Democratic Republic of the Congo is a matter of national concern. Pleased that the Senate yesterday passed our bipartisan “Ebola Eradication Act” to improve the ability of U.S. agencies like @USAID and @CDCgov to respond. https://twitter.com/SecAzar/status/1172230134897762305 …,1176500575913033730,2019-09-24,14:16:10,senatorisakson,11,5,20
"My wife Dianne and I were proud to participate in the keel laying ceremony for the @USNavy’s new ship, the USS Savannah, today in Mobile, Ala. Dianne is the ship’s sponsor, and this ceremony marks the official beginning of the ship’s construction.  https://www.isakson.senate.gov/public/index.cfm/2019/9/senator-mrs-isakson-participate-in-keel-laying-ceremony-for-future-navy-combat-ship … pic.twitter.com/j4NkMyEWEx",1175128652264198145,2019-09-20,19:24:38,senatorisakson,21,3,37
"I’m glad to support the @RallyFoundation, and I thank the @ATLairport for joining forces to light up the North and South Terminals gold this weekend during Childhood Cancer Awareness Month. #GoldStrong https://twitter.com/RallyFoundation/status/1175126339344576513 …",1175127656012156929,2019-09-20,19:20:40,senatorisakson,8,3,17
"Thank you, @RepRickAllen! I’ve been proud to serve with you to represent GA-12 and all of our great state. I’ve always appreciated how well our delegation comes together to look out for Georgia. https://twitter.com/RepRickAllen/status/1174750174503231493 …",1175067886873980931,2019-09-20,15:23:10,senatorisakson,11,4,19
