tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Have you picked up your phone, expecting to hear a real person, but got a robocall? You’re not alone—Americans received 26.3 billion robocalls last year. To protect yourself from these annoying & often dangerous scams, you have to outsmart them. Learn how:  https://www.consumer.ftc.gov/articles/0259-robocalls … pic.twitter.com/wNSoAUpJf5",1091115185438408704,2019-01-31,23:25:06,senatormenendez,18,28,55
Trump's plan to bring back factory work doesn’t seem to be working that well. #ArtoftheDeal? https://www.nytimes.com/2019/01/30/business/foxconn-factory-wisconsin.html …,1091096305290698752,2019-01-31,22:10:05,senatormenendez,36,23,37
La valentía de estos ex-trabajadores indocumentados de @TrumpBedminster y @TrumpNationalNY es ejemplar. La hipocresía del Presidente Trump no tiene límites. https://eldiariony.com/2019/01/30/senador-menendez-se-reune-con-inmigrantes-despedidos-de-campos-de-golf-de-trump/ …,1091019580351410177,2019-01-31,17:05:12,senatormenendez,3,9,17
Thanks to all our first responders braving the dangerous cold to keep us all safe. Be careful out there. https://www.northjersey.com/story/news/bergen/elmwood-park/2019/01/30/marcal-paper-mill-elmwood-park-nj-fire/2726721002/ …,1091001944200671239,2019-01-31,15:55:07,senatormenendez,2,8,32
"“A life is not important except in the impact it has on other lives.”

Today would have been the 100th birthday of a true legend, Jackie Robinson. He continues to inspire us every day to break barriers. ⚾️ #JR100",1090993136065802240,2019-01-31,15:20:07,senatormenendez,4,10,49
"20% of the US economy hinges on the functionality of a rail bridge in Kearny & a trans-Hudson tunnel. Our crumbling #infrastructure must be fixed, not just for NJans, but for the entire nation. It’s time the Admin step up & provide funding for #Gateway. We deserve better. 🚊 https://twitter.com/NJ_Politics/status/1089978441494073346 …",1090977378363428865,2019-01-31,14:17:31,senatormenendez,61,40,114
As if you needed another sign that climate change is real: “Wind chill temperatures…could make it feel like 50 to 60 degrees below zero. That would be colder than Antarctica.” 🥶 #PolarVortex #SnowSquall https://www.northjersey.com/story/news/nation/2019/01/29/cold-weather-polar-vortex-drive-record-smashing-cold-across-nation/2708083002/ …,1090739004121800705,2019-01-30,22:30:18,senatormenendez,33,31,74
"TOMORROW: My staff will be in Toms River to speak with residents and answer your questions on Veterans Affairs, Social Security, the IRS, Medicare, and more. Swing by @oceancountylib between 12:00 PM and 2:00 PM! pic.twitter.com/hOT4V9HxTl",1090731474582687744,2019-01-30,22:00:23,senatormenendez,4,5,8
"This new information about the President’s unprecedented secrecy around his meetings with Putin is deeply disturbing.

Does anyone in the U.S. government know what they discussed?

Does anyone have notes other than President Putin’s translator? https://twitter.com/FinancialTimes/status/1090557757030387712 …",1090720524349685767,2019-01-30,21:16:52,senatormenendez,28,36,61
"It’s always great to host @BlueWave_NJ in DC. We are rolling up our sleeves and will continue to fight for #Gateway, green energy, lower healthcare costs, affordable college, and more. I appreciate your advocacy on important progressive issues. Thanks for stopping by! pic.twitter.com/ULBPrZc3v6",1090716336572022808,2019-01-30,21:00:13,senatormenendez,10,10,25
Tuve la oportunidad de conversar hoy con el Presidente Encargado de #Venezuela @jguaido. Seguiremos trabajando para apoyarlo en su lucha por restituir la democracia de una forma institucional.,1090703598537895939,2019-01-30,20:09:36,senatormenendez,2,11,9
"This week, I had the opportunity to speak with #Venezuela's Interim President @jguaido & reassure him of our support for his work of restoring democracy to Venezuela. The U.S. must stand with the Venezuelan people eager to liberate themselves of Maduro's criminal dictatorship.",1090703597732540416,2019-01-30,20:09:36,senatormenendez,2,17,36
"My mother worked as a seamstress & rose to the manager job—without the title nor salary—making less than the male coworkers she supervised. I fight for #EqualPay b/c it’s what my mom deserved, my daughter deserves, and my granddaughter will deserve. https://www.menendez.senate.gov/news-and-events/press/menendez-colleagues-introduce-bill-to-close-gender-wage-gap …",1090697984432619520,2019-01-30,19:47:18,senatormenendez,11,24,63
And for women of color—that gap is worse. Much worse. African American women earn 61 cents and Latinas make only 53 cents compared to white men. It’s 2019. Isn’t it about time we close the #WageGap and pay women what they deserve?,1090692414644326401,2019-01-30,19:25:10,senatormenendez,6,11,28
The same jobs. The same hard work. It’s disgraceful that in 2019 the wage gap still exists. Let’s pass the #PaycheckFairnessAct so we can ensure women across America receive #EqualPay for equal work. https://twitter.com/PattyMurray/status/1090618426463260672 …,1090684036215910401,2019-01-30,18:51:52,senatormenendez,22,33,76
Putin renews crackdown on Russian civil society. We cannot forget those struggling under the Kremlin’s autocracy. Thank you @vkaramurza for bringing this to light. https://www.washingtonpost.com/amphtml/opinions/2019/01/25/kremlin-deploys-its-new-law-against-undesirables/ …,1090671055860101120,2019-01-30,18:00:18,senatormenendez,8,34,49
