tweet,id,date,time,username,replies_count,retweets_count,likes_count
Enjoyed meeting with William Barr this week - he will do well as Attorney General and I look forward to supporting him. pic.twitter.com/kzKM8KuHZG,1090740369699061760,2019-01-30,22:35:43,senatorrisch,22,7,37
 pic.twitter.com/C9gNQK6Gr1,1090729126913294336,2019-01-30,21:51:03,senatorrisch,3,8,19
"The United States stands squarely behind Interim President Juan Guaido. Today, w/ members of his administration, my colleagues & I committed our full support to see that the transition is accomplished as smoothly as possible. We are ready to assist in any way we can. pic.twitter.com/oedfnNMhDN",1090728143776825344,2019-01-30,21:47:08,senatorrisch,27,67,198
I applaud @TheJusticeDept & @USTreasury on their action on Huawei. (2/2),1090307561549647873,2019-01-29,17:55:54,senatorrisch,10,5,22
I hope China will take notice: its illicit behavior has consequences. We will not sit idly by while China conducts covert & overt theft of American ideas & property. I will keep fighting until Idaho’s #Micron sees justice for brazen IP theft. (1/2) https://www.cbsnews.com/news/huawei-indictment-charges-fraud-selling-trade-secrets-today-us-justice-department-china-company-t-mobile-2018-01-28-updated/ …,1090307560576634885,2019-01-29,17:55:54,senatorrisch,39,14,48
I have consistently co-sponsored legislation to permanently end government shutdowns. Read about it here: https://www.risch.senate.gov/public/index.cfm/pressreleases?ID=7BE9B3C8-13C1-4FA6-8E49-F043215D7342 …,1088904687867346945,2019-01-25,21:01:23,senatorrisch,5,0,3
"Government shutdowns are never the answer, so I will of course support the President's proposal to open the government while negotiations continue, but over the next 3 weeks I will continue to advocate for sufficient security measures & a wall along our southern border.",1088898420692135936,2019-01-25,20:36:28,senatorrisch,138,32,161
Risch Column: A Continued Voice for Idaho Small Businesses https://www.risch.senate.gov/public/index.cfm/editorials?ID=B9DB5FCA-4325-486F-96EB-CFB88E374A80 …,1087811673476468736,2019-01-22,20:38:08,senatorrisch,35,5,15
"Thank you for the kind words, Mr. President. @realDonaldTrump https://twitter.com/realDonaldTrump/status/1087147220971995138 …",1087389202378092546,2019-01-21,16:39:23,senatorrisch,38,6,53
Proud to stand with hundreds of thousands of #ProLife Americans today as they March for Life. https://twitter.com/MikeCrapo/status/1086301291020570624 …,1086307353245503488,2019-01-18,17:00:30,senatorrisch,36,24,99
"""Idaho National Laboratory to benefit from nuclear innovation legislation signed into law by president"" via @IdahoStateJ https://www.idahostatejournal.com/news/local/idaho-national-laboratory-to-benefit-from-nuclear-innovation-legislation-signed/article_5254e2fb-efc1-53f0-9a35-09ec2c7647d8.html …",1085606523492093952,2019-01-16,18:35:39,senatorrisch,21,4,23
"Crapo, Risch introduce Senate bill to give Idaho a third U.S. district judge via @TheIdahoPress. https://www.idahopress.com/eyeonboise/crapo-risch-introduce-senate-bill-to-give-idaho-a-third/article_350dd09e-1778-5049-b4b3-eaa4d7653839.html …",1083843005436571649,2019-01-11,21:48:03,senatorrisch,4,1,6
Shutting down the government is the complete opposite of what we were elected to do - govern. I have cosponsored @senrobportman's 'End Government Shutdowns' bill year after year & hope we can finally move it forward.  https://www.risch.senate.gov/public/index.cfm/pressreleases?ID=7BE9B3C8-13C1-4FA6-8E49-F043215D7342 …,1083840397699440645,2019-01-11,21:37:42,senatorrisch,49,17,30
Met w/ some soon-to-be Eagle Scouts today who are working on their “Citizenship in the Nation” merit badge. #Idaho should be proud of these future leaders! pic.twitter.com/uo3yHPvwbC,1083795772251037701,2019-01-11,18:40:22,senatorrisch,9,7,25
I’m leaving @smallbizcmte in good hands w/ @marcorubio as our new chairman. My efforts to bolster Idaho’s #smallbiz community will benefit from his leadership & I look forward to working together as a member of the committee.,1083095659601891330,2019-01-09,20:18:22,senatorrisch,29,26,84
Statement: Risch Elected Chairman of the Senate Foreign Relations Committee -> https://www.foreign.senate.gov/press/chair/release/risch-elected-chairman-of-the-senate-foreign-relations-committee-announces-committee-membership_ …,1082811002117328897,2019-01-09,01:27:15,senatorrisch,15,9,22
...U.S. prosperity & leadership. I look forward to giving Idaho a voice on the global stage as we look to confront many issues that hit home across my state.  https://www.foreign.senate.gov/press/chair/release/risch-elected-chairman-of-the-senate-foreign-relations-committee-announces-committee-membership_ …,1082810412956028929,2019-01-09,01:24:54,senatorrisch,13,7,15
"I am glad to have the confidence of my colleagues who have elected me chairman of the Senate Foreign Relations Committee. I am firmly committed to doing whatever is necessary to protect the security & interests of the American people, in addition to continuing to advance...",1082810411383226369,2019-01-09,01:24:54,senatorrisch,26,11,53
#HappyNewYear - wishing everyone joy and good health in 2019!,1080178924548747264,2019-01-01,19:08:19,senatorrisch,17,5,23
