tweet,id,date,time,username,replies_count,retweets_count,likes_count
Thank you to all the members of @UTNationalGuard's @65thFA_BDE for your service to our country. Welcome home 🇺🇸 https://twitter.com/fox13/status/1091049896302522369 …,1091123523127570433,2019-01-31,23:58:14,senatorromney,12,12,100
"Proud to have the @USArmy seal now displayed in my office courtesy of Major General Neil Thurgood. Maj. Gen. Thurgood, a proud @UUtah alum, is currently the Director for Test with the Missile Defense Agency. pic.twitter.com/LV3KAAhqf0",1091100315552833537,2019-01-31,22:26:01,senatorromney,13,3,57
"Met with great advocates from all over Utah to learn about the modern issues affecting the blind population. Thanks for your continued work, @NFB_voice Utah. pic.twitter.com/Vnh7gn8JrR",1090732732693532672,2019-01-30,22:05:22,senatorromney,15,10,55
I firmly believe we must expand parental choice and create more opportunities in education. Met with representatives of Utah’s Head Start to learn more about their work to ensure Utah’s children & families have early access to the support needed to thrive and be self-sufficient. pic.twitter.com/AQe0h9DFOZ,1090681994500022279,2019-01-30,18:43:46,senatorromney,22,10,98
"I continue to believe the premature withdrawal of U.S. forces from Syria and Afghanistan would be a grave mistake that could pose serious risks for our national security. For that reason, I will be supporting @SenateMajLdr’s amendment. https://twitter.com/senatemajldr/status/1090368345709441024 …",1090414015313072129,2019-01-30,00:58:54,senatorromney,114,107,529
"For far too long, China has been skirting the rules when it comes to trade and intellectual property. Met with @USTradeRep Lighthizer to discuss ways to keep up the long-term pressure on China to play fair. pic.twitter.com/R9kozEQIpw",1090367408819232768,2019-01-29,21:53:42,senatorromney,24,11,62
The @USCapitol Dome is an incredible and enduring symbol of our country’s democracy. Such a great experience to ascend to the top today ➡️ pic.twitter.com/xNZM3zB3tT,1089983308786778114,2019-01-28,20:27:26,senatorromney,64,35,461
"As the Utah Legislature convenes today, best wishes to @UtahSenate President Stuart Adams, @UtahReps Speaker Brad Wilson, and all of the state’s legislators. May the tradition of bipartisanship continue so Utah remains one of the best-managed states in the country. #utpol",1089930776106422272,2019-01-28,16:58:41,senatorromney,12,3,65
Good news→ Utah has two of this year’s top 10 best-performing cities for job creation and economic growth: Provo-Orem and Salt Lake City. The Beehive State is a great place to live and do business. https://twitter.com/MilkenInstitute/status/1088440053829914625 …,1089908621515939841,2019-01-28,15:30:39,senatorromney,31,23,203
"On #HolocaustRemembranceDay, we renew our commitment to never forget the men, women, and children, including the nearly six million Jews, who were senselessly murdered during the Holocaust. Today, #WeRemember.",1089527208387985408,2019-01-27,14:15:03,senatorromney,31,64,410
"I’m encouraged by today’s agreement, which will put people back to work and make sure they get paid. Both parties must work together in the next three weeks on a final agreement that funds border security and avoids another shutdown.",1088890431864270849,2019-01-25,20:04:44,senatorromney,324,97,980
"Utahns have been clear—end the shutdown and secure the border. I voted today to do both. With both measures having failed, it’s time now for Republican and Democratic leaders to come together and negotiate a final deal that funds border security and reopens the government.",1088552722327134210,2019-01-24,21:42:47,senatorromney,630,120,1208
"It was great meeting you, Geoff. Thank you for your service to our country.",1088099014191525888,2019-01-23,15:39:55,senatorromney,4,3,26
Thank you to all of the Utahns who came out to my first town hall tonight in Farmington. Hearing and understanding your perspectives is crucial. I appreciate you all taking time to join me tonight to share your views. pic.twitter.com/7a1lhnMcqA,1087942214980915200,2019-01-23,05:16:51,senatorromney,104,22,316
"It was an honor to meet Cornelius DeJong, a World War II veteran and one of the Greatest Generation. You can read more about his incredible navy service ⤵️ https://veteransday.utah.edu/honorees/cornelius-dejong-jr/ …",1087827821685284864,2019-01-22,21:42:18,senatorromney,17,10,36
"Our nation’s veterans deserve the absolute best care our country can offer. Visited the VA Medical Center in Salt Lake City today to learn about the services they provide to the more than 60,000 veterans across the region. pic.twitter.com/KfZgyxypdm",1087821305674641411,2019-01-22,21:16:24,senatorromney,27,11,87
