tweet,id,date,time,username,replies_count,retweets_count,likes_count
Best of luck to @GoJacksWBB tonight! #GoJacks #UnleashChaos https://twitter.com/SDState/status/1111618778901766146 …,1111798804909416448,2019-03-30,01:14:25,senatorrounds,3,5,21
Congrats to the Rapid City-based C/1-189th Aviation Regiment for being honored with the DoD Reserve Family Readiness Award today. Thanks for all you do to support our guard members and their families! pic.twitter.com/AemhNgllru,1111693689213071361,2019-03-29,18:16:44,senatorrounds,2,3,6
"Appreciated the opportunity to speak to @keloland to discuss the exciting news that Ellsworth will be the first to receive the B-21s, the next-generation stealth bombers. https://www.keloland.com/news/local-news/sen-rounds-praises-ellsworth-announcement/1885701060 …",1111658176171130887,2019-03-29,15:55:37,senatorrounds,1,1,5
Today is #VietnamWarVeteransDay. Thank you to these brave men and women for their service to our country. Our nation is forever indebted to you.,1111640941960589312,2019-03-29,14:47:08,senatorrounds,6,9,29
"With the exciting news this week about @28thBombWing getting the first B-21 bombers and the B-21 training facility, I was grateful to meet with General Ray, Commander of the @AFGlobalStrike, in my office today to discuss the progress of the B-21s. pic.twitter.com/Eo26EBo709",1111335604296536065,2019-03-28,18:33:50,senatorrounds,2,3,14
"In between meetings and hearings this morning, I had the pleasure to meet the Pedersen family from Oacoma. Enjoy your visit to DC! pic.twitter.com/XnCAttVzos",1111280562281549824,2019-03-28,14:55:07,senatorrounds,2,1,3
Just got off the phone with @SecretaryCarson to reiterate the need to provide additional housing in Indian Country. The ongoing flooding across South Dakota will place a renewed emphasis on these critical housing needs.,1111026198233137153,2019-03-27,22:04:22,senatorrounds,10,5,8
I had a great discussion today with the American Water Works Association about the importance of water infrastructure. Thanks for visiting my DC office! pic.twitter.com/Z1wYAnItRR,1111002270504812548,2019-03-27,20:29:17,senatorrounds,3,2,2
"As a member of the @SASCMajority, I will continue working closely with the Air Force and the Ellsworth community to assure a seamless process. Read more from @RCJournal: https://rapidcityjournal.com/news/local/ellsworth-chosen-as-training-base-first-to-receive-b-/article_346a8c71-fa3b-5e7e-96da-2bb91bfec7ca.html …",1110992292318535680,2019-03-27,19:49:38,senatorrounds,0,4,18
This is great news for South Dakota and for our national defense. It reaffirms the vital role Ellsworth will play in our defense strategy for years to come.,1110992291341238272,2019-03-27,19:49:38,senatorrounds,2,2,11
