tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Stay safe out there! If you or your family members are having any issues staying warm, please call 211 to find a shelter near you. https://twitter.com/WMUR9/status/1091042753889353729 …",1091075201574621184,2019-01-31,20:46:13,senatorshaheen,4,8,14
Does this company have any shame? It’s astounding that a drug company that helped cause the opioid epidemic would try to profit off of the increased need for substance use disorder treatment. https://www.propublica.org/article/oxycontin-purdue-pharma-massachusetts-lawsuit-anti-addiction-market …,1091051774289551368,2019-01-31,19:13:08,senatorshaheen,10,11,26
What a heartwarming story. Thanks @Edelman11 for lifting Dejah up and bringing her to the Super Bowl! https://www.seacoastonline.com/news/20190131/pats-edelman-give-exeter-7th-grader-super-bowl-tickets …,1091041807427952641,2019-01-31,18:33:32,senatorshaheen,0,4,19
"Women earn just 80 cents, on average, for each dollar a man earns. That’s unacceptable. I’m introducing the Paycheck Fairness Act w/ @PattyMurray & @SenatorHassan to help ensure #equalpay becomes a reality. We need to show every woman that her work is valued the same as a man’s.",1090706188407357441,2019-01-30,20:19:54,senatorshaheen,50,75,342
I’m introducing bipartisan legislation with @SenatorCollins to prohibit LGBT discrimination during the federal jury selection process. Any sort of bias that penalizes potential jurors because of their sexual orientation or gender identity runs counter to our nation’s values. pic.twitter.com/Oxz1cYODGV,1090679123515768832,2019-01-30,18:32:21,senatorshaheen,113,67,336
"This is the right decision. As this case proceeds, it is important that Congress take action on bipartisan legislation that I cosponsored to ensure “blue water” Navy veterans who bravely served our country in Vietnam receive the benefits they’re owed. https://www.militarytimes.com/news/pentagon-congress/2019/01/29/court-rules-va-must-pay-disability-benefits-to-blue-water-vietnam-veterans/?utm_source=Sailthru&utm_medium=email&utm_campaign=ebb-1-30&utm_term=Editorial%20-%20Military%20-%20Early%20Bird%20Brief …",1090663971701567488,2019-01-30,17:32:09,senatorshaheen,1,9,27
"We must never stop fighting for equal pay for equal work. It’s been 10 years since the signing of the Lilly Ledbetter Fair Pay Act, and we still have a long ways to go before we close the pay gap. I’ll keep fighting until women’s work is valued the same as men’s.",1090425810174070784,2019-01-30,01:45:46,senatorshaheen,18,30,142
"Climate change is real, it’s here & it’s a threat to NH. The Trump admin needs to stop prioritizing the needs of energy lobbyists over American families & heed the warnings of scientists. The admin must reverse course on its dangerous policies. https://www.apnews.com/e38e8c16b610439db2273b8b35b4bc58 …",1090385295743307778,2019-01-29,23:04:47,senatorshaheen,29,42,118
Andrea Amico has helped lead efforts to ensure Granite Staters have access to safe and clean drinking water. I’m happy to announce she’ll be my guest for the SOTU where together we’ll raise awareness for preventing and ending PFAS exposure in our communities. pic.twitter.com/YJtR1GmExm,1090338697344630784,2019-01-29,19:59:37,senatorshaheen,8,63,215
This report is alarming. The @EPA needs to show leadership and help protect NH families and Americans across the nation from these harmful materials. https://twitter.com/politico/status/1090055934393663489 …,1090081885873676289,2019-01-29,02:59:08,senatorshaheen,11,33,80
"I’m introducing legislation to create a $1 commemorative coin honoring Christa McAuliffe, who died aboard the Space Shuttle #Challenger 33 years ago today, with proceeds going toward @FRCTeams to continue Christa’s legacy of inspiring the next generation of students in STEM. pic.twitter.com/WuYxkjL9CW",1090021550408060939,2019-01-28,22:59:23,senatorshaheen,20,64,352
"At long last, the 129 brave men who perished aboard the USS Thresher 55 years ago will receive the memorial they deserve. This is so important for their families & the Portsmouth community.",1090014495131471872,2019-01-28,22:31:21,senatorshaheen,0,7,28
It’s official: the USS Thresher will be honored with a memorial at Arlington National Cemetery. Thank you to the tireless work of the NH community who advocated for this monument & to Army Secretary Mark Esper.,1090014494540087297,2019-01-28,22:31:21,senatorshaheen,1,6,35
"We need to make sure the government stays open. I’m LIVE on the Senate floor to discuss how we can work across the aisle, as we have done in the past, to pass common sense measures to improve security at the border and fund the government.  https://www.facebook.com/SenatorShaheen/ ",1089999094523879425,2019-01-28,21:30:09,senatorshaheen,14,11,45
Border security remains a bipartisan priority and I hope this agreement will provide a valuable opportunity to stem the flow of drugs coming across the border and make needed reforms to our immigration system.,1088890891987750913,2019-01-25,20:06:33,senatorshaheen,23,9,31
"I’m very relieved that the President has finally agreed to reopen the government and we need to pass this legislation immediately to provide relief to federal workers and the American people. This shutdown is reckless and completely unnecessary, and shouldn’t have ever happened.",1088890888942772224,2019-01-25,20:06:33,senatorshaheen,16,15,85
"The President’s shutdown is hurting federal workers across NH. During this difficult time, I’m so appreciative of the organizations & Granite Staters stepping up & helping out. I’ll keep fighting to reopen the government so Americans can get back to work. https://www.nhpr.org/post/federal-workers-manchester-boston-airport-get-free-meals#stream/0 …",1088855901279277056,2019-01-25,17:47:31,senatorshaheen,23,10,43
Federal workers are struggling to put food on the table and pay their mortgages because of the President’s reckless shutdown. I’m introducing a bill w/ @TimKaine & @SenatorHassan to allow these workers to access an emergency source of funding as they face a second missed payday. pic.twitter.com/PTblBefwxi,1088577811709874177,2019-01-24,23:22:29,senatorshaheen,39,30,63
Heroes. Thank you @ConcordNHFire for everything you do. https://www.wmur.com/article/concord-firefighters-help-deliver-baby-girl-on-way-to-hospital/26018087 …,1088493239815032832,2019-01-24,17:46:26,senatorshaheen,2,1,8
Meet with federal workers. Ask them about their financial struggles. Reopen the government. https://twitter.com/nielslesniewski/status/1088432465478369282 …,1088453775159742469,2019-01-24,15:09:37,senatorshaheen,31,23,89
"This shutdown is reckless, unnecessary and can be ended immediately. I spent the morning with members of @USCG. The government shutdown is impacting their ability to do their jobs. It’s time to end this shutdown so that these service members can provide for their families.",1088221910968750086,2019-01-23,23:48:16,senatorshaheen,49,37,162
"Our veterans deserve to have their appeals for disability benefits streamlined, which is why I worked across the aisle to pass legislation to reform the appeals process. I’m very pleased to see these reforms moving forward to help our veterans get the help they've earned. https://twitter.com/MilitaryTimes/status/1088068831967367169 …",1088192646730956800,2019-01-23,21:51:59,senatorshaheen,3,8,29
"Business has been good at @Wing_itz, and they were planning to open a 3rd location. Now their SBA loan is on hold because of the President's shutdown. @POTUS must reopen government. He can end this reckless shutdown now with a stroke of a pen. pic.twitter.com/7mqiDAZFqp",1088184568576991240,2019-01-23,21:19:53,senatorshaheen,22,6,22
Two years ago @POTUS instated the largest expansion of the #GlobalGagRule ever & stripped women & children across the globe of vital health protections. This cruel policy undermines global health & has devastated communities in need. I’ll keep working across the aisle to end it.,1088160992662568964,2019-01-23,19:46:12,senatorshaheen,17,30,97
Alarming. The admin should prioritize a national defense policy that protects our military readiness and supports all of our service members – not one that violates their civil rights. I’ll continue to stand up for all transgender service members who proudly serve our nation. https://twitter.com/nytimes/status/1087724887937085440 …,1087856320622067712,2019-01-22,23:35:32,senatorshaheen,31,26,113
Still here. 🙂 https://twitter.com/Jordanems/status/1087235570684870656 …,1087851006153625601,2019-01-22,23:14:25,senatorshaheen,8,6,62
"Study after study confirms that climate change is already causing serious economic pain, including along NH’s Seacoast. It’s past time for the President and Republican leadership to work across the aisle to tackle this climate crisis head on. https://www.nhpr.org/post/rising-seas-are-already-costing-nh-millions-property-value-study-finds#stream/0 …",1087813723903938560,2019-01-22,20:46:17,senatorshaheen,32,19,59
"#RoevWade enshrined into law the fundamental right for women to make their own reproductive choices. Yet 46 years later, we still see near-constant, partisan attacks on women’s health. Thank you @SabrinaEDunlap. We will fight to protect this right. https://www.concordmonitor.com/Stand-with-us-on-anniversary-of-Roe-v-Wade-22863598 …",1087784197966708736,2019-01-22,18:48:57,senatorshaheen,6,13,44
Dr. Martin Luther King Jr.’s dedication to justice awoke the conscience of our nation and changed the course of history. His legacy challenges us to continue fighting for equality and a more perfect union. pic.twitter.com/53YEfNL16X,1087453962998026241,2019-01-21,20:56:43,senatorshaheen,33,39,134
🐐!!!! #SuperBowlLIII,1087188630307778560,2019-01-21,03:22:23,senatorshaheen,12,19,123
Are you all ready? Let's do this Pats! #AFCChampionship #EverythingWeGot,1087110431217537025,2019-01-20,22:11:38,senatorshaheen,11,9,67
Very saddened to learn of Dr. Arthur Hilson’s passing and my condolences go out to his family. My full statement: pic.twitter.com/2nFNLmhFDD,1087090256283881474,2019-01-20,20:51:28,senatorshaheen,2,13,18
"President Trump is holding hostage hundreds of thousands of federal workers, and he is being enabled by @senatemajldr, who refuses to bring forward the bills that would open the government today. We need to end this shutdown now. pic.twitter.com/R2oirY23xf",1086391458909863939,2019-01-18,22:34:42,senatorshaheen,82,89,241
I am so appreciative of the NH businesses helping those who have been impacted by the President’s shutdown. I’m urging @senatemajldr to allow a vote on Republican bills to reopen the government and to end this shutdown immediately.  http://portsmouthcollaborative.org/furlough-support?fbclid=IwAR2KtIEY691m_fPuhgA8HQ7QE9NJk80sUuivWO-392lGif1jjujm0-wOA7k …,1086347435809611778,2019-01-18,19:39:46,senatorshaheen,24,28,90
"If you need assistance with federal programs, my office remains open and my staff are here to help. If you have any questions about what federal agencies and services have been impacted by the shutdown, please take a moment to review the list below. https://www.wmur.com/article/resources-for-those-in-nh-affected-by-government-shutdown/25923894?src=app …",1086045736440082434,2019-01-17,23:40:55,senatorshaheen,17,34,47
"Improving access to affordable child care is important for working families & also has broader implications for our overall economy – when parents are able to participate in our workforce that makes for a stronger, more secure economy.",1086030376819134465,2019-01-17,22:39:53,senatorshaheen,5,6,16
Affordable child care is a significant obstacle for American families – that needs to change. Congress can & should do more to reform our system to better support working parents. My legislation will help address that problem by making common-sense changes to reform our tax code. pic.twitter.com/GJIAq32TtQ,1086030373707046912,2019-01-17,22:39:53,senatorshaheen,12,11,20
Talk about misplaced priorities. Senate leadership refuses to allow us to vote on Republican funding bills to reopen the government but is trying to force through a politically motivated bill that would restrict women's reproductive rights. Outrageous. It’s not getting through.,1086013640069861377,2019-01-17,21:33:23,senatorshaheen,47,113,296
