tweet,id,date,time,username,replies_count,retweets_count,likes_count
It’s #SmallBusinessSaturday! Supporting our small shops during the holiday season (& year-round!) is about more than ensuring a vibrant downtown – it’s about supporting our NH entrepreneurs & standing w/our community. Let’s all remember to shop local today. https://www.concordmonitor.com/Small-business-Saturday-30805502 …,1200844307080601600,2019-11-30,18:29:28,senatorshaheen,6,9,32
"From my family to yours, wishing you all a happy and healthy Thanksgiving with your friends and loved ones.",1200090346132328448,2019-11-28,16:33:29,senatorshaheen,4,8,47
"This holiday season, Congress should be able to give the American people the gift of ending illegal robocalls -- I’ll keep working across the aisle to make this happen. Let’s get this to the President’s desk for signature ASAP! https://www.rollcall.com/news/congress/robocall-compromise-bill-set-quick-house-passage …",1199778338178506752,2019-11-27,19:53:41,senatorshaheen,4,12,34
I agree with the White House here but this is Exhibit A on why we need campaign finance reform. These @DrPatientUnity ads are what happens when you let unlimited dark money into politics—real voices get drowned out. https://twitter.com/jonathanvswan/status/1199696297877528582 …,1199724331976318980,2019-11-27,16:19:05,senatorshaheen,4,7,8
".@Harbor_HomesInc helps our NH community members when they need it most, assisting w/housing, health care, employment & other services. Grateful to be w/staff today for the annual Thanksgiving dinner & to meet the hard-working people fighting to get back on their feet. pic.twitter.com/B7X3UgfCQE",1199438398651617280,2019-11-26,21:22:53,senatorshaheen,1,11,21
Small businesses are economic engines for our communities & also serve as our cultural hubs and gathering places. It was great to be in Milford today to meet w/small biz owners & raise awareness for Small Business Saturday. Let’s all remember to shop and dine local this weekend. pic.twitter.com/6bg0u0q9lt,1199425828288958464,2019-11-26,20:32:56,senatorshaheen,3,5,10
These dire warnings correspond with the effects of climate change that we’re already seeing. Climate change is no longer an abstract threat. It’s on our doorstep and we have no choice but to act. https://www.washingtonpost.com/climate-environment/2019/11/26/bleak-report-un-says-drastic-action-is-only-way-avoid-worst-impacts-climate-change/ …,1199411865257988100,2019-11-26,19:37:27,senatorshaheen,15,22,41
Always a pleasure to help kick off the Toys for Tots campaign at the Mall of NH. Thank you to the Marine Corps Reserve for all they do to make every child feel special & remembered during the holiday season. Find your local Toys for Tots campaign here:  https://www.toysfortots.org/request_toys/toys-city-county.aspx?txtState=NEW%20HAMPSHIRE … pic.twitter.com/ZFjyj6BlQC,1199386819932180481,2019-11-26,17:57:56,senatorshaheen,1,4,9
".⁦@FITNH⁩ - New Horizons plays a critical role in NH communities in their effort to combat food insecurity & homelessness. Glad to be w/ them today for their Thanksgiving breakfast to highlight & applaud their important work, especially as the holiday season approaches. pic.twitter.com/NU7on0cZoU",1199377007664123905,2019-11-26,17:18:56,senatorshaheen,2,4,9
Juul intentionally marketed its vaping devices to children and now NH has more high schoolers that vape every day than any other state in the country. Juul should be held accountable & forced to chip in to help reverse the damage. https://www.nytimes.com/2019/11/23/health/juul-vaping-crisis.html …,1199016646217752581,2019-11-25,17:26:59,senatorshaheen,5,11,28
