tweet,id,date,time,username,replies_count,retweets_count,likes_count
"When I was younger, I wrote down a goal to positively impact a billion people. One of my favorite things to do is encourage the next generation to do the same. Glad I could share a nugget of wisdom at today’s Congressional Intern Lecture Series. pic.twitter.com/ffSxLPP5Hd",1156653380569378816,2019-07-31,19:50:30,senatortimscott,36,25,305
What we should really be talking about... pic.twitter.com/lJ60G1w7fM,1156610053333553152,2019-07-31,16:58:20,senatortimscott,60,97,358
"Not sure if “Hi, you’ve reached the office of — well... my office,” is the best way to answer the phone, but it’s the best way to talk directly with South Carolinians! We’re always here to help y’all out — give us a call. pic.twitter.com/HFndiz8aNW – at Hart Senate Building",1156577095658672128,2019-07-31,14:47:22,senatortimscott,28,41,395
It’s been a headliner week. On now with @BretBaier — tune in! pic.twitter.com/9O8b4vYWqX,1156325773093064706,2019-07-30,22:08:42,senatortimscott,96,65,490
"Glad to chat with the folks back home, @wpdeabc15, on my Repeatedly Flooded Communities Preparation Act. Having grown up along South Carolina's coast, I know of the dangers and uneasiness that flooding can bring to families across our state and nation. https://wpde.com/news/local/senator-scott-aims-to-break-cycle-of-repeated-flooding-and-rebuilding …",1156321020829216770,2019-07-30,21:49:49,senatortimscott,31,27,85
Our veterans possess a unique set of skills that make them ideal candidates for a wide array of careers after their service. I'm proud to introduce the HEROES Act to encourage veterans to use their skills in the classroom teaching the next generation. https://www.scott.senate.gov/media-center/press-releases/scott-introduces-heroes-act-to-help-place-veterans-in-americas-schools …,1154865519121616897,2019-07-26,21:26:10,senatortimscott,73,53,209
"If y’all ever need help moving, call up #TeamScott — just let us know ahead of time so we can bring a change of clothes! pic.twitter.com/MCK70jQzbd",1154546607058239488,2019-07-26,00:18:56,senatortimscott,29,14,274
Happy #NationalInternDay to all my interns who’ve joined #TeamScott this summer! pic.twitter.com/ZViSzyPque,1154485206855741441,2019-07-25,20:14:57,senatortimscott,91,45,493
"It was an honor meeting a trailblazer and welcoming Mr. Willie O’Ree, the ""Jackie Robinson of hockey"", to the nation’s capital. I admire his service to those growing up in distressed communities and look forward to him receiving the Congressional Gold Medal. pic.twitter.com/PEJOHOcB3J",1154469135029428224,2019-07-25,19:11:05,senatortimscott,15,49,328
"Dr. Mark Esper has served our nation admirably in the military, as well as the executive and legislative branches, and I know he will continue to do so in his new role. My full statement here: https://www.scott.senate.gov/media-center/press-releases/scott-statement-on-confirmation-of-new-defense-secretary …",1154008510444822534,2019-07-24,12:40:43,senatortimscott,3,10,68
