tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Journalists put their lives on the line—risking retaliation, injury,  imprisonment or worse by uncovering the truth & informing the world. They deserve protection from our State Department.  https://twitter.com/PENamerica/status/1189655200950374400 … pic.twitter.com/UbLVlt5mEu",1190009969996906498,2019-10-31,20:57:40,senblumenthal,45,68,276
"In the face of President Trump’s confession & the overwhelming corroborating evidence that has already been uncovered, Congress has no choice but to take this step. Trump has betrayed Americans’ trust, compromised his oath of office, & undermined our national security.",1189962373559402496,2019-10-31,17:48:32,senblumenthal,31,59,226
The House has been proceeding methodically & logically with depositions that corroborate what President Trump admitted to in his own words: he compromised our national security by pressuring a foreign leader to benefit him personally in a political campaign.,1189962372238188545,2019-10-31,17:48:32,senblumenthal,16,54,245
"This strong vote charts a clear path forward for the House’s impeachment inquiry into President Trump’s unacceptable, unpatriotic, & unconstitutional conduct.",1189962370757648384,2019-10-31,17:48:32,senblumenthal,95,112,619
"You’re up, Facebook. https://twitter.com/jack/status/1189634360472829952 …",1189705650521231361,2019-10-31,00:48:25,senblumenthal,136,941,4375
"It’s simple, the Trump admin refuses to #ProtectPreExisitngConditions. We must fight back against Republicans' never-ending sabotage of Americans’ health care. That’s why @SenateDems voted to stop this admin’s dangerous rule gutting preexisting conditions.",1189694004880969728,2019-10-31,00:02:08,senblumenthal,59,213,579
Trump & Republican’s attack on the ACA has endangered children’s short-term & long-term health. Risking the well-being of the most vulnerable among us—without a plan to provide vital care—is irresponsible & appalling. https://www.cnn.com/2019/10/30/politics/us-children-health-insurance/index.html?utm_content=2019-10-30T10%3A33%3A14&utm_source=twCNN&utm_medium=social&utm_term=link …,1189668727010340864,2019-10-30,22:21:42,senblumenthal,31,128,256
"These Boeing hearings focused on the technical aspects of what went wrong, but we must not forget the human cost of these tragedies. 346 lives cut short because the people who were in charge of their safety failed them&the families that continue to grieve the loss of loved ones.",1189646929363378176,2019-10-30,20:55:05,senblumenthal,6,23,83
"While Boeing’s actions merit blame, the FAA also is deserving of serious scrutiny. Our aviation safety regulators failed at their job, with tragic consequences. We need sweeping reform of this broken system of oversight.",1189643072902184965,2019-10-30,20:39:45,senblumenthal,9,45,159
"Shocked, but not surprised by reports that JUUL knowingly put users' health at risk by selling contaminated, faulty pods. Further evidence why FDA must immediately implement a review process & ban all flavors—no more delays. https://nyti.ms/2JyR9mp ",1189619108280713216,2019-10-30,19:04:32,senblumenthal,25,65,163
"Indicator lights being removed from the cockpit, no info in the training manuals, & seconds to respond before the warnings turn catastrophic—pilots never had a chance. It’s impossible to know how to react when unaware of & untrained on critical flight control systems.",1189581128002347009,2019-10-30,16:33:36,senblumenthal,18,71,226
"In today’s House hearing on the Boeing 737 MAX crashes, Muilenburg admitted to design mistakes & expressed a willingness to make amends for Boeing’s critical, catastrophic errors. If he & Boeing truly want to own up to these deadly disasters, he must resign.",1189578050884788225,2019-10-30,16:21:23,senblumenthal,44,138,573
His refusal to commit clearly to reform is especially galling & appalling. Boeing’s board must act. Trust in the company & its aircraft are at stake.,1189534754871369728,2019-10-30,13:29:20,senblumenthal,12,22,130
"After his evasive, insensible appearance at yesterday’s hearing, Boeing CEO Muilenburg must go. He must be held accountable for fatal flaws in 737 MAX design, manufacturing, certification, & oversight—concealed from pilots & the public. https://nyti.ms/2MYbJ1C ",1189534752333803521,2019-10-30,13:29:20,senblumenthal,35,132,368
Seeing the families & faces of loved ones who lost their lives in the Boeing 737 MAX crashes was harrowing & heartbreaking. This accident was preventable if Boeing & the FAA had not put profits over safety. Meaningful reforms to the certification process are urgently needed. pic.twitter.com/5KjYjchCiy,1189358106326769665,2019-10-30,01:47:24,senblumenthal,68,206,917
Boeing came to my office after the 737 MAX crashes & said they were the result of pilot error. Those pilots never had a chance. The passengers who lost their lives never had a chance. They were in a flying coffin as a result of Boeing deciding to conceal key safety flaws. pic.twitter.com/owA583V20O,1189262393882398720,2019-10-29,19:27:04,senblumenthal,67,405,1159
