tweet,id,date,time,username,replies_count,retweets_count,likes_count
"""Workers barely benefited from Trump’s sweeping tax cut, investigation shows"" https://www.theguardian.com/us-news/2019/apr/30/trump-tax-cut-law-investigation-worker-benefits …",1123301545532112897,2019-04-30,19:02:13,senbobcasey,64,102,250
"Protecting Medicaid is about protecting our kids, seniors and people with disabilities who rely on this vital program. pic.twitter.com/A8jFb64gRx – at United States Capitol Building",1123242816665157635,2019-04-30,15:08:50,senbobcasey,16,52,161
"Since 2000, over 21 million lives have been lost globally to the measles. The outbreaks impacting communities across the United States are a stark reminder of the importance of lifesaving immunizations. #WorldImmunizationWeek @ShotAtLife",1123220821546237952,2019-04-30,13:41:26,senbobcasey,17,29,85
Senator Lugar was a patriot who helped make the world safer. His work with Senator Sam Nunn reduced the threat of nuclear war. I was honored to work with him to pass into law the Global Food Security Act.,1122648129336225793,2019-04-28,23:45:46,senbobcasey,6,25,171
I stand with the city of Poway and the Jewish community and again call on my colleagues in Congress to take action to address gun violence and hate crimes. Enough is enough,1122273594803924993,2019-04-27,22:57:30,senbobcasey,22,52,302
"I’m shocked and saddened by the attack on Congregation Chabad in Poway, CA, on the last day of Passover and six months after the shooting at Tree of Life Synagogue in Pittsburgh. https://twitter.com/timelywriter/status/1122273063087804417 …",1122273527497986048,2019-04-27,22:57:14,senbobcasey,25,63,346
This reporting is a reminder of the danger migrant children face when seeking refuge in America and the obligation we have to approach this challenge with compassion. I will continue to insist that our government’s actions recognize the basic dignity of these children https://twitter.com/NBCInvestigates/status/1120824497521733635 …,1121776944390049794,2019-04-26,14:03:59,senbobcasey,50,48,157
President Trump has a sworn duty to protect our democracy.  This report indicates he is shirking it. https://www.nytimes.com/2019/04/24/us/politics/russia-2020-election-trump.html …,1121049422031462400,2019-04-24,13:53:04,senbobcasey,102,237,556
"On this Earth Day, we must renew our commitment to protecting our environment and taking on the crisis of climate change",1120385614954795008,2019-04-22,17:55:21,senbobcasey,32,53,308
I am shocked and saddened by the devastating Easter Sunday attacks in Sri Lanka. Praying for those killed and injured on this holy day.,1120046892388425733,2019-04-21,19:29:23,senbobcasey,12,32,268
"From my family to all those celebrating, wishing you and yours a joyous and happy Easter!",1119946326274449409,2019-04-21,12:49:46,senbobcasey,22,17,260
Wishing all those celebrating tonight a happy Passover. Chag Sameach!,1119286599194431488,2019-04-19,17:08:15,senbobcasey,19,19,221
"The actions we know that President Trump, his aides and allies took may not violate criminal statutes, but they are fundamentally inconsistent with American values.",1118903896292909056,2019-04-18,15:47:31,senbobcasey,50,41,220
"And then, we know from the public record, that President Trump made a series of statements and appeared to engage in conduct that interfered with a fair and independent investigation.",1118903894757789696,2019-04-18,15:47:31,senbobcasey,12,29,171
"While examining the Mueller report and the underlying evidence will be vital, it will not change what we already know: Russia attacked our election in 2016, President Trump and his closest aides and allies welcomed that attack.",1118903893352644611,2019-04-18,15:47:31,senbobcasey,10,22,85
"It continued ""Russia's goals were to undermine public faith in the U.S. democratic process, denigrate Secretary Clinton and harm her electability and potential presidency. We further assess Putin and the Russian Government developed a clear preference for President-elect Trump.""",1118903892287401985,2019-04-18,15:47:30,senbobcasey,4,14,73
"It said, “We assess Russian President Vladimir Putin ordered an influence campaign in 2016 aimed at the U.S. presidential election.""",1118903891297472514,2019-04-18,15:47:30,senbobcasey,2,10,72
"Despite the misinformation coming from President Trump, it’s vital that the American people know that the unified assessment of our intelligence community in January 2017 stands.",1118903889783328769,2019-04-18,15:47:30,senbobcasey,1,11,77
I will also continue to press Attorney General Barr to release grand jury information and all the underlying evidence that is not protected due to intelligence concerns.,1118903888327917568,2019-04-18,15:47:29,senbobcasey,7,12,99
"Over the coming days, I will carefully review Special Counsel Mueller’s report because the American people deserve to know the whole truth.",1118903886725697541,2019-04-18,15:47:29,senbobcasey,73,55,503
It's a sad day for our country when the Attorney General acts as a spin doctor and mouthpiece for the President. https://twitter.com/grynbaum/status/1118877441861279747 …,1118886695972139009,2019-04-18,14:39:10,senbobcasey,255,464,1778
An IRS Agent will ALWAYS provide identification when requested. pic.twitter.com/X5a8n1UxFw,1118501967767265280,2019-04-17,13:10:24,senbobcasey,3,16,45
The IRS will NEVER initiate contact by email or text message to request personal or financial information.,1118501965833691136,2019-04-17,13:10:24,senbobcasey,4,14,53
The IRS will NEVER threaten to bring in local police or other law-enforcement groups to have you arrested for not paying.,1118501964831178752,2019-04-17,13:10:23,senbobcasey,1,6,13
The IRS will NEVER ask for credit or debit card numbers over the phone.,1118501963837116416,2019-04-17,13:10:23,senbobcasey,1,5,15
"The IRS will NEVER require you to use a specific payment method for your taxes, such as a prepaid debit card or cash.",1118501962838945797,2019-04-17,13:10:23,senbobcasey,1,5,12
The IRS will NEVER demand that you pay taxes without giving you the opportunity to question or appeal the amount they say you owe.,1118501961786171393,2019-04-17,13:10:23,senbobcasey,1,4,13
