tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Spending the holiday with family & friends. Today is a day to reflect on all of the blessings we have. We’re thankful for those serving overseas who can’t be with family, and we’re blessed to live in the greatest state in the greatest country in the world. 
#HappyThanksgiving! pic.twitter.com/HmdqRGGVMK",1200215357446770688,2019-11-29,00:50:14,sendansullivan,11,3,21
Honored to stand alongside @USArmy leaders at Ft. Wainwright and serve a meal to our soldiers & their families. The food was amazing and the morale was high. Thanks to all who helped make the food and a very #HappyThanksgiving to all serving our country. We’re thinking of you! 🦃 pic.twitter.com/y9POb0Fp1R,1199848275945410560,2019-11-28,00:31:35,sendansullivan,6,5,15
Good to see the new @USAirForce @SecAFOfficial in the field witnessing the incredible capabilities of our airmen and women. Do I see some Alaskans? H/T to all of our brave service members advancing America’s interests in the region. #AimHigh #HC130 #HH60 https://twitter.com/SecAFOfficial/status/1198747237423210497 …,1199445264861405184,2019-11-26,21:50:10,sendansullivan,7,5,12
"Ryan walks us through the skill and knowledge involved in hunting and harvesting a whale, the history of the crews that go back generations, and what this traditional practice means for the life of the community.",1199425293611622401,2019-11-26,20:30:48,sendansullivan,3,1,2
"If you have a few minutes, check out this spectacular short documentary chronicling spring whaling in Tikiġaq, crafted by Alaska videographer Cale Green and narrated by Ryan Rock, a member of a whaling crew in this far northwest corner of Alaska. https://vimeo.com/375039230 ",1199425199327924226,2019-11-26,20:30:26,sendansullivan,5,1,14
"Though not providing a presumption of benefits, our bill would formally recognize a veteran’s exposure to #burnpits during their service in Iraq, Afghanistan and other locations, potentially aiding 1000s pursuing #VA treatment for their related illnesses and health conditions.",1197657844851585026,2019-11-21,23:27:36,sendansullivan,13,1,5
"It is simply unreasonable for a veteran to have to prove they were exposed to specific toxins from specific #burnpits on specific days in order to receive #VA health care or benefits, which is the burden they face today.  http://sen.gov/9JX6  #veterans",1197657553188073478,2019-11-21,23:26:26,sendansullivan,5,3,8
"Today @Sen_JoeManchin & I introduced the 𝙑𝙚𝙩𝙚𝙧𝙖𝙣𝙨 𝘽𝙪𝙧𝙣 𝙋𝙞𝙩 𝙀𝙭𝙥𝙤𝙨𝙪𝙧𝙚 𝙍𝙚𝙘𝙤𝙜𝙣𝙞𝙩𝙞𝙤𝙣 𝘼𝙘𝙩 to address a barrier preventing many vets from getting #VA benefits for illnesses and diseases related to their exposure to #burnpits. 
 https://sen.gov/9JX6  pic.twitter.com/iKhOf70WwY",1197656928408748035,2019-11-21,23:23:57,sendansullivan,7,4,8
 https://twitter.com/okayhenderson/status/1197559535545794563 … pic.twitter.com/BCfcBbslrd,1197630663085740033,2019-11-21,21:39:35,sendansullivan,11,5,14
Adding my name to the bulkhead of “Alaska One” – the first @LockheedMartin @thef35 coming to @EielsonAirForce Base in #Fairbanks this spring. Aim high! #AirForce #F35 pic.twitter.com/XC2ZNoDoiv,1197551414786039809,2019-11-21,16:24:41,sendansullivan,11,2,26
"Having worked closely w/ advocates & survivors in Alaska, I know how important the Violence Against Women Act is to their work and to the protection of women. Glad to introduce a 10-year #VAWA reauthorization bill earlier today.  https://sen.gov/596N  #EndDV pic.twitter.com/U5qoOolSJo",1197322253962293248,2019-11-21,01:14:05,sendansullivan,7,3,14
