tweet,id,date,time,username,replies_count,retweets_count,likes_count
"TOMORROW in Florence, I’ll be hosting a town hall at @north_alabama. Hope to see you there! pic.twitter.com/TGhKdI23q2",1145436916961202176,2019-06-30,21:00:16,sendougjones,4,15,37
"Thank you @bhmlegion for your commitment to inclusivity and living up to your pillars of passion, pride, and community. Good luck on the rest of your inaugural season! #HammerDown pic.twitter.com/8W7p91ssjT",1144659855829020673,2019-06-28,17:32:31,sendougjones,2,18,72
"I am incredibly frustrated that my request to pass the military widow’s tax repeal was blocked. But we’re not going to give up, and we’re not going to stop trying. It’s just the right thing to do, so I’m going to keep fighting until it’s done. Plain and simple. #AxeWidowsTax pic.twitter.com/35didb1iXq",1144334843561598978,2019-06-27,20:01:02,sendougjones,7,52,156
HAPPENING NOW: I’m headed to the Senate floor to try AGAIN to repeal the military widow’s tax. Gold Star families deserve better. #AxeWidowsTax  https://www.senate.gov/legislative/floor_activity_pail.htm …,1144255297898332161,2019-06-27,14:44:56,sendougjones,8,83,187
"Next Monday, July 1, join me for a town hall meeting in Florence, AL at @north_alabama. I hope you can make it! pic.twitter.com/khmsEVlgEZ",1144236991082614784,2019-06-27,13:32:12,sendougjones,3,30,47
"On the 6th anniversary of the Supreme Court’s Shelby County v. Holder decision to gut key provisions of the Voting Rights Act, we must recommit ourselves to fighting to restore these protections by passing the #VRAA. #RestoretheVote",1143637782679760903,2019-06-25,21:51:09,sendougjones,6,41,104
"Folks, this is absolutely a crisis. I'm going to keep fighting to pass bills like the Healthy MOM Act and the Maternal CARE Act, but we need all hands on deck to fix this. 

 https://www.al.com/news/2019/06/black-poor-and-southern-one-of-the-deadliest-demographics-for-pregnant-women-in-america.html …",1143595961383620609,2019-06-25,19:04:58,sendougjones,7,35,107
A huge thank you to our first group of summer interns this year! These ambitious students had the opportunity to serve Alabama in my office and gain valuable experience working on Capitol Hill. I wish each of them the best in their future educational and career endeavors. pic.twitter.com/XdukOjP9y4,1143545053593374720,2019-06-25,15:42:41,sendougjones,1,25,144
Senate leaders should bring the bipartisan Military Widows Tax Elimination Act to a vote this week. Let's finally #AxeWidowsTax! https://twitter.com/i/broadcasts/1yoJMEMVeAXJQ …,1143269107250450432,2019-06-24,21:26:10,sendougjones,4,25,40
"#Juneteenth marks the anniversary of Union troops arriving in Texas in 1865 to announce the end of slavery. 

Today we remember the courageous leaders who fought for equality 150+ years ago & stand with those who continue to strive toward that ideal today. #RightSideofHistory",1141369060149616645,2019-06-19,15:36:04,sendougjones,1,38,115
"Earlier this year, my colleagues from both sides of the aisle introduced the a bill to help keep our wildlife safe from dangers like this through research. We need to protect our environment by knowing more about CWD & the ways to stop it from spreading. https://www.al.com/news/2019/06/a-deadly-deer-disease-is-spreading-and-could-infect-humans.html …",1140973955462914048,2019-06-18,13:26:03,sendougjones,5,11,31
"One of the hundreds of companies to testify before @USTradeRep this week is @rheem, which has 1,000+ employees in Alabama. 

It's time to listen to what our American companies really need & put this Administration's harmful tariffs behind us. https://www.washingtonpost.com/business/economy/trumps-plan-for-more-china-tariffs-sparks-business-uproar/2019/06/16/5e7f71d8-9048-11e9-aadb-74e6b2b46f6a_story.html?utm_term=.37303ab075dd …",1140741030834331648,2019-06-17,22:00:30,sendougjones,5,20,38
"I’ve been blessed with the opportunity to be both a father and a grandfather, and I deeply value the lessons that being a father has taught me.
 
Happy #FathersDay to each and every father and father-figure out there – you are appreciated! Here's an old one of my 3 for y'all: pic.twitter.com/M47MH80hZu",1140298257140051969,2019-06-16,16:41:04,sendougjones,2,13,124
"Happy birthday! Today and every day, we are grateful for your service. https://twitter.com/USArmy/status/1139487649008242688 …",1139615372536160261,2019-06-14,19:27:32,sendougjones,0,11,33
"We absolutely need to be doing more to strengthen families and to improve health outcomes for women and children. Punishing women or doctors is not the way to do that.

Instead, we should be focusing on things like addressing the appalling rates of maternal and infant mortality. pic.twitter.com/JRPwib7ou0",1139592169449250822,2019-06-14,17:55:20,sendougjones,6,30,112
"Happy #SeersuckerDay, y’all! pic.twitter.com/tQqFsKnYol",1139343538003632135,2019-06-14,01:27:22,sendougjones,7,15,90
"This #PrideMonth, I ask my colleagues to take this step forward and to do the right thing by joining me in calling for Leader McConnell to bring the #EqualityAct to a vote in the Senate. https://twitter.com/i/broadcasts/1gqGvVqYkwnGB …",1138828524461142017,2019-06-12,15:20:53,sendougjones,52,414,1380
"In 2017, Alabama had the second-highest maternal death rate in the country. 
 
Alabama mothers deserve better than this – which is why I’m working on legislation (like the Maternal CARE Act) to improve outcomes for moms and their babies. https://www.al.com/news/2019/06/deaths-from-pregnancy-and-child-birth-are-often-preventable-alabama-finally-starts-to-take-notice.html …",1138123475594424320,2019-06-10,16:39:16,sendougjones,6,39,87
"The #TuskegeeAirmen overcame immense obstacles to serve their country honorably. When they came home they had to fight a battle of a different kind. Despite this, they fought during #DDay out of love for and loyalty to our nation. #GreatestGeneration pic.twitter.com/mc7aLSO3b1",1136725042434379777,2019-06-06,20:02:24,sendougjones,2,31,75
"51 years ago Robert F. Kennedy was assassinated, leaving behind a legacy of hope and inspiration for generations to come. He was wise beyond his years and gone too soon. #RFK pic.twitter.com/0GbOf4aAuu",1136697030540238850,2019-06-06,18:11:05,sendougjones,2,14,69
"“I think all the young people really need to know what happened 75 years ago…If we don’t know what’s happened to us we don’t know what’s ahead of us.” 

#GreatestGeneration https://twitter.com/aldotcom/status/1136420733444349953 …",1136662701420285952,2019-06-06,15:54:40,sendougjones,2,9,45
"On #DDay75thAnniversary, we remember the US and allied troops who landed on the beaches of Normandy to join the fight against Nazism. Their heroism will never be forgotten as we live every day in a more peaceful world that continues to benefit from their service and sacrifice. pic.twitter.com/GhYSaxaxjC",1136642080875450369,2019-06-06,14:32:44,sendougjones,2,18,45
"More often than not our police officers & post office workers are inadvertently exposed to deadly doses of Fentanyl while doing their jobs.

It's time we step up to protect our communities from being exposed to such a deadly drug.",1135987350775959554,2019-06-04,19:11:04,sendougjones,2,9,32
Earlier this year @SenToomey & I introduced a bipartisan bill to penalize Fentanyl-exporting nations that do not adhere to our narcotic control standards.,1135987349157031936,2019-06-04,19:11:04,sendougjones,2,9,28
"Recently 2.2 grams of Fentanyl were seized in Limestone county, AL – that is 100 TIMES the lethal amount. 

Enough is enough. pic.twitter.com/7jDnX7hGDg",1135987346292248577,2019-06-04,19:11:03,sendougjones,14,26,87
"I'm proud to stand alongside @alzassociation & support the bipartisan #YoungerAlzAct, an important piece of legislation that will improve quality of life for people living with younger-onset Alzheimer’s. #ENDALZ pic.twitter.com/qOg7exUHci",1135964705162485760,2019-06-04,17:41:05,sendougjones,3,16,42
