tweet,id,date,time,username,replies_count,retweets_count,likes_count
"A message to the Auburn faithful: #WarEagle
#MarchMadness pic.twitter.com/p9uHt7Ywqw",1111717116078624769,2019-03-29,19:49:49,sendougjones,6,15,54
"This #WomensHistoryMonth, let’s celebrate the inspiring contributions that women have made to our society and continue to make each and every day. pic.twitter.com/BSAKvEuNTr",1111642410025664514,2019-03-29,14:52:58,sendougjones,4,42,108
It's time to put our democracy back where it belongs: in the hands of the American people. The #ForThePeople Act will help expand access to the ballot box & restore ethics and integrity to our political system. pic.twitter.com/EoTKd482SU,1110956006551547909,2019-03-27,17:25:27,sendougjones,34,28,90
"Our friends and neighbors with disabilities enrich our communities, and the @SpecialOlympics means a great deal to the participants, their families, and all of us.

 To the Special Olympics community, we support you. https://twitter.com/thehill/status/1110921167370706944 …",1110950044109279232,2019-03-27,17:01:45,sendougjones,10,30,76
It's folks like Regina Pruitt who will suffer if the Administration's attacks on health care succeed. We cannot allow protections for pre-existing conditions to be struck down -- people's lives and livelihoods are on the line. pic.twitter.com/3z0e2TbIjC,1110718937245904897,2019-03-27,01:43:25,sendougjones,53,84,162
"The Administration’s dangerous attacks on health care are putting millions of Americans at risk.

Here’s what’s at stake: 
✔ Protections for people w/ pre-existing conditions
✔ Ban on lifetime coverage caps
✔ Required Rx coverage & maternity care
✔ Support for rural hospitals",1110642903137832960,2019-03-26,20:41:17,sendougjones,30,93,187
"Great News! Rachel Price, a senior at Birmingham’s The Westminster School at Oak Mountain, has earned an offer of appointment to the U.S. Air Force Academy following Senator Jones’ nomination.

For more info on the nomination process, please visit:  https://sen.gov/83LP  pic.twitter.com/wxhsRkbnp2",1110241208499138562,2019-03-25,18:05:06,sendougjones,3,9,49
#SurviveAndAdvance https://twitter.com/AuburnMBB/status/1108818723450675200 …,1108836607229071362,2019-03-21,21:03:43,sendougjones,3,12,39
"Here’s my bracket, folks. I’m looking forward to following #MarchMadness, especially today when SEC Champs @AuburnMBB tip off against New Mexico State at 12:30pm CT. Y’all ready for #WarEagle x #UnfinishedBusiness @SenatorTomUdall and @MartinHeinrich?? –Doug pic.twitter.com/qwZP0Q4XoV",1108780331279286273,2019-03-21,17:20:05,sendougjones,7,5,24
"Hey folks, if you found yourself impacted by the Lee County storms, please see and share these tips to protect against post-disaster fraud practices: pic.twitter.com/KVJRjnZhac",1108758006752296960,2019-03-21,15:51:23,sendougjones,1,7,9
